the thought-provoking question of tradition over morals is the subject directly at the core of " leila , " a powerfully articulated and subtle drama from famous iranian director dariush mehrjui , that is his first motion picture in a prosperous thirty-year career to gain u . s . distribution , thanks to first run features . 	Translation	Positive	Negative	EmotionRationale
although unfamiliar with mehrjui's previous directing efforts , perhaps the reason for this is that , while the predicament at hand is no doubt exclusive to its own country , the heartbreaking and solely truthful emotions of the characters can easily be understood by all viewers . 	although unfamiliar with mehrjui's previous directing efforts , perhaps the reason for this is that , while the predicament at hand is no doubt exclusive to its own country , the heartbreaking and solely truthful emotions of the characters can easily be understood by all viewers .	2	-4	 although[0] unfamiliar[-1] with[0] mehrjui's[0] previous[0] directing[0] efforts[0] perhaps[0] the[0] reason[0] for[0] this[0] is[0] that[0] while[0] the[0] predicament[-1] at[0] hand[0] is[0] no[0] doubt[-1] exclusive[0] to[0] its[0] own[0] country[0] the[0] heartbreaking[-3] and[0] solely[0] truthful[1] emotions[0] of[0] the[0] characters[0] can[0] easily[0] be[0] understood[0] by[0] all[0] viewers[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
set in modern-day iran , " leila " begins on the birthday of the title character ( leila hatami ) , after a brief prologue in which we are shown the first encounter between leila and her future husband , reza ( ali mosaffa ) . 	set in modern-day iran , " leila " begins on the birthday of the title character ( leila hatami ) , after a brief prologue in which we are shown the first encounter between leila and her future husband , reza ( ali mosaffa ) .	1	-1	 set[0] in[0] modern[0] day[0] iran[0] leila[0] begins[0] on[0] the[0] birthday[0] of[0] the[0] title[0] character[0] leila[0] hatami[0] after[0] a[0] brief[0] prologue[0] in[0] which[0] we[0] are[0] shown[0] the[0] first[0] encounter[0] between[0] leila[0] and[0] her[0] future[0] husband[0] reza[0] ali[0] mosaffa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as leila and reza set off to visit his parents , and then hers , where a birthday celebration has been planned , things seem rosy for the couple on the outside , but for leila , life isn't quite as sweet . 	as leila and reza set off to visit his parents , and then hers , where a birthday celebration has been planned , things seem rosy for the couple on the outside , but for leila , life isn't quite as sweet .	2	-1	 as[0] leila[0] and[0] reza[0] set[0] off[0] to[0] visit[0] his[0] parents[0] and[0] then[0] hers[0] where[0] a[0] birthday[0] celebration[1] has[0] been[0] planned[0] things[0] seem[0] rosy[0] for[0] the[0] couple[0] on[0] the[0] outside[0] but[0] for[0] leila[0] life[0] isn't[0] quite[0] as[0] sweet[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
earlier , on that very same day , leila had gone to see her physician , and has ultimately discovered that she holds very little chance of ever conceiving a child . 	earlier , on that very same day , leila had gone to see her physician , and has ultimately discovered that she holds very little chance of ever conceiving a child .	1	-1	 earlier[0] on[0] that[0] very[0] same[0] day[0] leila[0] had[0] gone[0] to[0] see[0] her[0] physician[0] and[0] has[0] ultimately[0] discovered[0] that[0] she[0] holds[0] very[0] little[0] chance[0] of[0] ever[0] conceiving[0] a[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when all of the conditions are ruled out , and leila passes up the possibility of adoption , reza firmly and lovingly tells her that he married her , and doesn't care at all about having children . 	when all of the conditions are ruled out , and leila passes up the possibility of adoption , reza firmly and lovingly tells her that he married her , and doesn't care at all about having children .	4	-1	 when[0] all[0] of[0] the[0] conditions[0] are[0] ruled[0] out[0] and[0] leila[0] passes[0] up[0] the[0] possibility[0] of[0] adoption[0] reza[0] firmly[0] and[0] lovingly[3] tells[0] her[0] that[0] he[0] married[0] her[0] and[0] doesn't[0] care[1] at[0] all[0] about[0] having[0] children[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
nonetheless , leila is ashamed that she will never be able to give him a baby , which is the societal norm , and her self-esteem is not helped at all by her domineering mother-in-law ( jamileh sheikhi ) , whose hopes to carry on the sacred family name vanishes once hearing the news ( reza is her only son ) . 	nonetheless , leila is ashamed that she will never be able to give him a baby , which is the societal norm , and her self-esteem is not helped at all by her domineering mother-in-law ( jamileh sheikhi ) , whose hopes to carry on the sacred family name vanishes once hearing the news ( reza is her only son ) .	2	-2	 nonetheless[0] leila[0] is[0] ashamed[-1] that[0] she[0] will[0] never[0] be[0] able[0] to[0] give[0] him[0] a[0] baby[1] which[0] is[0] the[0] societal[0] norm[0] and[0] her[0] self[0] esteem[0] is[0] not[0] helped[0] at[0] all[0] by[0] her[0] domineering[0] mother[0] in[0] law[0] jamileh[0] sheikhi[0] whose[0] hopes[1] to[0] carry[0] on[0] the[0] sacred[0] family[0] name[0] vanishes[-1] once[0] hearing[0] the[0] news[0] reza[0] is[0] her[0] only[0] son[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bluntly explaining to leila that reza has always wished for children and , in a country where polygamy is an accepted tradition , she suggests that he take a second wife to bear a child with . 	bluntly explaining to leila that reza has always wished for children and , in a country where polygamy is an accepted tradition , she suggests that he take a second wife to bear a child with .	1	-2	 bluntly[-1] explaining[0] to[0] leila[0] that[0] reza[0] has[0] always[0] wished[0] for[0] children[0] and[0] in[0] a[0] country[0] where[0] polygamy[0] is[0] an[0] accepted[0] tradition[0] she[0] suggests[0] that[0] he[0] take[0] a[0] second[0] wife[0] to[0] bear[0] a[0] child[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leila hesitantly agrees , and while she and reza are able to shallowly laugh afterwards about the hopeful womens' inadequacies , reza finally does meet a woman whom he claims to like , even though he refuses to go through with the marriage if leila doesn't give her full blessing . 	leila hesitantly agrees , and while she and reza are able to shallowly laugh afterwards about the hopeful womens' inadequacies , reza finally does meet a woman whom he claims to like , even though he refuses to go through with the marriage if leila doesn't give her full blessing .	2	-2	 leila[0] hesitantly[0] agrees[0] and[0] while[0] she[0] and[0] reza[0] are[0] able[0] to[0] shallowly[0] laugh[1] afterwards[0] about[0] the[0] hopeful[1] womens'[0] inadequacies[-1] reza[0] finally[0] does[0] meet[0] a[0] woman[0] whom[0] he[0] claims[0] to[0] like[1] even[0] though[0] he[0] refuses[-1] to[0] go[0] through[0] with[0] the[0] marriage[0] if[0] leila[0] doesn't[0] give[0] her[0] full[0] blessing[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are no easy answers to be found within " leila , " a film that thoughtfully examines the central character's unfortunate plight , as well as the inner workings of leila herself , told through matter-of-fact narration . 	there are no easy answers to be found within " leila , " a film that thoughtfully examines the central character's unfortunate plight , as well as the inner workings of leila herself , told through matter-of-fact narration .	2	-2	 there[0] are[0] no[0] easy[0] answers[0] to[0] be[0] found[0] within[0] leila[0] a[0] film[0] that[0] thoughtfully[1] examines[0] the[0] central[0] character's[0] unfortunate[-1] plight[-1] as[0] well[0] as[0] the[0] inner[0] workings[0] of[0] leila[0] herself[0] told[0] through[0] matter[0] of[0] fact[0] narration[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
almost completely taken over by her own shame , she has no option but to agree to her forceful mother-in-law's requests , even though she is unsure of how she will react if reza really does end up marrying another woman . 	almost completely taken over by her own shame , she has no option but to agree to her forceful mother-in-law's requests , even though she is unsure of how she will react if reza really does end up marrying another woman .	1	-3	 almost[0] completely[0] taken[0] over[0] by[0] her[0] own[0] shame[-2] she[0] has[0] no[0] option[0] but[0] to[0] agree[0] to[0] her[0] forceful[0] mother[0] in[0] law's[0] requests[0] even[0] though[0] she[0] is[0] unsure[0] of[0] how[0] she[0] will[0] react[0] if[0] reza[0] really[0] does[0] end[0] up[0] marrying[0] another[0] woman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
maybe because " leila " is from iran , the film will unquestionably be shocking for american audiences , since the concept of polygamy is looked upon by the characters as a more or less everyday occurrence . 	maybe because " leila " is from iran , the film will unquestionably be shocking for american audiences , since the concept of polygamy is looked upon by the characters as a more or less everyday occurrence .	1	-3	 maybe[0] because[0] leila[0] is[0] from[0] iran[0] the[0] film[0] will[0] unquestionably[0] be[0] shocking[-2] for[0] american[0] audiences[0] since[0] the[0] concept[0] of[0] polygamy[0] is[0] looked[0] upon[0] by[0] the[0] characters[0] as[0] a[0] more[0] or[0] less[0] everyday[0] occurrence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
