the trailers and the beginning of the move sum up this plot very easily . 	Translation	Positive	Negative	EmotionRationale
three filmmakers venture into the woods of maryland to track down the legend of the blair witch for a documentary they are making . 	three filmmakers venture into the woods of maryland to track down the legend of the blair witch for a documentary they are making .	1	-1	 three[0] filmmakers[0] venture[0] into[0] the[0] woods[0] of[0] maryland[0] to[0] track[0] down[0] the[0] legend[0] of[0] the[0] blair[0] witch[0] for[0] a[0] documentary[0] they[0] are[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they disappear and their footage is discovered a year later buried underneath the foundation of a one hundred year old house . 	they disappear and their footage is discovered a year later buried underneath the foundation of a one hundred year old house .	1	-3	 they[0] disappear[0] and[0] their[0] footage[0] is[0] discovered[0] a[0] year[0] later[0] buried[-2] underneath[0] the[0] foundation[0] of[0] a[0] one[0] hundred[0] year[0] old[0] house[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
from there , things become a little more complicated . 	from there , things become a little more complicated .	1	-2	 from[0] there[0] things[0] become[0] a[0] little[0] more[0] complicated[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can say , with absolute assurance , that no film has ever had quite the impact that this little movie has had on me . 	i can say , with absolute assurance , that no film has ever had quite the impact that this little movie has had on me .	1	-1	 i[0] can[0] say[0] with[0] absolute[0] assurance[0] that[0] no[0] film[0] has[0] ever[0] had[0] quite[0] the[0] impact[0] that[0] this[0] little[0] movie[0] has[0] had[0] on[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although i know it was all a staged " mockumentary " , there's no denying the psychological impact this film will leave on you . 	although i know it was all a staged " mockumentary " , there's no denying the psychological impact this film will leave on you .	1	-1	 although[0] i[0] know[0] it[0] was[0] all[0] a[0] staged[0] mockumentary[0] there's[0] no[0] denying[0] the[0] psychological[0] impact[0] this[0] film[0] will[0] leave[0] on[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't feel much upon initially watching it . 	i didn't feel much upon initially watching it .	1	-1	 i[0] didn't[0] feel[0] much[0] upon[0] initially[0] watching[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i just thought it was an interesting film with some pretty creepy parts . 	i just thought it was an interesting film with some pretty creepy parts .	2	-1	 i[0] just[0] thought[0] it[0] was[0] an[0] interesting[1] film[0] with[0] some[0] pretty[2][-1 LastWordBoosterStrength] creepy[0] parts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i never even dreamed that thirty minutes after the film had ended i would be frightened out of my mind just discussing it with a friend . 	i never even dreamed that thirty minutes after the film had ended i would be frightened out of my mind just discussing it with a friend .	2	-4	 i[0] never[0] even[0] dreamed[0] that[0] thirty[0] minutes[0] after[0] the[0] film[0] had[0] ended[0] i[0] would[0] be[0] frightened[-3] out[0] of[0] my[0] mind[0] just[0] discussing[0] it[0] with[0] a[0] friend[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i've gotten chills every time i've brought it up since then . 	i've gotten chills every time i've brought it up since then .	1	-1	 i've[0] gotten[0] chills[0] every[0] time[0] i've[0] brought[0] it[0] up[0] since[0] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not a movie that hits you right away . 	this is not a movie that hits you right away .	1	-1	 this[0] is[0] not[0] a[0] movie[0] that[0] hits[0] you[0] right[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead this is a movie that sits at the base of your spine , waits until you think everything is okay , then it slowly starts to creep it's way up into your mind . 	instead this is a movie that sits at the base of your spine , waits until you think everything is okay , then it slowly starts to creep it's way up into your mind .	1	-1	 instead[0] this[0] is[0] a[0] movie[0] that[0] sits[0] at[0] the[0] base[0] of[0] your[0] spine[0] waits[0] until[0] you[0] think[0] everything[0] is[0] okay[0] then[0] it[0] slowly[0] starts[0] to[0] creep[0] it's[0] way[0] up[0] into[0] your[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is truly the most frightening movie i have ever had the pleasure to watch . 	this is truly the most frightening movie i have ever had the pleasure to watch .	3	-4	 this[0] is[0] truly[1] the[0] most[0] frightening[-3] movie[0] i[0] have[0] ever[0] had[0] the[0] pleasure[2] to[0] watch[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film is comprised of home video and 16mm camera footage that the documentarians supposedly shot for their blair witch film , so don't expect any steadi-cam shots or fancy camera work . 	the film is comprised of home video and 16m camera footage that the documentarians supposedly shot for their blair witch film , so don't expect any steadi-cam shots or fancy camera work .	1	-2	 the[0] film[0] is[0] comprised[0] of[0] home[0] video[0] and[0] 16mm/16m[0] camera[0] footage[0] that[0] the[0] documentarians[0] supposedly[0] shot[-1] for[0] their[0] blair[0] witch[0] film[0] so[0] don't[0] expect[0] any[0] steadi[0] cam[0] shots[0] or[0] fancy[0] camera[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is as real as it gets folks . 	this is as real as it gets folks .	1	-1	 this[0] is[0] as[0] real[0] as[0] it[0] gets[0] folks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
