let's face it : the $100 million-plus smash that was " goldeneye " was not a good film by any means , and as a bond movie was only marginally better than , say , " a view to a kill " or either of the timothy dalton pictures , by virtue of nice pacing . 	Translation	Positive	Negative	EmotionRationale
but it did revive the series , and granted the producers some new directions in which to take the it ( ie . 	but it did revive the series , and granted the producers some new directions in which to take the it ( ie .	1	-1	 but[0] it[0] did[0] revive[0] the[0] series[0] and[0] granted[0] the[0] producers[0] some[0] new[0] directions[0] in[0] which[0] to[0] take[0] the[0] it[0] ie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the new " m " is a woman ) . 	the new " m " is a woman ) .	1	-1	 the[0] new[0] m[0] is[0] a[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " tomorrow never dies " is the picture " goldeneye " should have been ; it's also the most entertaining bond outing since " the spy who loved me " . 	 " tomorrow never dies " is the picture " goldeneye " should have been ; it's also the most entertaining bond outing since " the spy who loved me " .	4	-1	 tomorrow[0] never[0] dies[0] is[0] the[0] picture[0] goldeneye[0] should[0] have[0] been[0] it's[0] also[0] the[0] most[0] entertaining[0] bond[0] outing[0] since[0] the[0] spy[0] who[0] loved[3] me[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the new picture opens with china considering war with britain after a standard military operation is misconstrued as a hostile threat from an english submarine . 	the new picture opens with china considering war with britain after a standard military operation is misconstrued as a hostile threat from an english submarine .	1	-4	 the[0] new[0] picture[0] opens[0] with[0] china[0] considering[0] war[-2] with[0] britain[0] after[0] a[0] standard[0] military[0] operation[0] is[0] misconstrued[0] as[0] a[0] hostile[-2] threat[-2][-1 MultiplePositiveWords] from[0] an[0] english[0] submarine[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as an attack occurs , the front-page headline is already being prepared , courtesy of carver media . 	as an attack occurs , the front-page headline is already being prepared , courtesy of carver media .	1	-3	 as[0] an[0] attack[-2] occurs[0] the[0] front[0] page[0] headline[0] is[0] already[0] being[0] prepared[0] courtesy[0] of[0] carver[0] media[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
carver ( pryce ) the man is a deluded magnate , a sort of hybrid of ted turner , bill gates , and peter sellars' german scientist from " dr . 	carver ( pryce ) the man is a deluded magnate , a sort of hybrid of ted turner , bill gates , and peter sellars' german scientist from " dr .	1	-2	 carver[0] pryce[-1] the[0] man[0] is[0] a[0] deluded[0] magnate[0] a[0] sort[0] of[0] hybrid[0] of[0] ted[0] turner[0] bill[0] gates[0] and[0] peter[0] sellars'[0] german[-1] scientist[0] from[0] dr[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
strangelove " ( physically , pryce even recalls sellars in his kubrick days ) . 	strangelove " ( physically , pryce even recalls sellars in his kubrick days ) .	1	-2	 strangelove[0] physically[0] pryce[-1] even[0] recalls[0] sellars[0] in[0] his[0] kubrick[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's up to james bond to take him down , with assistance , of course , from a wealth of gadgets ( including a multi-purpose cell phone ) , and beautiful women . 	it's up to james bond to take him down , with assistance , of course , from a wealth of gadgets ( including a multi-purpose cell phone ) , and beautiful women .	3	-1	 it's[0] up[0] to[0] james[0] bond[0] to[0] take[0] him[0] down[0] with[0] assistance[0] of[0] course[0] from[0] a[0] wealth[0] of[0] gadgets[0] including[0] a[0] multi[0] purpose[0] cell[0] phone[0] and[0] beautiful[2] women[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
enter michelle yeoh , fresh from " supercop " , as a chinese secret agent with her own agenda ; with effortless grace , she cat burgles , dispatches baddies seemingly with the ease of preparing pasta , and refuses the advances of our philandering hero . 	enter michelle yeoh , fresh from " supercop " , as a chinese secret agent with her own agenda ; with effortless grace , she cat burgles , dispatches baddies seemingly with the ease of preparing pasta , and refuses the advances of our philandering hero .	3	-2	 enter[0] michelle[0] yeoh[0] fresh[0] from[0] supercop[0] as[0] a[0] chinese[0] secret[0] agent[0] with[0] her[0] own[0] agenda[0] with[0] effortless[0] grace[2] she[0] cat[0] burgles[-1] dispatches[0] baddies[0] seemingly[0] with[0] the[0] ease[0] of[0] preparing[0] pasta[0] and[0] refuses[-1] the[0] advances[0] of[0] our[0] philandering[0] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they make a great team . 	they make a great team .	3	-1	 they[0] make[0] a[0] great[2] team[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " tomorrow never dies " is a surprisingly entertaining and efficient film , given that at the helm is none other than the director of " turner & hooch " . 	 " tomorrow never dies " is a surprisingly entertaining and efficient film , given that at the helm is none other than the director of " turner & hooch " .	1	-1	 tomorrow[0] never[0] dies[0] is[0] a[0] surprisingly[0] entertaining[0] and[0] efficient[0] film[0] given[0] that[0] at[0] the[0] helm[0] is[0] none[0] other[0] than[0] the[0] director[0] of[0] turner[0] &[0] hooch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spottiswoode has crafted some breathtaking set pieces , each much more intricate and impressive than , for instance , the tank scene in " goldeneye " . 	spottiswoode has crafted some breathtaking set pieces , each much more intricate and impressive than , for instance , the tank scene in " goldeneye " .	2	-1	 spottiswoode[0] has[0] crafted[0] some[0] breathtaking[0] set[0] pieces[0] each[0] much[0] more[0] intricate[0] and[0] impressive[1] than[0] for[0] instance[0] the[0] tank[0] scene[0] in[0] goldeneye[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
moreover , brosnan has at last settled into the role some feel he was born to play ; last time out , the fate of the franchise rested on his shoulders , and there was noticeable discomfort in his body language . 	moreover , brosnan has at last settled into the role some feel he was born to play ; last time out , the fate of the franchise rested on his shoulders , and there was noticeable discomfort in his body language .	1	-2	 moreover[0] brosnan[0] has[0] at[0] last[0] settled[0] into[0] the[0] role[0] some[0] feel[0] he[0] was[0] born[0] to[0] play[0] last[0] time[0] out[0] the[0] fate[0] of[0] the[0] franchise[0] rested[0] on[0] his[0] shoulders[0] and[0] there[0] was[0] noticeable[0] discomfort[-1] in[0] his[0] body[0] language[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
