 " rebel without a cause " is such an important film in american history because it is a true analysis of youth in america that everyone of all ages can relate to . 	Translation	Positive	Negative	EmotionRationale
everyone feels that they are different in some way , that they don't belong in some places and " rebel without a cause " successfully shows on screen these universal emotions . 	everyone feels that they are different in some way , that they don't belong in some places and " rebel without a cause " successfully shows on screen these universal emotions .	3	-2	 everyone[0] feels[0] that[0] they[0] are[0] different[0] in[0] some[0] way[0] that[0] they[0] don't[0] belong[0] in[0] some[0] places[0] and[0] rebel[-1] without[0] a[0] cause[0] successfully[2] shows[0] on[0] screen[0] these[0] universal[0] emotions[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
no matter what generation you belong to , these feelings are present . 	no matter what generation you belong to , these feelings are present .	1	-1	 no[0] matter[0] what[0] generation[0] you[0] belong[0] to[0] these[0] feelings[0] are[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is why james dean is admired by america , because in this film he represents us all and his actions are actions that we would also execute . 	this is why james dean is admired by america , because in this film he represents us all and his actions are actions that we would also execute .	3	-2	 this[0] is[0] why[0] james[0] dean[0] is[0] admired[2] by[0] america[0] because[0] in[0] this[0] film[0] he[0] represents[0] us[0] all[0] and[0] his[0] actions[0] are[0] actions[0] that[0] we[0] would[0] also[0] execute[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in our minds , we just try to do the right thing just like dean's jim stark does . 	in our minds , we just try to do the right thing just like dean's jim stark does .	1	-2	 in[0] our[0] minds[0] we[0] just[0] try[0] to[0] do[0] the[0] right[0] thing[0] just[0] like[1][-1 LastWordBoosterStrength] dean's[0] jim[0] stark[-1] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only does " rebel without a cause " display these universal emotions for all to relate to but it also shows that america has suffered a uniqe pattern in its social structure . 	not only does " rebel without a cause " display these universal emotions for all to relate to but it also shows that america has suffered a uniqe pattern in its social structure .	1	-4	 not[0] only[0] does[0] rebel[-1] without[0] a[0] cause[0] display[0] these[0] universal[0] emotions[0] for[0] all[0] to[0] relate[0] to[0] but[0] it[0] also[0] shows[0] that[0] america[0] has[0] suffered[-3] a[0] uniqe[0] pattern[0] in[0] its[0] social[0] structure[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
each generation looks at its past generation without a strong connection . 	each generation looks at its past generation without a strong connection .	1	-1	 each[0] generation[0] looks[0] at[0] its[0] past[0] generation[0] without[0] a[0] strong[0] connection[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is because times change and in response people change . 	this is because times change and in response people change .	1	-1	 this[0] is[0] because[0] times[0] change[0] and[0] in[0] response[0] people[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter how popular you were once , as your generation grows older , newer breeds look at you in a different light . 	no matter how popular you were once , as your generation grows older , newer breeds look at you in a different light .	1	-1	 no[0] matter[0] how[0] popular[0] you[0] were[0] once[0] as[0] your[0] generation[0] grows[0] older[0] newer[0] breeds[0] look[0] at[0] you[0] in[0] a[0] different[0] light[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is why stark and his friends never could form a strong relationship with their parents . 	this is why stark and his friends never could form a strong relationship with their parents .	2	-2	 this[0] is[0] why[0] stark[-1] and[0] his[0] friends[1] never[0] could[0] form[0] a[0] strong[0] relationship[0] with[0] their[0] parents[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even if their parents insisted that they were also rebellious and troublesome in the past , the teens could not believe this . 	even if their parents insisted that they were also rebellious and troublesome in the past , the teens could not believe this .	1	-2	 even[0] if[0] their[0] parents[0] insisted[0] that[0] they[0] were[0] also[0] rebellious[-1] and[0] troublesome[-1] in[0] the[0] past[0] the[0] teens[0] could[0] not[0] believe[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
