this has some major spoilers for the film , so be forwarned . 	Translation	Positive	Negative	EmotionRationale
the won't appear till later in the article , so you're safe for now . 	the won't appear till later in the article , so you're safe for now .	2	-1	 the[0] won't[0] appear[0] till[0] later[0] in[0] the[0] article[0] so[0] you're[0] safe[1] for[0] now[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eyes wide shot ( 1999 ) running time : 2 hours 39 minutes 2 . 35 : 1 theatrical aspect 	eyes wide shot ( 199 ) running time : 2 hours 39 minutes 2 .<br> 35 : 1 theatrical aspect	1	-2	 eyes[0] wide[0] shot[-1] 1999/199[0] running[0] time[0] 2[0] hours[0] 39[0] minutes[0] 2[0] [[Sentence=-2,1=word max, 1-5]] 35[0] 1[0] theatrical[0] aspect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
starring : tom cruise ( dr . 	starring : tom cruise ( dr .	1	-1	 starring[0] tom[0] cruise[0] dr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bill hardford ) , nicole kidman ( alice hardford ) , sidney pollack , leelee sobieski , todd field ( nick nightingale ) directed , co-written , produced by : stanley kubrick inspired by : " traumnovelle " by : arthur schnitzer 	bill hardford ) , nicole kidman ( alice hardford ) , sidney pollack , leelee sobieski , todd field ( nick nightingale ) directed , co-written , produced by : stanley kubrick inspired by : " traumnovelle " by : arthur schnitzer	3	-1	 bill[0] hardford[0] nicole[0] kidman[0] alice[0] hardford[0] sidney[0] pollack[0] leelee[0] sobieski[0] todd[0] field[0] nick[0] nightingale[0] directed[0] co[0] written[0] produced[0] by[0] stanley[0] kubrick[0] inspired[2] by[0] traumnovelle[0] by[0] arthur[0] schnitzer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is an interesting film . 	this is an interesting film .	2	-1	 this[0] is[0] an[0] interesting[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i must first off state , that you musn't believe any of the rumors of the film . 	i must first off state , that you musn't believe any of the rumors of the film .	1	-1	 i[0] must[0] first[0] off[0] state[0] that[0] you[0] musn't[0] believe[0] any[0] of[0] the[0] rumors[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cruise is not a cross dresser , kidman doesn't shoot heroin , and there's not any scene between the two that would suggest that they were aided by a sex therapist . 	cruise is not a cross dresser , kidman doesn't shoot heroin , and there's not any scene between the two that would suggest that they were aided by a sex therapist .	3	-2	 cruise[0] is[0] not[0] a[0] cross[-1][NegatedDueToPreviousWord] dresser[0] kidman[0] doesn't[0] shoot[-1] heroin[2] and[0] there's[0] not[0] any[0] scene[0] between[0] the[0] two[0] that[0] would[0] suggest[0] that[0] they[0] were[0] aided[0] by[0] a[0] sex[0] therapist[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the look of the film is to suggest that it follows the translation of the inspired book from the film was written . 	the look of the film is to suggest that it follows the translation of the inspired book from the film was written .	3	-1	 the[0] look[0] of[0] the[0] film[0] is[0] to[0] suggest[0] that[0] it[0] follows[0] the[0] translation[0] of[0] the[0] inspired[2] book[0] from[0] the[0] film[0] was[0] written[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the translation , " dream novel , " makes you thing that the film should have been titled dream film . 	the translation , " dream novel , " makes you thing that the film should have been titled dream film .	1	-1	 the[0] translation[0] dream[0] novel[0] makes[0] you[0] thing[0] that[0] the[0] film[0] should[0] have[0] been[0] titled[0] dream[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a noticable amount of graininess to the film . 	there is a noticable amount of graininess to the film .	1	-1	 there[0] is[0] a[0] noticable[0] amount[0] of[0] graininess[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
