warning : if you actually wish to see the film , stop reading this and see it . 	Translation	Positive	Negative	EmotionRationale
while i don't blow any plot details , the more you know about a movie , the more disappointing and built up it becomes ( waiting a month to see titanic did the same thing ) . 	while i don't blow any plot details , the more you know about a movie , the more disappointing and built up it becomes ( waiting a month to see titanic did the same thing ) .	1	-2	 while[0] i[0] don't[0] blow[0] any[0] plot[0] details[0] the[0] more[0] you[0] know[0] about[0] a[0] movie[0] the[0] more[0] disappointing[-1] and[0] built[0] up[0] it[0] becomes[0] waiting[0] a[0] month[0] to[0] see[0] titanic[0] did[0] the[0] same[0] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , in a nutshell , it's a good film . 	but , in a nutshell , it's a good film .	2	-1	 but[0] in[0] a[0] nutshell[0] it's[0] a[0] good[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
star wars episode i : the phantom menace reviewed by vince yim 	star wars episode i : the phantom menace reviewed by vince yim	1	-3	 star[0] wars[-2] episode[0] i[0] the[0] phantom[0] menace[-2] reviewed[0] by[0] vince[0] yim[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
never having been the biggest star wars fanatic in the world ( i was more into star trek : the next generation ) , it is difficult to relate to the mass fandom surrounding the latest installment , the phantom menace . 	never having been the biggest star wars fanatic in the world ( i was more into star trek : the next generation ) , it is difficult to relate to the mass fandom surrounding the latest instalment , the phantom menace .	1	-3	 never[0] having[0] been[0] the[0] biggest[0] star[0] wars[-2] fanatic[-1] in[0] the[0] world[0] i[0] was[0] more[0] into[0] star[0] trek[0] the[0] next[0] generation[0] it[0] is[0] difficult[-1] to[0] relate[0] to[0] the[0] mass[0] fandom[0] surrounding[0] the[0] latest[0] installment/instalment[0] the[0] phantom[0] menace[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , it can't be ignored . 	however , it can't be ignored .	1	-1	 however[0] it[0] can't[0] be[0] ignored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
endless toys lining the shelves , endless news reports , and a multi-billion dollar advertising campaign makes it all the more difficult . 	endless toys lining the shelves , endless news reports , and a multi-billion dollar advertising campaign makes it all the more difficult .	1	-2	 endless[0] toys[0] lining[0] the[0] shelves[0] endless[0] news[0] reports[0] and[0] a[0] multi[0] billion[0] dollar[0] advertising[0] campaign[0] makes[0] it[0] all[0] the[0] more[0] difficult[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the level of this hype , one would recall an overhyped disaster from 1998 , godzilla , which definitely failed to live up to expectations . 	with the level of this hype , one would recall an overhyped disaster from 1998 , godzilla , which definitely failed to live up to expectations .	1	-4	 with[0] the[0] level[0] of[0] this[0] hype[0] one[0] would[0] recall[0] an[0] overhyped[0] disaster[-1] from[0] 1998[0] godzilla[0] which[0] definitely[0] failed[-2][-1 LastWordBoosterStrength] to[0] live[0] up[0] to[0] expectations[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
thankfully , the phantom menace does much , much better . 	thankfully , the phantom menace does much , much better .	2	-3	 thankfully[1] the[0] phantom[0] menace[-2] does[0] much[0] much[0] better[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while the " first " star wars trilogy told the story of jedi knight luke skywalker , the prequels backpedal to tell the back-story of obi wan kenobi and a young jedi named anakin skywalker ( who would become the father of luke and eventually become darth vader ) . 	while the " first " star wars trilogy told the story of jedi knight luke skywalker , the prequels backpedal to tell the back-story of obi wan kenobi and a young jedi named anakin skywalker ( who would become the father of luke and eventually become darth vader ) .	1	-3	 while[0] the[0] first[0] star[0] wars[-2] trilogy[0] told[0] the[0] story[0] of[0] jedi[0] knight[0] luke[0] skywalker[0] the[0] prequels[0] backpedal[0] to[0] tell[0] the[0] back[0] story[0] of[0] obi[0] wan[0] kenobi[0] and[0] a[0] young[0] jedi[0] named[0] anakin[0] skywalker[0] who[0] would[0] become[0] the[0] father[0] of[0] luke[0] and[0] eventually[0] become[0] darth[0] vader[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
without blowing too much of the story , the phantom menace evolves around a peaceful planet naboo , which is being held hostage by a greedy trade federation , and it's up to two jedi knights ( qui-gon ji , played by liam neeson and obi-wan kenobi , played by ewan mcgreggor ) to free it . 	without blowing too much of the story , the phantom menace evolves around a peaceful planet naboo , which is being held hostage by a greedy trade federation , and it's up to two jedi knights ( qui-gon ji , played by liam neeson and obi-wan kenobi , played by ewan mcgreggor ) to free it .	1	-3	 without[0] blowing[0] too[0] much[0] of[0] the[0] story[0] the[0] phantom[0] menace[-2] evolves[0] around[0] a[0] peaceful[0] planet[0] naboo[0] which[0] is[0] being[0] held[0] hostage[0] by[0] a[0] greedy[-2] trade[0] federation[0] and[0] it's[0] up[0] to[0] two[0] jedi[0] knights[0] qui[0] gon[0] ji[0] played[0] by[0] liam[0] neeson[0] and[0] obi[0] wan[0] kenobi[0] played[0] by[0] ewan[0] mcgreggor[0] to[0] free[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
