what if one of our cities became the target for terror ? 	Translation	Positive	Negative	EmotionRationale
what can we do ? 	what can we do ?	1	-1	 what[0] can[0] we[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what can america really do about the increasing threat of terrorism ? 	what can america really do about the increasing threat of terrorism ?	1	-3	 what[0] can[0] america[0] really[0] do[0] about[0] the[0] increasing[0] threat[-2] of[0] terrorism[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what basic human rights are we willing to sacrifice to prevent another oklahoma city disaster ? 	what basic human rights are we willing to sacrifice to prevent another oklahoma city disaster ?	1	-2	 what[0] basic[0] human[0] rights[0] are[0] we[0] willing[0] to[0] sacrifice[0] to[0] prevent[0] another[0] oklahoma[0] city[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so far america has been the leading nation , opposing the fundamentalist terrorists around the world . 	so far america has been the leading nation , opposing the fundamentalist terrorists around the world .	1	-3	 so[0] far[0] america[0] has[0] been[0] the[0] leading[0] nation[0] opposing[0] the[0] fundamentalist[0] terrorists[-2] around[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is the land of opportunities . 	it is the land of opportunities .	1	-1	 it[0] is[0] the[0] land[0] of[0] opportunities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the land of freedom . 	it is the land of freedom .	1	-1	 it[0] is[0] the[0] land[0] of[0] freedom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what if it became the new target ? 	but what if it became the new target ?	1	-1	 but[0] what[0] if[0] it[0] became[0] the[0] new[0] target[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this dark fantasy has unfortunately a very strong grounding in reality . 	this dark fantasy has unfortunately a very strong grounding in reality .	1	-2	 this[0] dark[0] fantasy[0] has[0] unfortunately[-1] a[0] very[0] strong[0] grounding[0] in[0] reality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when a special branch of the united states military , under the command of general william devereaux ( bruce willis ) , takes prisoner suspected terrorist mastermind sheik ahmed bin talal , islamic fundamentalists across the world take notice . 	when a special branch of the united states military , under the command of general william devereaux ( bruce willis ) , takes prisoner suspected terrorist mastermind sheik ahmed bin talal , islamic fundamentalists across the world take notice .	2	-3	 when[0] a[0] special[1] branch[0] of[0] the[0] united[0] states[0] military[0] under[0] the[0] command[0] of[0] general[0] william[0] devereaux[0] bruce[0] willis[0] takes[0] prisoner[-1] suspected[0] terrorist[-2] mastermind[0] sheik[0] ahmed[0] bin[0] talal[0] islamic[0] fundamentalists[0] across[0] the[0] world[0] take[0] notice[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only warning the fbi receives is a single , cryptic message : " release him . " 	the only warning the fbi receives is a single , cryptic message : " release him .<br> "	1	-1	 the[0] only[0] warning[0] the[0] fbi[0] receives[0] is[0] a[0] single[0] cryptic[0] message[0] release[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then all hell breaks loose in new york . 	then all hell breaks loose in new york .	1	-2	 then[0] all[0] hell[-1] breaks[0] loose[0] in[0] new[0] york[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a bus is destroyed , killing 25 civilians . 	a bus is destroyed , killing 25 civilians .	1	-3	 a[0] bus[0] is[0] destroyed[-2] killing[-1] 25[0] civilians[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a broadway theater is bombed . 	a broadway theater is bombed .	1	-2	 a[0] broadway[0] theater[0] is[0] bombed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
