an astonishingly difficult movie to watch , the last temptation of = christ may be scorsese's most important film , and yet his most = impossibly abstract as well . 	Translation	Positive	Negative	EmotionRationale
scorsese presents the life of jesus   christ , through nikos kazantzakis' novel , which details the life of   christ from approximately 20 until the day of crucifixtion . 	scorsese presents the life of jesus   christ , through nikos kazantzakis' novel , which details the life of   christ from approximately 20 until the day of crucifixtion .	1	-1	 scorsese[0] presents[0] the[0] life[0] of[0] jesus[0] christ[0] through[0] nikos[0] kazantzakis'[0] novel[0] which[0] details[0] the[0] life[0] of[0] christ[0] from[0] approximately[0] 20[0] until[0] the[0] day[0] of[0] crucifixtion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jesus of   nazareth ( dafoe ) is a carpenter , who opens the film making crosses , so   that he can escape the fate he is subjected to , his destiny on earth . 	jesus of   nazareth ( dafoe ) is a carpenter , who opens the film making crosses , so   that he can escape the fate he is subjected to , his destiny on earth .	1	-1	 jesus[0] of[0] nazareth[0] dafoe[0] is[0] a[0] carpenter[0] who[0] opens[0] the[0] film[0] making[0] crosses[0] so[0] that[0] he[0] can[0] escape[0] the[0] fate[0] he[0] is[0] subjected[0] to[0] his[0] destiny[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
  yet , he soon learns his evil ways for aiding in the deaths of others ,   and subjects himself to a desert in exile , in hopes that he can reach   god . 	  yet , he soon learns his evil ways for aiding in the deaths of others ,   and subjects himself to a desert in exile , in hopes that he can reach   god .	2	-3	 yet[0] he[0] soon[0] learns[0] his[0] evil[-2] ways[0] for[0] aiding[0] in[0] the[0] deaths[-2] of[0] others[0] and[0] subjects[0] himself[0] to[0] a[0] desert[0] in[0] exile[-1] in[0] hopes[1] that[0] he[0] can[0] reach[0] god[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
before leaving , he asks for forgiveness from mary magdelene   ( barbara hershey ) , a prostitute who is also a childhood friend of jesus . 	before leaving , he asks for forgiveness from mary magdelene   ( barbara hershey ) , a prostitute who is also a childhood friend of jesus .	2	-1	 before[0] leaving[0] he[0] asks[0] for[0] forgiveness[1] from[0] mary[0] magdelene[0] barbara[0] hershey[0] a[0] prostitute[0] who[0] is[0] also[0] a[0] childhood[0] friend[1] of[0] jesus[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
   20 	   20	1	-1	 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after going to the desert , christ learns his true purpose in life ,   and what he must do . 	after going to the desert , christ learns his true purpose in life ,   and what he must do .	2	-1	 after[0] going[0] to[0] the[0] desert[0] christ[0] learns[0] his[0] true[1] purpose[0] in[0] life[0] and[0] what[0] he[0] must[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
aided by judas ( keitel ) , he sets off on teaching   the world his message . 	aided by judas ( keitel ) , he sets off on teaching   the world his message .	1	-1	 aided[0] by[0] judas[0] keitel[0] he[0] sets[0] off[0] on[0] teaching[0] the[0] world[0] his[0] message[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way , he meets john the baptist , the   rest of the prophets , and tries to teach the world his message . 	along the way , he meets john the baptist , the   rest of the prophets , and tries to teach the world his message .	1	-1	 along[0] the[0] way[0] he[0] meets[0] john[0] the[0] baptist[0] the[0] rest[0] of[0] the[0] prophets[0] and[0] tries[0] to[0] teach[0] the[0] world[0] his[0] message[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
christ   is also confronted by internal demons and self-doubt , as he tries to   find his true purpose throughout the entire film . 	christ   is also confronted by internal demons and self-doubt , as he tries to   find his true purpose throughout the entire film .	2	-3	 christ[0] is[0] also[0] confronted[-2] by[0] internal[0] demons[0] and[0] self[0] doubt[-1] as[0] he[0] tries[0] to[0] find[0] his[0] true[1] purpose[0] throughout[0] the[0] entire[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
during the story ,   judas is the closese ally of jesus : his betrayal , argues the film , was   not out of hate , but out of love , in order to allow christ to die . 	during the story ,   judas is the closese ally of jesus : his betrayal , argues the film , was   not out of hate , but out of love , in order to allow christ to die .	3	-4	 during[0] the[0] story[0] judas[0] is[0] the[0] closese[0] ally[0] of[0] jesus[0] his[0] betrayal[-2] argues[-1] the[0] film[0] was[0] not[0] out[0] of[0] hate[-3] but[0] out[0] of[0] love[2] in[0] order[0] to[0] allow[0] christ[0] to[0] die[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
