david cronenberg presents us with another strange tale crawling out of his impressively twisted head . 	Translation	Positive	Negative	EmotionRationale
it is one of many science fiction films , released during the last year of this millenium , that tackles issues that will play an important role in our future . 	it is one of many science fiction films , released during the last year of this millenium , that tackles issues that will play an important role in our future .	1	-1	 it[0] is[0] one[0] of[0] many[0] science[0] fiction[0] films[0] released[0] during[0] the[0] last[0] year[0] of[0] this[0] millenium[0] that[0] tackles[0] issues[0] that[0] will[0] play[0] an[0] important[0] role[0] in[0] our[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story unfolds in a near future , where the line between reality and virtual reality blurs . 	the story unfolds in a near future , where the line between reality and virtual reality blurs .	1	-2	 the[0] story[0] unfolds[0] in[0] a[0] near[0] future[0] where[0] the[0] line[0] between[0] reality[0] and[0] virtual[0] reality[0] blurs[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the world of the future is an unfriendly place , where the scared inhabitants are " hiding " in virtual reality fantasy games to escape the uncertainty of the real world . 	the world of the future is an unfriendly place , where the scared inhabitants are " hiding " in virtual reality fantasy games to escape the uncertainty of the real world .	1	-4	 the[0] world[0] of[0] the[0] future[0] is[0] an[0] unfriendly[-2] place[0] where[0] the[0] scared[-3] inhabitants[0] are[0] hiding[0] in[0] virtual[0] reality[0] fantasy[0] games[0] to[0] escape[0] the[0] uncertainty[0] of[0] the[0] real[0] world[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
allegra geller ( jennifer jason leigh ) , the leading game designer in the world , is testing her new virtual reality game , existenz with a focus group . 	allegra geller ( jennifer jason leigh ) , the leading game designer in the world , is testing her new virtual reality game , existenz with a focus group .	1	-1	 allegra[0] geller[0] jennifer[0] jason[0] leigh[0] the[0] leading[0] game[0] designer[0] in[0] the[0] world[0] is[0] testing[0] her[0] new[0] virtual[0] reality[0] game[0] existenz[0] with[0] a[0] focus[0] group[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as they begin , she is attacked by a fanatic assassin employing a bizarre organic gun . 	as they begin , she is attacked by a fanatic assassin employing a bizarre organic gun .	1	-3	 as[0] they[0] begin[0] she[0] is[0] attacked[-2] by[0] a[0] fanatic[-1] assassin[-2] employing[0] a[0] bizarre[-1] organic[0] gun[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she flees with a young marketing trainee , ted pikul ( jude law ) , who is suddenly assigned as her bodyguard . 	she flees with a young marketing trainee , ted pikul ( jude law ) , who is suddenly assigned as her bodyguard .	1	-2	 she[0] flees[-1] with[0] a[0] young[0] marketing[0] trainee[0] ted[0] pikul[0] jude[0] law[0] who[0] is[0] suddenly[0] assigned[0] as[0] her[0] bodyguard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , her pod , an organic gaming device that contains the only copy of the existenz game program , is damaged . 	unfortunately , her pod , an organic gaming device that contains the only copy of the existenz game program , is damaged .	1	-2	 unfortunately[-1] her[0] pod[0] an[0] organic[0] gaming[0] device[0] that[0] contains[0] the[0] only[0] copy[0] of[0] the[0] existenz[0] game[0] program[0] is[0] damaged[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to inspect it , she talks ted into accepting a gameport in his own body so he can play the game with her . 	to inspect it , she talks ted into accepting a gameport in his own body so he can play the game with her .	1	-1	 to[0] inspect[0] it[0] she[0] talks[0] ted[0] into[0] accepting[0] a[0] gameport[0] in[0] his[0] own[0] body[0] so[0] he[0] can[0] play[0] the[0] game[0] with[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the events leading up to this , and the resulting game lead the pair on a strange adventure in a world where individuality doesn't exist , as the " players " are forced to perform as characters in an unknown plot . 	the events leading up to this , and the resulting game lead the pair on a strange adventure in a world where individuality doesn't exist , as the " players " are forced to perform as characters in an unknown plot .	1	-1	 the[0] events[0] leading[0] up[0] to[0] this[0] and[0] the[0] resulting[0] game[0] lead[0] the[0] pair[0] on[0] a[0] strange[0] adventure[0] in[0] a[0] world[0] where[0] individuality[0] doesn't[0] exist[0] as[0] the[0] players[0] are[0] forced[0] to[0] perform[0] as[0] characters[0] in[0] an[0] unknown[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here the reality and their actions are impossible to determine from either their own or the game's perspective . 	here the reality and their actions are impossible to determine from either their own or the game's perspective .	1	-1	 here[0] the[0] reality[0] and[0] their[0] actions[0] are[0] impossible[0] to[0] determine[0] from[0] either[0] their[0] own[0] or[0] the[0] game's[0] perspective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't intend to reveal more of the film's premise , which is structured as a computer game , with " tasks " that the characters must complete to win the game . 	i don't intend to reveal more of the film's premise , which is structured as a computer game , with " tasks " that the characters must complete to win the game .	1	-1	 i[0] don't[0] intend[0] to[0] reveal[0] more[0] of[0] the[0] film's[0] premise[0] which[0] is[0] structured[0] as[0] a[0] computer[0] game[0] with[0] tasks[0] that[0] the[0] characters[0] must[0] complete[0] to[0] win[0] the[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
released after " the matrix " and " dark city " , " existenz " has some similarities and parallels that connect it to these films . 	released after " the matrix " and " dark city " , " existenz " has some similarities and parallels that connect it to these films .	1	-1	 released[0] after[0] the[0] matrix[0] and[0] dark[0] city[0] existenz[0] has[0] some[0] similarities[0] and[0] parallels[0] that[0] connect[0] it[0] to[0] these[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , " existenz " is moving in a different direction , with a premise of its own . 	however , " existenz " is moving in a different direction , with a premise of its own .	1	-1	 however[0] existenz[0] is[0] moving[0] in[0] a[0] different[0] direction[0] with[0] a[0] premise[0] of[0] its[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a combination of dazzling special effects , brilliantly coordinated action sequences and an intelligent and sophisticated plot , made " the matrix " a rare and entertaining science fiction experience , with some dark and frightening ideas hidden under its sparkling facade . 	a combination of dazling special effects , brilliantly coordinated action sequences and an intelligent and sophisticated plot , made " the matrix " a rare and entertaining science fiction experience , with some dark and frightening ideas hidden under its sparkling facade .	2	-4	 a[0] combination[0] of[0] dazzling/dazling[0] special[1] effects[0] brilliantly[1] coordinated[0] action[0] sequences[0] and[0] an[0] intelligent[1] and[0] sophisticated[0] plot[0] made[0] the[0] matrix[0] a[0] rare[0] and[0] entertaining[0] science[0] fiction[0] experience[0] with[0] some[0] dark[0] and[0] frightening[-3] ideas[0] hidden[0] under[0] its[0] sparkling[0] facade[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " existenz " has a completely different atmosphere , resembling " dark city " , which is darker , more serious and less entertaining . 	 " existenz " has a completely different atmosphere , resembling " dark city " , which is darker , more serious and less entertaining .	1	-2	 existenz[0] has[0] a[0] completely[0] different[0] atmosphere[0] resembling[0] dark[0] city[0] which[0] is[0] darker[0] more[0] serious[-1] and[0] less[0] entertaining[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " existenz " has the opportunities and potential , but the enormous possibilities are never quite explored . 	 " existenz " has the opportunities and potential , but the enormous possibilities are never quite explored .	1	-1	 existenz[0] has[0] the[0] opportunities[0] and[0] potential[0] but[0] the[0] enormous[0] possibilities[0] are[0] never[0] quite[0] explored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the engaging beginning , it starts to falter . 	after the engaging beginning , it starts to falter .	1	-2	 after[0] the[0] engaging[0] beginning[0] it[0] starts[0] to[0] falter[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while i was watching the film , many left the theatre during the first hour . 	while i was watching the film , many left the theatre during the first hour .	1	-1	 while[0] i[0] was[0] watching[0] the[0] film[0] many[0] left[0] the[0] theatre[0] during[0] the[0] first[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and indeed , " existenz " seemed as a complete failure : the actors seemed unreal , the plot and dialogue silly , unfinished relationships and unexplained events followed one after another . 	and indeed , " existenz " seemed as a complete failure : the actors seemed unreal , the plot and dialogue silly , unfinished relationships and unexplained events followed one after another .	1	-4	 and[0] indeed[0] existenz[0] seemed[0] as[0] a[0] complete[0] failure[-2][-1 LastWordBoosterStrength] the[0] actors[0] seemed[0] unreal[0] the[0] plot[0] and[0] dialogue[0] silly[-1] unfinished[0] relationships[0] and[0] unexplained[0] events[0] followed[0] one[0] after[0] another[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but the last fifteen minutes lifted the film on a complete different level , explaining all past events , the silly dialogue and the unreal performances within a few scenes . 	but the last fifteen minutes lifted the film on a complete different level , explaining all past events , the silly dialogue and the unreal performances within a few scenes .	1	-2	 but[0] the[0] last[0] fifteen[0] minutes[0] lifted[0] the[0] film[0] on[0] a[0] complete[0] different[0] level[0] explaining[0] all[0] past[0] events[0] the[0] silly[-1] dialogue[0] and[0] the[0] unreal[0] performances[0] within[0] a[0] few[0] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and jet the film fails on several issues . 	and jet the film fails on several issues .	1	-3	 and[0] jet[0] the[0] film[0] fails[-2] on[0] several[0] issues[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
probably the best written character in the story is a game designer , who would rather spend the rest of her life in a virtual world , than face real life . 	probably the best written character in the story is a game designer , who would rather spend the rest of her life in a virtual world , than face real life .	2	-1	 probably[0] the[0] best[1] written[0] character[0] in[0] the[0] story[0] is[0] a[0] game[0] designer[0] who[0] would[0] rather[0] spend[0] the[0] rest[0] of[0] her[0] life[0] in[0] a[0] virtual[0] world[0] than[0] face[0] real[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a great possibility to create a magnificent character , and jennifer jason leigh stretches cronenberg's script to the limits , but fails because the advantages of virtual reality in comparison to the real world are never shown . 	this is a great possibility to create a magnificent character , and jennifer jason leigh stretches cronenberg's script to the limits , but fails because the advantages of virtual reality in comparison to the real world are never shown .	4	-3	 this[0] is[0] a[0] great[2] possibility[0] to[0] create[0] a[0] magnificent[3] character[0] and[0] jennifer[0] jason[0] leigh[0] stretches[0] cronenberg's[0] script[0] to[0] the[0] limits[0] but[0] fails[-2] because[0] the[0] advantages[0] of[0] virtual[0] reality[0] in[0] comparison[0] to[0] the[0] real[0] world[0] are[0] never[0] shown[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
existenz is not a world of which you might dream about in your fantasies . 	existenz is not a world of which you might dream about in your fantasies .	1	-1	 existenz[0] is[0] not[0] a[0] world[0] of[0] which[0] you[0] might[0] dream[0] about[0] in[0] your[0] fantasies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not a world worth sacrificing your life for . 	it is not a world worth sacrificing your life for .	1	-1	 it[0] is[0] not[0] a[0] world[0] worth[0] sacrificing[0] your[0] life[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a cold , dark place where the " players " are forced to interrelate with unreal characters , eat mutated creatures and even murder against their own will . 	it's a cold , dark place where the " players " are forced to interrelate with unreal characters , eat mutated creatures and even murder against their own will .	1	-4	 it's[0] a[0] cold[-1] dark[0] place[0] where[0] the[0] players[0] are[0] forced[0] to[0] interrelate[0] with[0] unreal[0] characters[0] eat[0] mutated[0] creatures[0] and[0] even[0] murder[-3] against[-1] their[0] own[0] will[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it doesn't look like a place worth even thinking about . 	it doesn't look like a place worth even thinking about .	2	-1	 it[0] doesn't[0] look[0] like[1] a[0] place[0] worth[0] even[0] thinking[0] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
