if you thought baz luhrmann's radical take on _william_shakespeare's_romeo_+_juliet_ was wild , wait until what you see what tony award-winning stage director julie taymor ( _the_lion_king : _the_broadway_musical_ ) does to the bard's _titus_andronicus_ for her audacious--and very bloody--film debut . 	Translation	Positive	Negative	EmotionRationale
while luhrmann transplanted the star-crossed lovers to 1990s florida , taymor keeps this grisly tale of revenge in rome--but places it in a surreal temporal limbo . 	while luhrman transplanted the star-crossed lovers to 1990s florida , taymor keeps this grisly tale of revenge in rome-but places it in a surreal temporal limbo .	4	-2	 while[0] luhrmann/luhrman[0] transplanted[0] the[0] star[0] crossed[0] lovers[3] to[0] 1990s[0] florida[0] taymor[0] keeps[0] this[0] grisly[0] tale[0] of[0] revenge[-1] in[0] rome[0] but[0] places[0] it[0] in[0] a[0] surreal[0] temporal[0] limbo[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the colosseum suggests the proper time of imperial rome , but high rises and heavy duty kitchen ovens suggest the 1990s , while the vintage automobiles and some costumes are more '40s and '50s , and other garments are more gladiator-like . 	the colosseum suggests the proper time of imperial rome , but high rises and heavy duty kitchen ovens suggest the 1990s , while the vintage automobiles and some costumes are more '40s and '50s , and other garments are more gladiator-like .	2	-2	 the[0] colosseum[0] suggests[0] the[0] proper[0] time[0] of[0] imperial[0] rome[0] but[0] high[0] rises[0] and[0] heavy[0] duty[-1] kitchen[0] ovens[0] suggest[0] the[0] 1990s[0] while[0] the[0] vintage[0] automobiles[0] and[0] some[0] costumes[0] are[0] more[0] '40s[0] and[0] '50s[0] and[0] other[0] garments[0] are[0] more[0] gladiator[0] like[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as tamora , queen of goths ( jessica lange ) exacts revenge on roman general titus ( anthony hopkins ) for killing her eldest son , and he does the same to her for the wrongs she commits , taymor obviously wanted to express the timeless relevance of the story's underlying themes . 	as tamora , queen of goths ( jessica lange ) exacts revenge on roman general titus ( anthony hopkins ) for killing her eldest son , and he does the same to her for the wrongs she commits , taymor obviously wanted to express the timeless relevance of the story's underlying themes .	1	-3	 as[0] tamora[0] queen[0] of[0] goths[0] jessica[0] lange[0] exacts[0] revenge[-1] on[0] roman[0] general[0] titus[0] anthony[0] hopkins[0] for[0] killing[-1] her[0] eldest[0] son[0] and[0] he[0] does[0] the[0] same[0] to[0] her[0] for[0] the[0] wrongs[-2] she[0] commits[0] taymor[0] obviously[0] wanted[0] to[0] express[0] the[0] timeless[0] relevance[0] of[0] the[0] story's[0] underlying[0] themes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , the time convergence approach only works at times , for often it's just distracting , as in one scene where tamora's suviving sons ( matthew rhys and jonathan rhys meyers ) blow off steam playing video arcade games . 	however , the time convergence approach only works at times , for often it's just distracting , as in one scene where tamora's suviving sons ( matthew rhys and jonathan rhys meyers ) blow off steam playing video arcade games .	2	-1	 however[0] the[0] time[0] convergence[0] approach[0] only[0] works[0] at[0] times[0] for[0] often[0] it's[0] just[0] distracting[-1][--1 LastWordBoosterStrength] as[0] in[0] one[0] scene[0] where[0] tamora's[0] suviving[0] sons[0] matthew[0] rhys[0] and[0] jonathan[0] rhys[0] meyers[0] blow[0] off[0] steam[0] playing[1] video[0] arcade[0] games[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
taymor didn't have to resort to such avant garde time tricks , for the story would have resonated just as strongly had she jettisoned them . 	taymor didn't have to resort to such avant garde time tricks , for the story would have resonated just as strongly had she jettisoned them .	1	-2	 taymor[0] didn't[0] have[0] to[0] resort[0] to[0] such[0] avant[0] garde[0] time[0] tricks[-1] for[0] the[0] story[0] would[0] have[0] resonated[0] just[0] as[0] strongly[0] had[0] she[0] jettisoned[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is a strong storyteller and a master visual stylist , the latter compliment encompassing all areas , makeup and costume choices as well as those in the editing and photography departments . 	she is a strong storyteller and a master visual stylist , the latter compliment encompassing all areas , makeup and costume choices as well as those in the editing and photography departments .	2	-1	 she[0] is[0] a[0] strong[0] storyteller[0] and[0] a[0] master[0] visual[0] stylist[0] the[0] latter[0] compliment[1] encompassing[0] all[0] areas[0] makeup[0] and[0] costume[0] choices[0] as[0] well[0] as[0] those[0] in[0] the[0] editing[0] and[0] photography[0] departments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she also has a sure way with actors ; hopkins' titus is at once tragic and horrifying , and lange is sultry as the viperous tamora . 	she also has a sure way with actors ; hopkins' titus is at once tragic and horrifying , and lange is sultry as the viperous tamora .	1	-4	 she[0] also[0] has[0] a[0] sure[0] way[0] with[0] actors[0] hopkins'[0] titus[0] is[0] at[0] once[0] tragic[-2] and[0] horrifying[-3] and[0] lange[0] is[0] sultry[0] as[0] the[0] viperous[-1] tamora[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the clear standout of the cast , however , is harry lennix as aaron , a moor who is tamora's secret lover and a schemer in his own right . 	the clear standout of the cast , however , is harry lennix as aron , a moor who is tamora's secret lover and a schemer in his own right .	4	-1	 the[0] clear[0] standout[0] of[0] the[0] cast[0] however[0] is[0] harry[0] lennix[0] as[0] aaron/aron[0] a[0] moor[0] who[0] is[0] tamora's[0] secret[0] lover[3] and[0] a[0] schemer[0] in[0] his[0] own[0] right[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
lennix brings great depth to a role that could have easily been played as a stock villain . 	lennix brings great depth to a role that could have easily been played as a stock villain .	3	-3	 lennix[0] brings[0] great[2] depth[0] to[0] a[0] role[0] that[0] could[0] have[0] easily[0] been[0] played[0] as[0] a[0] stock[0] villain[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a great villain he indeed is , but to leave it at that isn't giving full justice to his powerful and multi-dimensional work . 	a great villain he indeed is , but to leave it at that isn't giving full justice to his powerful and multi-dimensional work .	3	-3	 a[0] great[2] villain[-2] he[0] indeed[0] is[0] but[0] to[0] leave[0] it[0] at[0] that[0] isn't[0] giving[0] full[0] justice[0] to[0] his[0] powerful[0] and[0] multi[0] dimensional[0] work[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
