it's wednesday , march 27 , and a murder investigation is underway in charlotte , south carolina . 	Translation	Positive	Negative	EmotionRationale
the crime : a young prostitute , elizabeth ( renee zellweger ) , has been brutally slain . 	the crime : a young prostitute , elizabeth ( renee zellweger ) , has been brutally slain .	1	-3	 the[0] crime[-1] a[0] young[0] prostitute[0] elizabeth[0] renee[0] zellweger[0] has[0] been[0] brutally[-2] slain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one half of her severed body was found in a bag at the train station . 	one half of her severed body was found in a bag at the train station .	1	-2	 one[0] half[0] of[0] her[0] severed[-1] body[0] was[0] found[0] in[0] a[0] bag[0] at[0] the[0] train[0] station[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other half was discovered in a trunk at the harbor authority , miles away . 	the other half was discovered in a trunk at the harbor authority , miles away .	1	-1	 the[0] other[0] half[0] was[0] discovered[0] in[0] a[0] trunk[0] at[0] the[0] harbor[0] authority[0] miles[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the police duo of braxton ( chris penn ) and kennesaw ( michael rooker ) are strapped for leads . 	the police duo of braxton ( chris pen ) and kennesaw ( michael rooker ) are strapped for leads .	1	-1	 the[0] police[0] duo[0] of[0] braxton[0] chris[0] penn/pen[0] and[0] kennesaw[0] michael[0] rooker[0] are[0] strapped[0] for[0] leads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the moment , they have only one possible suspect : wayland ( tim roth ) , a wealthy , unemployed genius who graduated summa cum laude from princeton and appears to be the least likely character to commit such a heinous act . 	at the moment , they have only one possible suspect : wayland ( tim roth ) , a wealthy , unemployed genius who graduated summa cum laude from princeton and appears to be the least likely character to commit such a heinous act .	1	-5	 at[0] the[0] moment[0] they[0] have[0] only[0] one[0] possible[0] suspect[-1] wayland[0] tim[0] roth[0] a[0] wealthy[0] unemployed[-1] genius[0] who[0] graduated[0] summa[0] cum[0] laude[0] from[0] princeton[0] and[0] appears[0] to[0] be[0] the[0] least[0] likely[0] character[0] to[0] commit[0] such[0] a[0] heinous[-4] act[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
that's the premise for deceiver , a new thriller from the pate brothers , jonas and josh , who made their mark on the film world two years ago at sundance with the movie the grave . 	that's the premise for deceiver , a new thriller from the pate brothers , jonas and josh , who made their mark on the film world two years ago at sundance with the movie the grave .	2	-3	 that's[0] the[0] premise[0] for[0] deceiver[0] a[0] new[0] thriller[1] from[0] the[0] pate[0] brothers[0] jonas[0] and[0] josh[0] who[0] made[0] their[0] mark[0] on[0] the[0] film[0] world[0] two[0] years[0] ago[0] at[0] sundance[0] with[0] the[0] movie[0] the[0] grave[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
deceiver plays out like a mind game between the intellectually superior wayland and the two not- so-bright cops ( captions early in the proceedings let us know that wayland's iq is 151 ; by contrast , kennesaw's is 122 and braxton's is 102 ) . 	deceiver plays out like a mind game between the intellectually superior wayland and the two not- so-bright cops ( captions early in the proceedings let us know that wayland's iq is 151 ; by contrast , kennesaw's is 122 and braxton's is 102 ) .	3	-1	 deceiver[0] plays[1] out[0] like[1] a[0] mind[0] game[0] between[0] the[0] intellectually[0] superior[2] wayland[0] and[0] the[0] two[0] not[0] so[0] bright[0] cops[0] captions[0] early[0] in[0] the[0] proceedings[0] let[0] us[0] know[0] that[0] wayland's[0] iq[0] is[0] 151[0] by[0] contrast[0] kennesaw's[0] is[0] 122[0] and[0] braxton's[0] is[0] 102[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the setting is a police interrogation room where a lie detector test is about to be administered . 	the setting is a police interrogation room where a lie detector test is about to be administered .	1	-1	 the[0] setting[0] is[0] a[0] police[0] interrogation[0] room[0] where[0] a[0] lie[0] detector[0] test[0] is[0] about[0] to[0] be[0] administered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
over three days , as wayland returns to answer more questions , the drama and tension among these three characters gradually escalates until , inevitably , it boils over . 	over three days , as wayland returns to answer more questions , the drama and tension among these three characters gradually escalates until , inevitably , it boils over .	1	-3	 over[0] three[0] days[0] as[0] wayland[0] returns[0] to[0] answer[0] more[0] questions[0] the[0] drama[0] and[0] tension[-2] among[0] these[0] three[0] characters[0] gradually[0] escalates[0] until[0] inevitably[0] it[0] boils[0] over[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
other plot elements are thrown in for good measure . 	other plot elements are thrown in for good measure .	2	-1	 other[0] plot[0] elements[0] are[0] thrown[0] in[0] for[0] good[1] measure[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
