seen at the 21st portland international film festival 	Translation	Positive	Negative	EmotionRationale
film title : supermarket woman director : juzo itami country : japan 1997 cinematography : yonezo maeda music : toshiyuki honda cast : nobuko miyamoto , masahitko tsugawa , shiro ito , yuji miyake , akiko matsumoto super features : typical itami film . . . 	film title : supermarket woman director : juzo itami country : japan 1997 cinematography : yonezo maeda music : toshiyuki honda cast : nobuko miyamoto , masahitko tsugawa , shiro ito , yuji miyake , akiko matsumoto super features : typical itami film .<br> .<br> .	3	-1	 film[0] title[0] supermarket[0] woman[0] director[0] juzo[0] itami[0] country[0] japan[0] 1997[0] cinematography[0] yonezo[0] maeda[0] music[0] toshiyuki[0] honda[0] cast[0] nobuko[0] miyamoto[0] masahitko[0] tsugawa[0] shiro[0] ito[0] yuji[0] miyake[0] akiko[0] matsumoto[0] super[2] features[0] typical[0] itami[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
funny and pointed in its own way . 	funny and pointed in its own way .	2	-1	 funny[1] and[0] pointed[0] in[0] its[0] own[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you don't care how and what the food you buy goes through in your local supermarket , then this film is not for you . . . . 	if you don't care how and what the food you buy goes through in your local supermarket , then this film is not for you .<br> .<br> .<br> .	1	-2	 if[0] you[0] don't[0] care[1][NegatedDueToPreviousWord] how[0] and[0] what[0] the[0] food[0] you[0] buy[0] goes[0] through[0] in[0] your[0] local[0] supermarket[0] then[0] this[0] film[0] is[0] not[0] for[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe it is better to ignore it , as this strong and biting satire , as only juzo itami can deliver , will give you an insight as to what some foods go through . 	maybe it is better to ignore it , as this strong and biting satire , as only juzo itami can deliver , will give you an insight as to what some foods go through .	1	-1	 maybe[0] it[0] is[0] better[0] to[0] ignore[0] it[0] as[0] this[0] strong[0] and[0] biting[0] satire[0] as[0] only[0] juzo[0] itami[0] can[0] deliver[0] will[0] give[0] you[0] an[0] insight[0] as[0] to[0] what[0] some[0] foods[0] go[0] through[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having , in the past , made films that pulled every punch imaginable , from the family traditions ( the funeral ) , to taxes ( a taxing woman & a taxing woman returns ) , to the diabolical gangsters ( minbo ) , to hospitals ( the seriously ill ) , juzo itami , this time takes on the supermarkets' own war , to get the consumers . 	having , in the past , made films that pulled every punch imaginable , from the family traditions ( the funeral ) , to taxes ( a taxing woman & a taxing woman returns ) , to the diabolical gangsters ( minbo ) , to hospitals ( the seriously ill ) , juzo itami , this time takes on the supermarkets' own war , to get the consumers .	1	-3	 having[0] in[0] the[0] past[0] made[0] films[0] that[0] pulled[0] every[0] punch[-1] imaginable[0] from[0] the[0] family[0] traditions[0] the[0] funeral[0] to[0] taxes[-1] a[0] taxing[-1] woman[0] &[0] a[0] taxing[-1] woman[0] returns[0] to[0] the[0] diabolical[-1] gangsters[0] minbo[0] to[0] hospitals[0] the[0] seriously[0] ill[-1] juzo[0] itami[0] this[0] time[0] takes[0] on[0] the[0] supermarkets'[0] own[0] war[-2] to[0] get[0] the[0] consumers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and while this film has its funny side , in the crazy situations that it creates , it also shows another side , which is very much the attitude of a corporate structure that is more concerned with its profits than it is with any customer . 	and while this film has its funny side , in the crazy situations that it creates , it also shows another side , which is very much the attitude of a corporate structure that is more concerned with its profits than it is with any customer .	2	-2	 and[0] while[0] this[0] film[0] has[0] its[0] funny[1] side[0] in[0] the[0] crazy[-1] situations[0] that[0] it[0] creates[0] it[0] also[0] shows[0] another[0] side[0] which[0] is[0] very[0] much[0] the[0] attitude[0] of[0] a[0] corporate[0] structure[0] that[0] is[0] more[0] concerned[-1] with[0] its[0] profits[1] than[0] it[0] is[0] with[0] any[0] customer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
goro has a supermarket . 	goro has a supermarket .	1	-1	 goro[0] has[0] a[0] supermarket[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and a competitor comes into the neighborhood , trying to take him out of business by providing less expensive prices for everything that is sold in the supermarket . 	and a competitor comes into the neighborhood , trying to take him out of business by providing less expensive prices for everything that is sold in the supermarket .	1	-2	 and[0] a[0] competitor[0] comes[0] into[0] the[0] neighborhood[0] trying[0] to[0] take[0] him[0] out[0] of[0] business[0] by[0] providing[0] less[0] expensive[-1] prices[0] for[0] everything[0] that[0] is[0] sold[0] in[0] the[0] supermarket[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bargains galore , its name , has in mind the closure of goro's humbler venue , so that in the end it can mark up its prices in any way it can . 	bargains galore , its name , has in mind the closure of goro's humbler venue , so that in the end it can mark up its prices in any way it can .	1	-1	 bargains[0] galore[0] its[0] name[0] has[0] in[0] mind[0] the[0] closure[0] of[0] goro's[0] humbler[0] venue[0] so[0] that[0] in[0] the[0] end[0] it[0] can[0] mark[0] up[0] its[0] prices[0] in[0] any[0] way[0] it[0] can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
goro hires hanako , a housewife whose talents seem to be better suited to management , than they are in anything else . 	goro hires hanako , a housewife whose talents seem to be better suited to management , than they are in anything else .	2	-1	 goro[0] hires[0] hanako[0] a[0] housewife[0] whose[0] talents[1] seem[0] to[0] be[0] better[0] suited[0] to[0] management[0] than[0] they[0] are[0] in[0] anything[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
