disney cements their place in the forefront of feature animation with the release of their latest animated adventure , mulan . 	Translation	Positive	Negative	EmotionRationale
while it adheres a bit too close to the disney formula to be perfect , it is nonetheless an entertaining film for both kids and adults . 	while it adheres a bit too close to the disney formula to be perfect , it is nonetheless an entertaining film for both kids and adults .	2	-1	 while[0] it[0] adheres[0] a[0] bit[0] too[0] close[0] to[0] the[0] disney[0] formula[0] to[0] be[0] perfect[1] it[0] is[0] nonetheless[0] an[0] entertaining[0] film[0] for[0] both[0] kids[0] and[0] adults[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fa mulan ( ming-na wen , singing : lea salonga ) wants nothing more than to be a dutiful daughter and honor her family . . . it's 	fa mulan ( ming-na wen , singing : lea salonga ) wants nothing more than to be a dutiful daughter and honor her family .<br> .<br> .<br> it's	1	-1	 fa[0] mulan[0] ming[0] na[0] wen[0] singing[0] lea[0] salonga[0] wants[0] nothing[0] more[0] than[0] to[0] be[0] a[0] dutiful[0] daughter[0] and[0] honor[0] her[0] family[0] [[Sentence=-1,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just that she doesn't quite fit in with the chafing customs of her time . 	just that she doesn't quite fit in with the chafing customs of her time .	1	-1	 just[0] that[0] she[0] doesn't[0] quite[0] fit[0] in[0] with[0] the[0] chafing[0] customs[0] of[0] her[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while most girls her age are trying to quietly and demurely seek the approval of the local matchmaker ( miriam margoyles ) , mulan would prefer speaking her mind . 	while most girls her age are trying to quietly and demurely seek the approval of the local matchmaker ( miriam margoyles ) , mulan would prefer speaking her mind .	1	-1	 while[0] most[0] girls[0] her[0] age[0] are[0] trying[0] to[0] quietly[0] and[0] demurely[0] seek[0] the[0] approval[0] of[0] the[0] local[0] matchmaker[0] miriam[0] margoyles[0] mulan[0] would[0] prefer[0] speaking[0] her[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there is trouble on the horizon . 	but there is trouble on the horizon .	1	-2	 but[0] there[0] is[0] trouble[-1] on[0] the[0] horizon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the evil huns , led by shan-yu ( miguel ferrer ) , are invading china . 	the evil huns , led by shan-yu ( miguel ferrer ) , are invading china .	1	-3	 the[0] evil[-2] huns[0] led[0] by[0] shan[0] yu[0] miguel[0] ferrer[0] are[0] invading[0] china[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the emperor ( pat morita ) has decreed that each family must donate one man to serve in the army . 	the emperor ( pat morita ) has decreed that each family must donate one man to serve in the army .	1	-1	 the[0] emperor[0] pat[0] morita[0] has[0] decreed[0] that[0] each[0] family[0] must[0] donate[0] one[0] man[0] to[0] serve[0] in[0] the[0] army[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only male in mulan's family is her father , fa zhou ( soon-tek oh ) , who , old and with a bad leg , honorably accepts his fate . 	the only male in mulan's family is her father , fa zhou ( soon-tek oh ) , who , old and with a bad leg , honorably accepts his fate .	2	-2	 the[0] only[0] male[0] in[0] mulan's[0] family[0] is[0] her[0] father[0] fa[0] zhou[0] soon[0] tek[0] oh[0] who[0] old[0] and[0] with[0] a[0] bad[-1] leg[0] honorably[1] accepts[0] his[0] fate[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mulan , on the other hand , decides to save her father's life . . . by 	mulan , on the other hand , decides to save her father's life .<br> .<br> .<br> by	2	-1	 mulan[0] on[0] the[0] other[0] hand[0] decides[0] to[0] save[1] her[0] father's[0] life[0] [[Sentence=-1,2=word max, 1-5]] by[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
secretly masquerading as a man and taking his place on the battlefield . 	secretly masquerading as a man and taking his place on the battlefield .	1	-2	 secretly[0] masquerading[0] as[0] a[0] man[0] and[0] taking[0] his[0] place[0] on[0] the[0] battlefield[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
