countries and legal systems that take the rule of law principle seriously , had forbidden judges and juries to make judgements in all matters that could involve them personally . 	Translation	Positive	Negative	EmotionRationale
luckily , movie reviewers aren't burdened with such legislation . 	luckily , movie reviewers aren't burdened with such legislation .	3	-1	 luckily[2] movie[0] reviewers[0] aren't[0] burdened[-1][NegatedDueToPreviousWord] with[0] such[0] legislation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
otherwise , small pool of very special movies would be forever ignored by this reviewer . 	otherwise , small pool of very special movies would be forever ignored by this reviewer .	3	-1	 otherwise[0] small[0] pool[0] of[0] very[0] special[1][1 LastWordBoosterStrength] movies[0] would[0] be[0] forever[0] ignored[0] by[0] this[0] reviewer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in case of star wars , 1977 science fiction epic by george lucas , the consequences would be even more severe , because that film is very special for tens of millions , if not hundreds of millions of fans . 	in case of star wars , 1977 science fiction epic by george lucas , the consequences would be even more severe , because that film is very special for tens of millions , if not hundreds of millions of fans .	3	-3	 in[0] case[0] of[0] star[0] wars[-2] 1977[0] science[0] fiction[0] epic[0] by[0] george[0] lucas[0] the[0] consequences[0] would[0] be[0] even[0] more[0] severe[-1] because[0] that[0] film[0] is[0] very[0] special[1][1 LastWordBoosterStrength] for[0] tens[0] of[0] millions[0] if[0] not[0] hundreds[0] of[0] millions[0] of[0] fans[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in any case , objectivity is something seldom seen in star wars reviews , because undisputed majority of reviewers rate it as one of the best , if not the best film of all times . 	in any case , objectivity is something seldom seen in star wars reviews , because undisputed majority of reviewers rate it as one of the best , if not the best film of all times .	2	-3	 in[0] any[0] case[0] objectivity[0] is[0] something[0] seldom[0] seen[0] in[0] star[0] wars[-2] reviews[0] because[0] undisputed[0] majority[0] of[0] reviewers[0] rate[0] it[0] as[0] one[0] of[0] the[0] best[1] if[0] not[0] the[0] best[1][NegatedDueToPreviousWord] film[0] of[0] all[0] times[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
those who don't usually have some difficulties in hiding their artistic snobbery . 	those who don't usually have some difficulties in hiding their artistic snobbery .	1	-3	 those[0] who[0] don't[0] usually[0] have[0] some[0] difficulties[-1][--1 LastWordBoosterStrength] in[0] hiding[0] their[0] artistic[0] snobbery[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the author of this review must also concede his inability to use cold , objective standards in reviewing this film . 	the author of this review must also concede his inability to use cold , objective standards in reviewing this film .	1	-2	 the[0] author[0] of[0] this[0] review[0] must[0] also[0] concede[0] his[0] inability[-1] to[0] use[0] cold[-1] objective[0] standards[0] in[0] reviewing[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like so many previous reviewers , i must note that i watched star wars for the first time twenty years ago , and that i remained enchanted by the experience ever since . 	like so many previous reviewers , i must note that i watched star wars for the first time twenty years ago , and that i remained enchanted by the experience ever since .	2	-3	 like[1] so[0] many[0] previous[0] reviewers[0] i[0] must[0] note[0] that[0] i[0] watched[0] star[0] wars[-2] for[0] the[0] first[0] time[0] twenty[0] years[0] ago[0] and[0] that[0] i[0] remained[0] enchanted[0] by[0] the[0] experience[0] ever[0] since[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
perhaps it was childlike fascination with , until then unimaginable , wonders that happened long time ago , in a galaxy far away . 	perhaps it was childlike fascination with , until then unimaginable , wonders that happened long time ago , in a galaxy far away .	1	-1	 perhaps[0] it[0] was[0] childlike[0] fascination[0] with[0] until[0] then[0] unimaginable[0] wonders[0] that[0] happened[0] long[0] time[0] ago[0] in[0] a[0] galaxy[0] far[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or perhaps it was the rush i felt minutes before the opening shots , with my expectations already pumped up by serialised comic books and novelisation i had read before . 	or perhaps it was the rush i felt minutes before the opening shots , with my expectations already pumped up by serialised comic books and novelisation i had read before .	1	-1	 or[0] perhaps[0] it[0] was[0] the[0] rush[0] i[0] felt[0] minutes[0] before[0] the[0] opening[0] shots[0] with[0] my[0] expectations[0] already[0] pumped[0] up[0] by[0] serialised[0] comic[0] books[0] and[0] novelisation[0] i[0] had[0] read[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , watching of star wars was one of the most important movie going experiences of my life . 	anyway , watching of star wars was one of the most important movie going experiences of my life .	1	-3	 anyway[0] watching[0] of[0] star[0] wars[-2] was[0] one[0] of[0] the[0] most[0] important[0] movie[0] going[0] experiences[0] of[0] my[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and it was also unmatched for many years to come , because very few movies managed to have such a strong impact on me like george lucas' epic . 	and it was also unmatched for many years to come , because very few movies managed to have such a strong impact on me like george lucas' epic .	2	-1	 and[0] it[0] was[0] also[0] unmatched[0] for[0] many[0] years[0] to[0] come[0] because[0] very[0] few[0] movies[0] managed[0] to[0] have[0] such[0] a[0] strong[0] impact[0] on[0] me[0] like[1] george[0] lucas'[0] epic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
star wars wasn't just important movie for me ( or the millions of fans who probably share the same sentiment ) . 	star wars wasn't just important movie for me ( or the millions of fans who probably share the same sentiment ) .	1	-3	 star[0] wars[-2] wasn't[0] just[0] important[0] movie[0] for[0] me[0] or[0] the[0] millions[0] of[0] fans[0] who[0] probably[0] share[0] the[0] same[0] sentiment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was the defining moment in the history of modern cinema . 	it was the defining moment in the history of modern cinema .	1	-1	 it[0] was[0] the[0] defining[0] moment[0] in[0] the[0] history[0] of[0] modern[0] cinema[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
