ingredients : james bond , scuba scene , car controlled by cellular telephone 	Translation	Positive	Negative	EmotionRationale
synopsis : warped media tycoon elliot carver ( jonathan pryce ) plots to start a war between britain and china in order to boost ratings by using a 'stealth ship' to fire a captured british missile at the city of beijing . 	synopsis : warped media tycoon elliot carver ( jonathan pryce ) plots to start a war between britain and china in order to boost ratings by using a 'stealth ship' to fire a captured british missile at the city of beijing .	1	-3	 synopsis[0] warped[-1] media[0] tycoon[0] elliot[0] carver[0] jonathan[0] pryce[-1] plots[0] to[0] start[0] a[0] war[-2] between[0] britain[0] and[0] china[0] in[0] order[0] to[0] boost[0] ratings[0] by[0] using[0] a[0] 'stealth[0] ship'[0] to[0] fire[0] a[0] captured[-1] british[0] missile[0] at[0] the[0] city[0] of[0] beijing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
super-agent james bond ( pierce brosnan ) uses trick gadgets , pluck , and charm in order to foil carver's scheme . 	super-agent james bond ( pierce brosnan ) uses trick gadgets , pluck , and charm in order to foil carver's scheme .	3	-2	 super[2] agent[0] james[0] bond[0] pierce[0] brosnan[0] uses[0] trick[-1] gadgets[0] pluck[0] and[0] charm[1] in[0] order[0] to[0] foil[0] carver's[0] scheme[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this time bond teams up with top female agent wai lin from china ( michelle yeoh ) . 	this time bond teams up with top female agent wai lin from china ( michelle yeoh ) .	1	-1	 this[0] time[0] bond[0] teams[0] up[0] with[0] top[0] female[0] agent[0] wai[0] lin[0] from[0] china[0] michelle[0] yeoh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film contains fights , chases , gadgets , and comedic moments . 	the film contains fights , chases , gadgets , and comedic moments .	1	-3	 the[0] film[0] contains[0] fights[-2] chases[-1] gadgets[0] and[0] comedic[0] moments[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
opinion : it does not have a casino scene or a ski scene , but tomorrow never dies is nevertheless a solid , enjoyable bond movie . 	opinion : it does not have a casino scene or a ski scene , but tomorrow never dies is nevertheless a solid , enjoyable bond movie .	3	-1	 opinion[0] it[0] does[0] not[0] have[0] a[0] casino[0] scene[0] or[0] a[0] ski[0] scene[0] but[0] tomorrow[0] never[0] dies[0] is[0] nevertheless[0] a[0] solid[0] enjoyable[2] bond[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it neither stands out nor disappoints . 	it neither stands out nor disappoints .	1	-2	 it[0] neither[0] stands[0] out[0] nor[0] disappoints[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in old bond movies bond sometimes teamed up with american cia agent felix leiter . 	in old bond movies bond sometimes teamed up with american cia agent felix leiter .	1	-1	 in[0] old[0] bond[0] movies[0] bond[0] sometimes[0] teamed[0] up[0] with[0] american[0] cia[0] agent[0] felix[0] leiter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tomorrow never dies introduces a new character in the form of chinese agent wai lin . 	tomorrow never dies introduces a new character in the form of chinese agent wai lin .	1	-1	 tomorrow[0] never[0] dies[0] introduces[0] a[0] new[0] character[0] in[0] the[0] form[0] of[0] chinese[0] agent[0] wai[0] lin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like leiter's character , wai lin would be a sure bet for a cameo in a later bond movie . 	like leiter's character , wai lin would be a sure bet for a cameo in a later bond movie .	2	-1	 like[1] leiter's[0] character[0] wai[0] lin[0] would[0] be[0] a[0] sure[0] bet[0] for[0] a[0] cameo[0] in[0] a[0] later[0] bond[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stars : michelle yeoh was born a leo in the western zodiac in the year of the tiger on the asian astrology calendar . 	stars : michelle yeoh was born a leo in the western zodiac in the year of the tiger on the asian astrology calendar .	1	-1	 stars[0] michelle[0] yeoh[0] was[0] born[0] a[0] leo[0] in[0] the[0] western[0] zodiac[0] in[0] the[0] year[0] of[0] the[0] tiger[0] on[0] the[0] asian[0] astrology[0] calendar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don t believe in horoscopes . 	i don t believe in horoscopes .	1	-1	 i[0] don[0] t[0] believe[0] in[0] horoscopes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but at an airport i once browsed an astrology book with a section on leo tigers ( lts ) . 	but at an airport i once browsed an astrology book with a section on leo tigers ( lts ) .	1	-1	 but[0] at[0] an[0] airport[0] i[0] once[0] browsed[0] an[0] astrology[0] book[0] with[0] a[0] section[0] on[0] leo[0] tigers[0] lts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " leo tigers prefer enough solitude to grow at their own pace . 	 " leo tigers prefer enough solitude to grow at their own pace .	1	-1	 leo[0] tigers[0] prefer[0] enough[0] solitude[0] to[0] grow[0] at[0] their[0] own[0] pace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lts are unbelievably courageous when facing adversity . 	lts are unbelievably courageous when facing adversity .	2	-2	 lts[0] are[0] unbelievably[-1] courageous[1] when[0] facing[0] adversity[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
