i have to admit that i disliked this film initially . 	Translation	Positive	Negative	EmotionRationale
it certianly isn't for every taste , and it's sheer torture to sit through if you're in a restless mood . 	it certianly isn't for every taste , and it's sheer torture to sit through if you're in a restless mood .	1	-4	 it[0] certianly[0] isn't[0] for[0] every[0] taste[0] and[0] it's[0] sheer[0] torture[-3] to[0] sit[0] through[0] if[0] you're[0] in[0] a[0] restless[-1] mood[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that said , if you are in the right mood , it's absolutely incredible . 	that said , if you are in the right mood , it's absolutely incredible .	1	-1	 that[0] said[0] if[0] you[0] are[0] in[0] the[0] right[0] mood[0] it's[0] absolutely[0] incredible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this was my second favorite movie of 1998 , and would have been a shoo-in for first in almost any other year . 	this was my second favorite movie of 1998 , and would have been a shoo-in for first in almost any other year .	2	-1	 this[0] was[0] my[0] second[0] favorite[1] movie[0] of[0] 1998[0] and[0] would[0] have[0] been[0] a[0] shoo[0] in[0] for[0] first[0] in[0] almost[0] any[0] other[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps the big turn-off for many was this film's unconventionality . 	perhaps the big turn-off for many was this film's unconventionality .	1	-1	 perhaps[0] the[0] big[0] turn[0] off[0] for[0] many[0] was[0] this[0] film's[0] unconventionality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd be hard-pressed to compare it to any other film that i've seen - it is very , very artsy , incredibly slow - and amazingly , it works beautifully . 	i'd be hard-pressed to compare it to any other film that i've seen - it is very , very artsy , incredibly slow - and amazingly , it works beautifully .	3	-1	 i'd[0] be[0] hard[0] pressed[0] to[0] compare[0] it[0] to[0] any[0] other[0] film[0] that[0] i've[0] seen[0] it[0] is[0] very[0] very[0] artsy[0] incredibly[0] slow[0] and[0] amazingly[2] it[0] works[0] beautifully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on my second viewing , i realized that the film follows the three act structure ( i didn't think it had any sort of structure at all when i first saw it ) . 	on my second viewing , i realized that the film follows the three act structure ( i didn't think it had any sort of structure at all when i first saw it ) .	1	-1	 on[0] my[0] second[0] viewing[0] i[0] realized[0] that[0] the[0] film[0] follows[0] the[0] three[0] act[0] structure[0] i[0] didn't[0] think[0] it[0] had[0] any[0] sort[0] of[0] structure[0] at[0] all[0] when[0] i[0] first[0] saw[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first act serves to set up the characters - sort of . 	the first act serves to set up the characters - sort of .	1	-1	 the[0] first[0] act[0] serves[0] to[0] set[0] up[0] the[0] characters[0] sort[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it exists even moreso to set a mood of tension and restlesness , and perhaps even feelings of boredom . 	it exists even moreso to set a mood of tension and restlesness , and perhaps even feelings of boredom .	1	-3	 it[0] exists[0] even[0] moreso[0] to[0] set[0] a[0] mood[0] of[0] tension[-2] and[0] restlesness[0] and[0] perhaps[0] even[0] feelings[0] of[0] boredom[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and then it is shattered by the intense violence of the second ( which encompasses most of the movie ) . 	and then it is shattered by the intense violence of the second ( which encompasses most of the movie ) .	1	-4	 and[0] then[0] it[0] is[0] shattered[0] by[0] the[0] intense[0] violence[-3] of[0] the[0] second[0] which[0] encompasses[0] most[0] of[0] the[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the majority of the film is one extended battle scene , intercut with brief flashbacks and voice-overs . 	the majority of the film is one extended battle scene , intercut with brief flashbacks and voice-overs .	1	-2	 the[0] majority[0] of[0] the[0] film[0] is[0] one[0] extended[0] battle[-1] scene[0] intercut[0] with[0] brief[0] flashbacks[0] and[0] voice[0] overs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the artsier elements do not detract from the action , but add to it - they succeed in briefly letting the viewer peek into the minds of the soldiers , only to be suddenly yanked back into reality when the battle resumes . 	the artsier elements do not detract from the action , but add to it - they succeed in briefly letting the viewer peek into the minds of the soldiers , only to be suddenly yanked back into reality when the battle resumes .	3	-2	 the[0] artsier[0] elements[0] do[0] not[0] detract[-1][NegatedDueToPreviousWord] from[0] the[0] action[0] but[0] add[0] to[0] it[0] they[0] succeed[2] in[0] briefly[0] letting[0] the[0] viewer[0] peek[0] into[0] the[0] minds[0] of[0] the[0] soldiers[0] only[0] to[0] be[0] suddenly[0] yanked[0] back[0] into[0] reality[0] when[0] the[0] battle[-1] resumes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the battle scenes are amazing ( second only to " saving private ryan " in my opinion ) . 	the battle scenes are amazing ( second only to " saving private ryan " in my opinion ) .	3	-2	 the[0] battle[-1] scenes[0] are[0] amazing[2] second[0] only[0] to[0] saving[0] private[0] ryan[0] in[0] my[0] opinion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they're brutal , horrifying , and at times beautiful due to the amazing cinematography . 	they're brutal , horrifying , and at times beautiful due to the amazing cinematography .	3	-5	 they're[0] brutal[-2] horrifying[-3][-1 MultiplePositiveWords] and[0] at[0] times[0] beautiful[2] due[0] to[0] the[0] amazing[2] cinematography[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
the second act is as immersive , brilliant , and haunting as any film that i have ever seen . 	the second act is as immersive , brilliant , and haunting as any film that i have ever seen .	2	-1	 the[0] second[0] act[0] is[0] as[0] immersive[0] brilliant[1] and[0] haunting[0] as[0] any[0] film[0] that[0] i[0] have[0] ever[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only problems come during the first and third acts . 	the only problems come during the first and third acts .	1	-2	 the[0] only[0] problems[-1] come[0] during[0] the[0] first[0] and[0] third[0] acts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
malick takes a little too long to get the film started . 	malick takes a little too long to get the film started .	1	-1	 malick[0] takes[0] a[0] little[0] too[0] long[0] to[0] get[0] the[0] film[0] started[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the initial scenes - which consist of two soldiers' experiencing a near-eden-like paradise while going awol , and the preperations for battle - are effective and necessary , hints of pretentiousness sink in . 	although the initial scenes - which consist of two soldiers' experiencing a near-eden-like paradise while going awol , and the preperations for battle - are effective and necessary , hints of pretentiousness sink in .	4	-2	 although[0] the[0] initial[0] scenes[0] which[0] consist[0] of[0] two[0] soldiers'[0] experiencing[0] a[0] near[0] eden[0] like[1] paradise[3] while[0] going[0] awol[0] and[0] the[0] preperations[0] for[0] battle[-1] are[0] effective[0] and[0] necessary[0] hints[0] of[0] pretentiousness[-1] sink[0] in[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the film is just a tad too artsy near the beginning , and a lot of people that disliked the movie probably gave up on it because of this . 	the film is just a tad too artsy near the beginning , and a lot of people that disliked the movie probably gave up on it because of this .	1	-3	 the[0] film[0] is[0] just[0] a[0] tad[0] too[0] artsy[0] near[0] the[0] beginning[0] and[0] a[0] lot[0] of[0] people[0] that[0] disliked[-2] the[0] movie[0] probably[0] gave[0] up[0] on[0] it[0] because[0] of[0] this[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the final act is effective at winding the film down , but the problems from the first persist - it's a bit too long , and comes over as pretentious at times . 	the final act is effective at winding the film down , but the problems from the first persist - it's a bit too long , and comes over as pretentious at times .	1	-2	 the[0] final[0] act[0] is[0] effective[0] at[0] winding[0] the[0] film[0] down[0] but[0] the[0] problems[-1] from[0] the[0] first[0] persist[0] it's[0] a[0] bit[0] too[0] long[0] and[0] comes[0] over[0] as[0] pretentious[-1] at[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that said , there are two sequences ( one where a soldier gets a devastating note from his wife , and another where one of the main characters is killed ) that are nothing short of incredible . 	that said , there are two sequences ( one where a soldier gets a devastating note from his wife , and another where one of the main characters is killed ) that are nothing short of incredible .	1	-5	 that[0] said[0] there[0] are[0] two[0] sequences[0] one[0] where[0] a[0] soldier[0] gets[0] a[0] devastating[-4] note[0] from[0] his[0] wife[0] and[0] another[0] where[0] one[0] of[0] the[0] main[0] characters[0] is[0] killed[-3] that[0] are[0] nothing[0] short[0] of[0] incredible[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the performances are phenominal all around . 	the performances are phenominal all around .	1	-1	 the[0] performances[0] are[0] phenominal[0] all[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two standouts are nick nolte and newcomer jim caviezel , both of whom should have been nominated for oscars . 	the two standouts are nick nolte and newcomer jim caviezel , both of whom should have been nominated for oscars .	1	-1	 the[0] two[0] standouts[0] are[0] nick[0] nolte[0] and[0] newcomer[0] jim[0] caviezel[0] both[0] of[0] whom[0] should[0] have[0] been[0] nominated[0] for[0] oscars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
