shakespeare . you hardly understood it in high school . 	Translation	Positive	Negative	EmotionRationale
why would you want more of it now that your english grade doesn't count on it ? 	why would you want more of it now that your english grade doesn't count on it ?	1	-1	 why[0] would[0] you[0] want[0] more[0] of[0] it[0] now[0] that[0] your[0] english[0] grade[0] doesn't[0] count[0] on[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this is your attitude , then i'll say right off the bat that kenneth branagh's hamlet is probably not for you , and you might as well stop reading right now . 	if this is your attitude , then i'll say right off the bat that kenneth branagh's hamlet is probably not for you , and you might as well stop reading right now .	1	-1	 if[0] this[0] is[0] your[0] attitude[0] then[0] i'll[0] say[0] right[0] off[0] the[0] bat[0] that[0] kenneth[0] branagh's[0] hamlet[0] is[0] probably[0] not[0] for[0] you[0] and[0] you[0] might[0] as[0] well[0] stop[0] reading[0] right[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if , however , you are a lover of the bard , or at the very least are open-minded about a challenging script , read on , for there is something rotten in the state of denmark . 	if , however , you are a lover of the bard , or at the very least are open-minded about a challenging script , read on , for there is something rotten in the state of denmark .	4	-3	 if[0] however[0] you[0] are[0] a[0] lover[3] of[0] the[0] bard[0] or[0] at[0] the[0] very[0] least[0] are[0] open[0] minded[0] about[0] a[0] challenging[0] script[0] read[0] on[0] for[0] there[0] is[0] something[0] rotten[-2] in[0] the[0] state[0] of[0] denmark[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
namely , the king has died , and his widow the queen has wed the king's brother , claudius , but prince hamlet suspects foul play . 	namely , the king has died , and his widow the queen has wed the king's brother , claudius , but prince hamlet suspects foul play .	1	-1	 namely[0] the[0] king[0] has[0] died[0] and[0] his[0] widow[0] the[0] queen[0] has[0] wed[0] the[0] king's[0] brother[0] claudius[0] but[0] prince[0] hamlet[0] suspects[0] foul[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his suspicions are confirmed when the ghost of his father appears and relates the story of his murder at his own brother's hands . 	his suspicions are confirmed when the ghost of his father appears and relates the story of his murder at his own brother's hands .	1	-4	 his[0] suspicions[-1] are[0] confirmed[0] when[0] the[0] ghost[0] of[0] his[0] father[0] appears[0] and[0] relates[0] the[0] story[0] of[0] his[0] murder[-3] at[0] his[0] own[0] brother's[0] hands[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hamlet , enlisting the help of his friend horatio , conspires to capture the conscience of the new king to expose his treachery . . . . and 	hamlet , enlisting the help of his friend horatio , conspires to capture the conscience of the new king to expose his treachery .<br> .<br> .<br> .<br> and	2	-3	 hamlet[0] enlisting[0] the[0] help[0] of[0] his[0] friend[1] horatio[0] conspires[-1] to[0] capture[-1] the[0] conscience[0] of[0] the[0] new[0] king[0] to[0] expose[-1] his[0] treachery[-2] [[Sentence=-3,2=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
the game is afoot . . . . 	the game is afoot .<br> .<br> .<br> .	1	-1	 the[0] game[0] is[0] afoot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first things you notice about this production are the sets and costumes . 	the first things you notice about this production are the sets and costumes .	1	-1	 the[0] first[0] things[0] you[0] notice[0] about[0] this[0] production[0] are[0] the[0] sets[0] and[0] costumes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with external scenes filmed at blemheim palace in england ( also the one of the sites for the recent the avengers ) , the grandiose quality of the setting is immediately established . 	with external scenes filmed at blemheim palace in england ( also the one of the sites for the recent the avengers ) , the grandiose quality of the setting is immediately established .	1	-2	 with[0] external[0] scenes[0] filmed[0] at[0] blemheim[0] palace[0] in[0] england[0] also[0] the[0] one[0] of[0] the[0] sites[0] for[0] the[0] recent[0] the[0] avengers[-1] the[0] grandiose[0] quality[0] of[0] the[0] setting[0] is[0] immediately[0] established[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
interior scenes are similarly graced with intricate and flamboyant rooms and chambers . 	interior scenes are similarly graced with intricate and flamboyant rooms and chambers .	2	-1	 interior[0] scenes[0] are[0] similarly[0] graced[1] with[0] intricate[0] and[0] flamboyant[0] rooms[0] and[0] chambers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
