jake kasdan , son of one of the best screenwriters around , breaks into filmmaking by writing and directing this hard-to-categorize detective story : part mystery , part comedy , part character study and part romance . 	Translation	Positive	Negative	EmotionRationale
for the most part , kasdan manages to combine the genres successfully and create a captivating film . 	for the most part , kasdan manages to combine the genres successfully and create a captivating film .	3	-1	 for[0] the[0] most[0] part[0] kasdan[0] manages[0] to[0] combine[0] the[0] genres[0] successfully[2] and[0] create[0] a[0] captivating[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
daryl zero ( bill pullman ) is a modern day sherlock holmes . 	daryl zero ( bill pullman ) is a modern day sherlock holmes .	1	-1	 daryl[0] zero[0] bill[0] pullman[0] is[0] a[0] modern[0] day[0] sherlock[0] holmes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the parallel is present down to his love of music ( though zero plays the guitar rather than the violin ) , and his addiction to drugs ( amphetamines , rather than morphine ) . 	the parallel is present down to his love of music ( though zero plays the guitar rather than the violin ) , and his addiction to drugs ( amphetamines , rather than morphine ) .	3	-2	 the[0] parallel[0] is[0] present[0] down[0] to[0] his[0] love[2] of[0] music[0] though[0] zero[0] plays[1] the[0] guitar[0] rather[0] than[0] the[0] violin[0] and[0] his[0] addiction[-1] to[0] drugs[0] amphetamines[0] rather[0] than[0] morphine[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he even titles his cases with such sherlockian epigrams as the case of the mismatched shoelaces , the case about the man who lied about his age , or the case of the hired gun who made way way too many mistakes . 	he even titles his cases with such sherlockian epigrams as the case of the mismatched shoelaces , the case about the man who lied about his age , or the case of the hired gun who made way way too many mistakes .	1	-3	 he[0] even[0] titles[0] his[0] cases[0] with[0] such[0] sherlockian[0] epigrams[0] as[0] the[0] case[0] of[0] the[0] mismatched[0] shoelaces[0] the[0] case[0] about[0] the[0] man[0] who[0] lied[-2] about[0] his[0] age[0] or[0] the[0] case[0] of[0] the[0] hired[0] gun[-1] who[0] made[0] way[0] way[0] too[0] many[0] mistakes[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however zero's observance of the fine art of detachment , though it makes him a brilliant private investigator , makes him somewhat of a self-imposed outcast in society . 	however zero's observance of the fine art of detachment , though it makes him a brilliant private investigator , makes him somewhat of a self-imposed outcast in society .	3	-2	 however[0] zero's[0] observance[0] of[0] the[0] fine[2] art[0] of[0] detachment[-1] though[0] it[0] makes[0] him[0] a[0] brilliant[1] private[0] investigator[0] makes[0] him[0] somewhat[0] of[0] a[0] self[0] imposed[-1] outcast[-1] in[0] society[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he could do nothing without the legwork of his trusty assistant dr . watson , i mean steve arlo ( ben stiller ) . 	he could do nothing without the legwork of his trusty assistant dr .<br> watson , i mean steve arlo ( ben stiller ) .	2	-1	 he[0] could[0] do[0] nothing[0] without[0] the[0] legwork[0] of[0] his[0] trusty[1] assistant[0] dr[0] [[Sentence=-1,2=word max, 1-5]] watson[0] i[0] mean[0] steve[0] arlo[0] ben[0] stiller[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
arlo is not happy with his job . 	arlo is not happy with his job .	1	-2	 arlo[0] is[0] not[0] happy[1][NegatedDueToPreviousWord] with[0] his[0] job[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is thrilled to be around zero's brilliance , but his bizarre behavior , and strange requests , are frustrating to the former lawyer . 	he is thrilled to be around zero's brilliance , but his bizarre behavior , and strange requests , are frustrating to the former lawyer .	4	-3	 he[0] is[0] thrilled[3] to[0] be[0] around[0] zero's[0] brilliance[1] but[0] his[0] bizarre[-1] behavior[0] and[0] strange[0] requests[0] are[0] frustrating[-2] to[0] the[0] former[0] lawyer[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
and they're even more so to his girlfriend , jess ( angela featherstone ) , who is fed up that her boyfriend's boss means more to arlo than her . 	and they're even more so to his girlfriend , jess ( angela featherstone ) , who is fed up that her boyfriend's boss means more to arlo than her .	1	-1	 and[0] they're[0] even[0] more[0] so[0] to[0] his[0] girlfriend[0] jess[0] angela[0] featherstone[0] who[0] is[0] fed[0] up[0] that[0] her[0] boyfriend's[0] boss[0] means[0] more[0] to[0] arlo[0] than[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the situation when a new case comes knocking . 	this is the situation when a new case comes knocking .	1	-1	 this[0] is[0] the[0] situation[0] when[0] a[0] new[0] case[0] comes[0] knocking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
