 " gattaca " represents a solid breakthrough in the recent onslaught of science-fiction films -- it's a genre picture that doesn't rely on alien creatures or loud explosions to tell its story . 	Translation	Positive	Negative	EmotionRationale
the movie takes place in a futuristic world where babies are created through genetic tampering and not sexual reproduction . 	the movie takes place in a futuristic world where babies are created through genetic tampering and not sexual reproduction .	2	-2	 the[0] movie[0] takes[0] place[0] in[0] a[0] futuristic[0] world[0] where[0] babies[1] are[0] created[0] through[0] genetic[0] tampering[-1] and[0] not[0] sexual[0] reproduction[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this allows parents to predetermine what kind of eye color , intelligence and life span they'd like for their child , and also eliminates most pesky chances of health defects . 	this allows parents to predetermine what kind of eye color , intelligence and life span they'd like for their child , and also eliminates most pesky chances of health defects .	2	-2	 this[0] allows[0] parents[0] to[0] predetermine[0] what[0] kind[1] of[0] eye[0] color[0] intelligence[0] and[0] life[0] span[0] they'd[0] like[1] for[0] their[0] child[0] and[0] also[0] eliminates[0] most[0] pesky[0] chances[0] of[0] health[0] defects[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
those made the old-fashioned way are labeled as " in-valids " and confined to the lower rung of society . 	those made the old-fashioned way are labeled as " in-valids " and confined to the lower rung of society .	1	-1	 those[0] made[0] the[0] old[0] fashioned[0] way[0] are[0] labeled[0] as[0] in[0] valids[0] and[0] confined[0] to[0] the[0] lower[0] rung[0] of[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vincent freeman ( ethan hawke ) is one such person , born not too long before the genetic process was perfected and forced to grow up in a home with his petrie dish-molded younger brother anton . 	vincent freeman ( ethan hawke ) is one such person , born not too long before the genetic process was perfected and forced to grow up in a home with his petrie dish-molded younger brother anton .	2	-1	 vincent[0] freeman[0] ethan[0] hawke[0] is[0] one[0] such[0] person[0] born[0] not[0] too[0] long[0] before[0] the[0] genetic[0] process[0] was[0] perfected[1] and[0] forced[0] to[0] grow[0] up[0] in[0] a[0] home[0] with[0] his[0] petrie[0] dish[0] molded[0] younger[0] brother[0] anton[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fed up with being second-rate and enchanted by dreams of one day traveling through space , vincent leaves home and takes a janitorial position at the gattaca aerospace corporation . 	fed up with being second-rate and enchanted by dreams of one day traveling through space , vincent leaves home and takes a janitorial position at the gattaca aerospace corporation .	1	-1	 fed[0] up[0] with[0] being[0] second[0] rate[0] and[0] enchanted[0] by[0] dreams[0] of[0] one[0] day[0] traveling[0] through[0] space[0] vincent[0] leaves[0] home[0] and[0] takes[0] a[0] janitorial[0] position[0] at[0] the[0] gattaca[0] aerospace[0] corporation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyday , he watches as " superior " folk make his fantasy a reality . 	everyday , he watches as " superior " folk make his fantasy a reality .	3	-1	 everyday[0] he[0] watches[0] as[0] superior[2] folk[0] make[0] his[0] fantasy[0] a[0] reality[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
determined to do the same , vincent meets a dna broker ( tony shalhoub in a funny cameo ) who sells fake identities to in-valids . 	determined to do the same , vincent meets a dna broker ( tony shalhoub in a funny cameo ) who sells fake identities to in-valids .	2	-2	 determined[0] to[0] do[0] the[0] same[0] vincent[0] meets[0] a[0] dna[0] broker[-1] tony[0] shalhoub[0] in[0] a[0] funny[1] cameo[0] who[0] sells[0] fake[-1] identities[0] to[0] in[0] valids[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his counterpart for this scam is jerome morrow ( jude law ) , an ex-athlete left paralyzed in an accident and confined to a wheelchair for life . 	his counterpart for this scam is jerome morrow ( jude law ) , an ex-athlete left paralyzed in an accident and confined to a wheelchair for life .	1	-2	 his[0] counterpart[0] for[0] this[0] scam[0] is[0] jerome[0] morrow[0] jude[0] law[0] an[0] ex[0] athlete[0] left[0] paralyzed[-1] in[0] an[0] accident[-1] and[0] confined[0] to[0] a[0] wheelchair[0] for[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for a price and the promise of a caretaker , jerome supplies vincent with his identity , as well as blood , skin and urine samples for all of those pesky on-the-job tests and physical examinations -- this future is one where employees clock in by pricking their fingers instead of punching a time card . 	for a price and the promise of a caretaker , jerome supplies vincent with his identity , as well as blood , skin and urine samples for all of those pesky on-the-job tests and physical examinations - this future is one where employees clock in by pricking their fingers instead of punching a time card .	2	-3	 for[0] a[0] price[0] and[0] the[0] promise[1] of[0] a[0] caretaker[0] jerome[0] supplies[0] vincent[0] with[0] his[0] identity[0] as[0] well[0] as[0] blood[0] skin[0] and[0] urine[0] samples[0] for[0] all[0] of[0] those[0] pesky[0] on[0] the[0] job[0] tests[0] and[0] physical[0] examinations[0] this[0] future[0] is[0] one[0] where[0] employees[0] clock[0] in[0] by[0] pricking[-2] their[0] fingers[0] instead[0] of[0] punching[-1] a[0] time[0] card[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
because of his drastically improved status , vincent is quickly propelled to a high position in gattaca , and catches the eye of comely co-worker irene ( uma thurman ) on the way -- obsessed with her own minor heart defect , she's enamored by his flawless persona she doesn't know is a lie . 	because of his drastically improved status , vincent is quickly propelled to a high position in gattaca , and catches the eye of comely co-worker irene ( uma thurman ) on the way - obsessed with her own minor heart defect , she's enamored by his flawless persona she doesn't know is a lie .	2	-3	 because[0] of[0] his[0] drastically[0] improved[1] status[0] vincent[0] is[0] quickly[0] propelled[0] to[0] a[0] high[0] position[0] in[0] gattaca[0] and[0] catches[0] the[0] eye[0] of[0] comely[0] co[0] worker[0] irene[0] uma[0] thurman[0] on[0] the[0] way[0] obsessed[-2] with[0] her[0] own[0] minor[0] heart[0] defect[-1] she's[0] enamored[0] by[0] his[0] flawless[1] persona[0] she[0] doesn't[0] know[0] is[0] a[0] lie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
