i know it already opened in december , but i finally got around to seeing rushmore last weekend , and it was one of those rare oppritunites that i got to leave the theatre feeling proud about paying the expensive ticket price . 	Translation	Positive	Negative	EmotionRationale
as the final scene closed out in happy slow-mo fashion , i felt happy to have been priveleged enough to watch such a good display of filmmaking . 	as the final scene closed out in happy slow-mo fashion , i felt happy to have been priveleged enough to watch such a good display of filmmaking .	2	-1	 as[0] the[0] final[0] scene[0] closed[0] out[0] in[0] happy[1] slow[0] mo[0] fashion[0] i[0] felt[0] happy[1] to[0] have[0] been[0] priveleged[0] enough[0] to[0] watch[0] such[0] a[0] good[1] display[0] of[0] filmmaking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jason schwartzman , his face oddly intriguing behind those large braces and glasses , steals the show as max fischer , the most well known rushmore academy student who gets terrible grades , but compensates for it by organizing most of the school's clubs and organizations ( i . e . 	jason schwartzman , his face oddly intriguing behind those large braces and glasses , steals the show as max fischer , the most well known rushmore academy student who gets terrible grades , but compensates for it by organizing most of the school's clubs and organizations ( i .<br> e .	1	-4	 jason[0] schwartzman[0] his[0] face[0] oddly[0] intriguing[0] behind[0] those[0] large[0] braces[0] and[0] glasses[0] steals[-2] the[0] show[0] as[0] max[0] fischer[0] the[0] most[0] well[0] known[0] rushmore[0] academy[0] student[0] who[0] gets[0] terrible[-3] grades[0] but[0] compensates[0] for[0] it[0] by[0] organizing[0] most[0] of[0] the[0] school's[0] clubs[0] and[0] organizations[0] i[0] [[Sentence=-4,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
the fencing team and writing and producing school plays ) and often pulling outrageous stunts , one that eventually earns him an expulsion . 	the fencing team and writing and producing school plays ) and often pulling outrageous stunts , one that eventually earns him an expulsion .	2	-3	 the[0] fencing[0] team[0] and[0] writing[0] and[0] producing[0] school[0] plays[1] and[0] often[0] pulling[0] outrageous[-2] stunts[0] one[0] that[0] eventually[0] earns[0] him[0] an[0] expulsion[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this stunt , building an aquarium on the school's baseball diamond , is a plot to steal the heart of widowed elementary teacher rosemary cross ( olivia williams ) . 	this stunt , building an aquarium on the school's baseball diamond , is a plot to steal the heart of widowed elementary teacher rosemary cross ( olivia williams ) .	1	-3	 this[0] stunt[-1] building[0] an[0] aquarium[0] on[0] the[0] school's[0] baseball[0] diamond[0] is[0] a[0] plot[0] to[0] steal[-2] the[0] heart[0] of[0] widowed[0] elementary[0] teacher[0] rosemary[0] cross[-1] olivia[0] williams[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he funds this aquarium with the help of millionare herman blume ( a very oscarworthy bill murray ) , who eventually finds himself falling in love with miss cross . 	he funds this aquarium with the help of millionare herman blume ( a very oscarworthy bill murray ) , who eventually finds himself falling in love with miss cross .	3	-2	 he[0] funds[0] this[0] aquarium[0] with[0] the[0] help[0] of[0] millionare[0] herman[0] blume[0] a[0] very[0] oscarworthy[0] bill[0] murray[0] who[0] eventually[0] finds[0] himself[0] falling[0] in[0] love[2] with[0] miss[-1] cross[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
rosemary and herman begin dating-and the fun begins ; herman and max go at it head to head in a battle for miss cross . 	rosemary and herman begin dating-and the fun begins ; herman and max go at it head to head in a battle for miss cross .	2	-2	 rosemary[0] and[0] herman[0] begin[0] dating[0] and[0] the[0] fun[1] begins[0] herman[0] and[0] max[0] go[0] at[0] it[0] head[0] to[0] head[0] in[0] a[0] battle[-1] for[0] miss[-1] cross[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
herman manages to destroy max's bike , while max cuts herman's brakes , and it goes on like this . 	herman manages to destroy max's bike , while max cuts herman's brakes , and it goes on like this .	2	-3	 herman[0] manages[0] to[0] destroy[-2] max's[0] bike[0] while[0] max[0] cuts[0] herman's[0] brakes[0] and[0] it[0] goes[0] on[0] like[1] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but eventually max realizes he is too young for miss cross , and he can't stand in the way of two people in love . 	but eventually max realizes he is too young for miss cross , and he can't stand in the way of two people in love .	3	-2	 but[0] eventually[0] max[0] realizes[0] he[0] is[0] too[0] young[0] for[0] miss[-1] cross[-1] and[0] he[0] can't[0] stand[0] in[0] the[0] way[0] of[0] two[0] people[0] in[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the academy of arts & sciences really messed up this year ; they completely overlooked rushmore ( and , if you ask me , it wasn't an accident ) . 	the academy of arts & sciences really messed up this year ; they completely overlooked rushmore ( and , if you ask me , it wasn't an accident ) .	1	-3	 the[0] academy[0] of[0] arts[0] &[0] sciences[0] really[0] messed[0] up[0] this[0] year[0] they[0] completely[0] overlooked[-1][-1 LastWordBoosterStrength] rushmore[0] and[0] if[0] you[0] ask[0] me[0] it[0] wasn't[0] an[0] accident[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it maybe wasn't best picture material , but it certainly deserved a screenplay nod ( instead of elizabeth ) , and bill murray's absense from the ballot is a complete snub . 	it maybe wasn't best picture material , but it certainly deserved a screenplay nod ( instead of elizabeth ) , and bill murray's absense from the ballot is a complete snub .	2	-1	 it[0] maybe[0] wasn't[0] best[1] picture[0] material[0] but[0] it[0] certainly[0] deserved[0] a[0] screenplay[0] nod[0] instead[0] of[0] elizabeth[0] and[0] bill[0] murray's[0] absense[0] from[0] the[0] ballot[0] is[0] a[0] complete[0] snub[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
