pulp fiction , quentin tarantino's anxiously awaited and superb follow-up to reservoir dogs , is absolutely and without a doubt progressing as one of the most talked about , loved , and hated films of all-time . 	Translation	Positive	Negative	EmotionRationale
in all fairness , it should be noted that those who love this film greatly outnumber those who hate it . 	in all fairness , it should be noted that those who love this film greatly outnumber those who hate it .	3	-4	 in[0] all[0] fairness[0] it[0] should[0] be[0] noted[0] that[0] those[0] who[0] love[2] this[0] film[0] greatly[2] outnumber[0] those[0] who[0] hate[-3] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as if reservoir dogs wasn't perfect , tarantino went ahead and improved on perfection by creating pulp fiction , a fast-paced , hard talking , roller coaster ride of a movie that combines violence and extraordinary dialogue in a seemingly perfect way . 	as if reservoir dogs wasn't perfect , tarantino went ahead and improved on perfection by creating pulp fiction , a fast-paced , hard talking , roller coaster ride of a movie that combines violence and extraordinary dialogue in a seemingly perfect way .	2	-4	 as[0] if[0] reservoir[0] dogs[0] wasn't[0] perfect[1] tarantino[0] went[0] ahead[0] and[0] improved[1] on[0] perfection[1] by[0] creating[0] pulp[0] fiction[0] a[0] fast[0] paced[0] hard[0] talking[0] roller[0] coaster[0] ride[0] of[0] a[0] movie[0] that[0] combines[0] violence[-3] and[0] extraordinary[0] dialogue[0] in[0] a[0] seemingly[0] perfect[1] way[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
every major character in this film is represented by a terrific acting performance by the actor . 	every major character in this film is represented by a terrific acting performance by the actor .	4	-1	 every[0] major[0] character[0] in[0] this[0] film[0] is[0] represented[0] by[0] a[0] terrific[3] acting[0] performance[0] by[0] the[0] actor[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
to begin with , the two hit men : vincent vega ( john travolta ) and jules winnfield ( samuel l . jackson ) . 	to begin with , the two hit men : vincent vega ( john travolta ) and jules winnfield ( samuel l .<br> jackson ) .	1	-1	 to[0] begin[0] with[0] the[0] two[0] hit[0] men[0] vincent[0] vega[0] john[0] travolta[0] and[0] jules[0] winnfield[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two characters work together perfectly , and the performances by each actor are nearly perfect . 	these two characters work together perfectly , and the performances by each actor are nearly perfect .	2	-1	 these[0] two[0] characters[0] work[0] together[0] perfectly[1] and[0] the[0] performances[0] by[0] each[0] actor[0] are[0] nearly[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
travolta , in fact , is still trying to get out of the vincent vega role . 	travolta , in fact , is still trying to get out of the vincent vega role .	1	-1	 travolta[0] in[0] fact[0] is[0] still[0] trying[0] to[0] get[0] out[0] of[0] the[0] vincent[0] vega[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if these two characters were not enough , there's the struggling boxer butch coolidge ( bruce willis ) , the two small-time criminals pumpkin ( tim roth ) and honey bunny ( amanda plummer ) , the big man in charge marsellus wallace ( ving rhames ) and his attractive young wife mia ( uma thurman ) , and the " problem solver " himself , the wolf ( harvey keitel ) . 	if these two characters were not enough , there's the struggling boxer butch coolidge ( bruce willis ) , the two small-time criminals pumpkin ( tim roth ) and honey bunny ( amanda plummer ) , the big man in charge marsellus wallace ( ving rhames ) and his attractive young wife mia ( uma thurman ) , and the " problem solver " himself , the wolf ( harvey keitel ) .	2	-2	 if[0] these[0] two[0] characters[0] were[0] not[0] enough[0] there's[0] the[0] struggling[-1] boxer[0] butch[0] coolidge[0] bruce[0] willis[0] the[0] two[0] small[0] time[0] criminals[-1] pumpkin[0] tim[0] roth[0] and[0] honey[0] bunny[0] amanda[0] plummer[0] the[0] big[0] man[0] in[0] charge[-1] marsellus[0] wallace[0] ving[0] rhames[0] and[0] his[0] attractive[1] young[0] wife[0] mia[0] uma[0] thurman[0] and[0] the[0] problem[-1] solver[0] himself[0] the[0] wolf[0] harvey[0] keitel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these are just the major characters . 	these are just the major characters .	1	-1	 these[0] are[0] just[0] the[0] major[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
smaller roles , but equally terrific , are handed to jimmie ( quentin tarantino ) , a young married man who gets caught up in some serious gangster business , lance ( eric stoltz ) , the far-out drug dealer , as well as maynard ( duane whitaker ) and zed ( peter greene ) , two hillbillies who are the men " behind " ( no pun intended for those of you who have seen this ) a very disturbing scene towards the end of the film . 	smaller roles , but equally terrific , are handed to jimmie ( quentin tarantino ) , a young married man who gets caught up in some serious gangster business , lance ( eric stoltz ) , the far-out drug dealer , as well as maynard ( duane whitaker ) and zed ( peter greene ) , two hillbillies who are the men " behind " ( no pun intended for those of you who have seen this ) a very disturbing scene towards the end of the film .	4	-3	 smaller[0] roles[0] but[0] equally[0] terrific[3] are[0] handed[0] to[0] jimmie[0] quentin[0] tarantino[0] a[0] young[0] married[0] man[0] who[0] gets[0] caught[0] up[0] in[0] some[0] serious[-1][--1 LastWordBoosterStrength] gangster[0] business[0] lance[0] eric[0] stoltz[0] the[0] far[0] out[0] drug[0] dealer[0] as[0] well[0] as[0] maynard[0] duane[0] whitaker[0] and[0] zed[0] peter[0] greene[0] two[0] hillbillies[0] who[0] are[0] the[0] men[0] behind[0] no[0] pun[0] intended[0] for[0] those[0] of[0] you[0] who[0] have[0] seen[0] this[0] a[0] very[0] disturbing[-1][-1 LastWordBoosterStrength] scene[0] towards[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the film interweaves three stories that , at first , seem to be nothing alike but later prove to be very critical to each other . 	the film interweaves three stories that , at first , seem to be nothing alike but later prove to be very critical to each other .	1	-3	 the[0] film[0] interweaves[0] three[0] stories[0] that[0] at[0] first[0] seem[0] to[0] be[0] nothing[0] alike[0] but[0] later[0] prove[0] to[0] be[0] very[0] critical[-1][-1 LastWordBoosterStrength] to[0] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
