garry shandling makes his long overdue starring film debut as an alien from a planet populated only by genetically created men , who are looking to take over the earth by propagating their own species there . 	Translation	Positive	Negative	EmotionRationale
shandling is chosen for the mission , is given the name harold anderson , and is set up as a banker in seattle . 	shandling is chosen for the mission , is given the name harold anderson , and is set up as a banker in seattle .	1	-1	 shandling[0] is[0] chosen[0] for[0] the[0] mission[0] is[0] given[0] the[0] name[0] harold[0] anderson[0] and[0] is[0] set[0] up[0] as[0] a[0] banker[0] in[0] seattle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a few disastrous " mating " attempts , he figures his best bet will be susan ( annette bening ) , a former alcoholic who eventually tells harold that she won't have sex again until she gets married . 	after a few disastrous " mating " attempts , he figures his best bet will be susan ( annette bening ) , a former alcoholic who eventually tells harold that she won't have sex again until she gets married .	2	-4	 after[0] a[0] few[0] disastrous[-3] mating[0] attempts[0] he[0] figures[0] his[0] best[1] bet[0] will[0] be[0] susan[0] annette[0] bening[0] a[0] former[0] alcoholic[0] who[0] eventually[0] tells[0] harold[0] that[0] she[0] won't[0] have[0] sex[0] again[0] until[0] she[0] gets[0] married[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the leader of harold's planet ( ben kingsley ) tells him to marry her , and harold is soon exposed to all the " joys " of married life . 	the leader of harold's planet ( ben kingsley ) tells him to marry her , and harold is soon exposed to all the " joys " of married life .	3	-2	 the[0] leader[0] of[0] harold's[0] planet[0] ben[0] kingsley[0] tells[0] him[0] to[0] marry[0] her[0] and[0] harold[0] is[0] soon[0] exposed[-1] to[0] all[0] the[0] joys[2] of[0] married[0] life[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
despite its title and premise which seem to imply that this is some jerry lewis vehicle from the late 1960s , what planet are you from ? 	despite its title and premise which seem to imply that this is some jerry lewis vehicle from the late 1960s , what planet are you from ?	1	-1	 despite[0] its[0] title[0] and[0] premise[0] which[0] seem[0] to[0] imply[0] that[0] this[0] is[0] some[0] jerry[0] lewis[0] vehicle[0] from[0] the[0] late[0] 1960s[0] what[0] planet[0] are[0] you[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is a very funny movie . 	is a very funny movie .	3	-1	 is[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the plot ( which the film wisely doesn't linger on the specifics of for too long ) is of course nothing more than framework for the jokes , most of which work very well . 	the plot ( which the film wisely doesn't linger on the specifics of for too long ) is of course nothing more than framework for the jokes , most of which work very well .	2	-1	 the[0] plot[0] which[0] the[0] film[0] wisely[0] doesn't[0] linger[0] on[0] the[0] specifics[0] of[0] for[0] too[0] long[0] is[0] of[0] course[0] nothing[0] more[0] than[0] framework[0] for[0] the[0] jokes[1] most[0] of[0] which[0] work[0] very[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the material may be considered crude and tasteless by many , and i might have thought so as well had shandling not been the lead . 	the material may be considered crude and tasteless by many , and i might have thought so as well had shandling not been the lead .	1	-2	 the[0] material[0] may[0] be[0] considered[0] crude[-1] and[0] tasteless[0] by[0] many[0] and[0] i[0] might[0] have[0] thought[0] so[0] as[0] well[0] had[0] shandling[0] not[0] been[0] the[0] lead[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but he brings a sort of pathetic charm to the role , and it's his performance that makes the film truly funny instead of just offensive . 	but he brings a sort of pathetic charm to the role , and it's his performance that makes the film truly funny instead of just offensive .	2	-3	 but[0] he[0] brings[0] a[0] sort[0] of[0] pathetic[-2] charm[1] to[0] the[0] role[0] and[0] it's[0] his[0] performance[0] that[0] makes[0] the[0] film[0] truly[1] funny[1] instead[0] of[0] just[0] offensive[-2][--1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
plus if you think about it , what planet are you from ? 	plus if you think about it , what planet are you from ?	1	-1	 plus[0] if[0] you[0] think[0] about[0] it[0] what[0] planet[0] are[0] you[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
could have very easily gone the gross-out route ( considering that shandling's character is given a detachable penis that vibrates and hums when he gets excited ) . 	could have very easily gone the gross-out route ( considering that shandling's character is given a detachable penis that vibrates and hums when he gets excited ) .	3	-2	 could[0] have[0] very[0] easily[0] gone[0] the[0] gross[-1] out[0] route[0] considering[0] that[0] shandling's[0] character[0] is[0] given[0] a[0] detachable[0] penis[0] that[0] vibrates[0] and[0] hums[0] when[0] he[0] gets[0] excited[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
