i didn't realize how apt the name of this movie was until i called the mpaa ( the motion picture association of america - the folks who decide what's g , nc 17 , pg , r or x ) to ask why the preview was rated r . so that we can make some sense of their response , let me tell you about the movie itself . 	Translation	Positive	Negative	EmotionRationale
 " the celluloid closet " is a documentary about how homosexuality has been portrayed in the movies over the past several decades . 	 " the celluloid closet " is a documentary about how homosexuality has been portrayed in the movies over the past several decades .	1	-1	 the[0] celluloid[0] closet[0] is[0] a[0] documentary[0] about[0] how[0] homosexuality[0] has[0] been[0] portrayed[0] in[0] the[0] movies[0] over[0] the[0] past[0] several[0] decades[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's brilliant , funny , naughty and extremely poignant . 	it's brilliant , funny , naughty and extremely poignant .	2	-2	 it's[0] brilliant[1] funny[1] naughty[-1] and[0] extremely[0] poignant[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it tore at my heart to watch a gifted lesbian screenwriter explain that , as a rule , gay audiences hunger for any hint of homosexuality on screen . 	it tore at my heart to watch a gifted lesbian screenwriter explain that , as a rule , gay audiences hunger for any hint of homosexuality on screen .	1	-2	 it[0] tore[0] at[0] my[0] heart[0] to[0] watch[0] a[0] gifted[0] lesbian[0] screenwriter[0] explain[0] that[0] as[0] a[0] rule[0] gay[-1] audiences[0] hunger[-1] for[0] any[0] hint[0] of[0] homosexuality[0] on[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
regardless of how veiled - or how sordid - the presence of a gay or lesbian person allows others to lessen their sense of isolation and makes them feel as if they're not quite so invisible as america seems to want them to be . 	regardless of how veiled - or how sordid - the presence of a gay or lesbian person allows others to lessen their sense of isolation and makes them feel as if they're not quite so invisible as america seems to want them to be .	1	-2	 regardless[-1] of[0] how[0] veiled[0] or[0] how[0] sordid[0] the[0] presence[0] of[0] a[0] gay[-1] or[0] lesbian[0] person[0] allows[0] others[0] to[0] lessen[0] their[0] sense[0] of[0] isolation[-1] and[0] makes[0] them[0] feel[0] as[0] if[0] they're[0] not[0] quite[0] so[0] invisible[-1] as[0] america[0] seems[0] to[0] want[0] them[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie itself is rated r - and for good reason . 	the movie itself is rated are - and for good reason .	2	-1	 the[0] movie[0] itself[0] is[0] rated[0] r[0] and[0] for[0] good[1] reason[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it contains scenes of bloody , violent gay bashing and graphic , uninhibited , sex . 	it contains scenes of bloody , violent gay bashing and graphic , uninhibited , sex .	1	-3	 it[0] contains[0] scenes[0] of[0] bloody[-1] violent[-2] gay[-1] bashing[0] and[0] graphic[0] uninhibited[0] sex[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as with any movie , i appreciate knowing about these things ahead of time , so i can decide for myself whether to see the movie with a friend , a date , my 11 year old niece , alone or not at all . 	as with any movie , i appreciate knowing about these things ahead of time , so i can decide for myself whether to see the movie with a friend , a date , my 11 year old niece , alone or not at all .	2	-1	 as[0] with[0] any[0] movie[0] i[0] appreciate[1] knowing[0] about[0] these[0] things[0] ahead[0] of[0] time[0] so[0] i[0] can[0] decide[0] for[0] myself[0] whether[0] to[0] see[0] the[0] movie[0] with[0] a[0] friend[1] a[0] date[0] my[0] 11[0] year[0] old[0] niece[0] alone[0] or[0] not[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , that's the movie . 	but , that's the movie .	1	-1	 but[0] that's[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now back to the preview . 	now back to the preview .	1	-1	 now[0] back[0] to[0] the[0] preview[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
prior to this film being theatrically released ( it was originally filmed as a documentary for hbo ) i had seen the coming attractions trailer for it at least six times . 	prior to this film being theatrically released ( it was originally filmed as a documentary for hbo ) i had seen the coming attractions trailer for it at least six times .	2	-1	 prior[0] to[0] this[0] film[0] being[0] theatrically[0] released[0] it[0] was[0] originally[0] filmed[0] as[0] a[0] documentary[0] for[0] hbo[0] i[0] had[0] seen[0] the[0] coming[0] attractions[1] trailer[0] for[0] it[0] at[0] least[0] six[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there was no nudity , no violence , no bad language , nothing that i could see that would be offensive or inappropriate for a general audience ( okay , whoopi goldberg did refer to someone " boning " someone , but the last i knew that wasn't one of the seven words you can't say on tv ) . 	there was no nudity , no violence , no bad language , nothing that i could see that would be offensive or inappropriate for a general audience ( okay , whoopi goldberg did refer to someone " boning " someone , but the last i knew that wasn't one of the seven words you can't say on tv ) .	1	-4	 there[0] was[0] no[0] nudity[0] no[0] violence[-3] no[0] bad[-1] language[0] nothing[0] that[0] i[0] could[0] see[0] that[0] would[0] be[0] offensive[-2] or[0] inappropriate[0] for[0] a[0] general[0] audience[0] okay[0] whoopi[0] goldberg[0] did[0] refer[0] to[0] someone[0] boning[0] someone[0] but[0] the[0] last[0] i[0] knew[0] that[0] wasn't[0] one[0] of[0] the[0] seven[0] words[0] you[0] can't[0] say[0] on[0] tv[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
except for a scene of two fully clothed men kissing . 	except for a scene of two fully clothed men kissing .	3	-1	 except[0] for[0] a[0] scene[0] of[0] two[0] fully[0] clothed[0] men[0] kissing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hmmmmm . 	hm .	2	-1	 hmmmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when i inquired about the rating on the trailer , a very nice woman at the mpaa quoted from " the handbook " that a trailer approved for all audiences could contain " no homosexuality or lesbianism and no going down on someone . " 	when i inquired about the rating on the trailer , a very nice woman at the mpa quoted from " the handbook " that a trailer approved for all audiences could contain " no homosexuality or lesbianism and no going down on someone .<br> "	3	-1	 when[0] i[0] inquired[0] about[0] the[0] rating[0] on[0] the[0] trailer[0] a[0] very[0] nice[1][1 LastWordBoosterStrength] woman[0] at[0] the[0] mpaa/mpa[0] quoted[0] from[0] the[0] handbook[0] that[0] a[0] trailer[0] approved[0] for[0] all[0] audiences[0] could[0] contain[0] no[0] homosexuality[0] or[0] lesbianism[0] and[0] no[0] going[0] down[0] on[0] someone[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hello ? i was in the office and it was the middle of the day . 	hello ?<br> i was in the office and it was the middle of the day .	1	-1	 hello[0] [[Sentence=-1,1=word max, 1-5]] i[0] was[0] in[0] the[0] office[0] and[0] it[0] was[0] the[0] middle[0] of[0] the[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bravely , i pursued . 	bravely , i pursued .	3	-1	 bravely[2] i[0] pursued[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " i've seen that trailer , oh . . . 	 " i've seen that trailer , oh .<br> .<br> .	1	-1	 i've[0] seen[0] that[0] trailer[0] oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
probably half a dozen times , " i gulped . . . 	probably half a dozen times , " i gulped .<br> .<br> .	1	-1	 probably[0] half[0] a[0] dozen[0] times[0] i[0] gulped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " and i don't remember that scene . " 	 " and i don't remember that scene .<br> "	1	-1	 and[0] i[0] don't[0] remember[0] that[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " well , " she chirped . 	 " well , " she chirped .	1	-1	 well[0] she[0] chirped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " it's there . 	 " it's there .	1	-1	 it's[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
