it's tough to really say something nice about a type of person who's so ethnocentric that any humanity they once had is now gone , but by god , " american history x " does it , and for that , i commend it . 	Translation	Positive	Negative	EmotionRationale
it not only takes balls but intelligence to make a human being out of a neo-nazi skinhead , a kind of person who dedicates their lives to hating anyone who's not what they are , and this film wisely and miracurously pulls it off . 	it not only takes balls but intelligence to make a human being out of a neo-nazi skinhead , a kind of person who dedicates their lives to hating anyone who's not what they are , and this film wisely and miracurously pulls it off .	2	-4	 it[0] not[0] only[0] takes[0] balls[0] but[0] intelligence[0] to[0] make[0] a[0] human[0] being[0] out[0] of[0] a[0] neo[0] nazi[-1] skinhead[0] a[0] kind[1] of[0] person[0] who[0] dedicates[0] their[0] lives[0] to[0] hating[-3] anyone[0] who's[0] not[0] what[0] they[0] are[0] and[0] this[0] film[0] wisely[0] and[0] miracurously[0] pulls[0] it[0] off[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the subject of this film is one of them , but he is worse than one of the blind followers that make up most skinhead members since he is the leader of the pack . 	the subject of this film is one of them , but he is worse than one of the blind followers that make up most skinhead members since he is the leader of the pack .	1	-3	 the[0] subject[0] of[0] this[0] film[0] is[0] one[0] of[0] them[0] but[0] he[0] is[0] worse[-2] than[0] one[0] of[0] the[0] blind[-1] followers[0] that[0] make[0] up[0] most[0] skinhead[0] members[0] since[0] he[0] is[0] the[0] leader[0] of[0] the[0] pack[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's the one who instigates them to take a firm grip onto their rage , and then in another brilliant stroke , justifies it with political propoganda that makes eerie sense when he speaks . 	he's the one who instigates them to take a firm grip onto their rage , and then in another brilliant stroke , justifies it with political propoganda that makes eerie sense when he speaks .	2	-4	 he's[0] the[0] one[0] who[0] instigates[0] them[0] to[0] take[0] a[0] firm[0] grip[0] onto[0] their[0] rage[-3] and[0] then[0] in[0] another[0] brilliant[1] stroke[0] justifies[0] it[0] with[0] political[0] propoganda[0] that[0] makes[0] eerie[0] sense[0] when[0] he[0] speaks[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he's so utterly convincing as a public speaker and so firm in his convictions that it comes as a shock when he actually goes through the rehabilitation process . 	he's so utterly convincing as a public speaker and so firm in his convictions that it comes as a shock when he actually goes through the rehabilitation process .	1	-3	 he's[0] so[0] utterly[0] convincing[0] as[0] a[0] public[0] speaker[0] and[0] so[0] firm[0] in[0] his[0] convictions[-1] that[0] it[0] comes[0] as[0] a[0] shock[-2] when[0] he[0] actually[0] goes[0] through[0] the[0] rehabilitation[0] process[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his name is derek vinyard , and he's played by edward norton with so much fire and intensity that when he speaks he's almost as convincing and arresting a public speaker as , say , malcom x . when we first see him , he's clean shaven , with a jet black swastica emrboidered on his left breast , a devlish goatee , and he's attacking the black carjackers outside of his house dressed in nothing but his white boxers and carrying a handgun in his hand that never seems to run out of bullets , at least when he doesn't need them . 	his name is derek vinyard , and he's played by edward norton with so much fire and intensity that when he speaks he's almost as convincing and arresting a public speaker as , say , malcom x .<br> when we first see him , he's clean shaven , with a jet black swastica emrboidered on his left breast , a devlish goatee , and he's attacking the black carjackers outside of his house dressed in nothing but his white boxers and carrying a handgun in his hand that never seems to run out of bullets , at least when he doesn't need them .	2	-3	 his[0] name[0] is[0] derek[0] vinyard[0] and[0] he's[0] played[0] by[0] edward[0] norton[0] with[0] so[0] much[0] fire[0] and[0] intensity[0] that[0] when[0] he[0] speaks[0] he's[0] almost[0] as[0] convincing[0] and[0] arresting[0] a[0] public[0] speaker[0] as[0] say[0] malcom[0] x[1] [[Sentence=-1,2=word max, 1-5]] when[0] we[0] first[0] see[0] him[0] he's[0] clean[0] shaven[0] with[0] a[0] jet[0] black[0] swastica[0] emrboidered[0] on[0] his[0] left[0] breast[0] a[0] devlish[0] goatee[0] and[0] he's[0] attacking[-2] the[0] black[0] carjackers[0] outside[0] of[0] his[0] house[0] dressed[0] in[0] nothing[0] but[0] his[0] white[0] boxers[0] and[0] carrying[0] a[0] handgun[0] in[0] his[0] hand[0] that[0] never[0] seems[0] to[0] run[0] out[0] of[0] bullets[-1] at[0] least[0] when[0] he[0] doesn't[0] need[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
he so believes in his convictions that he's willing to put his beliefs to the test , even if he knows it will mean a stop in prison , if only for a couple years . 	he so believes in his convictions that he's willing to put his beliefs to the test , even if he knows it will mean a stop in prison , if only for a couple years .	1	-2	 he[0] so[0] believes[0] in[0] his[0] convictions[-1] that[0] he's[0] willing[0] to[0] put[0] his[0] beliefs[0] to[0] the[0] test[0] even[0] if[0] he[0] knows[0] it[0] will[0] mean[0] a[0] stop[0] in[0] prison[-1] if[0] only[0] for[0] a[0] couple[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " american history x " is about derek , how he became a neo-nazi skinhead , how he rose to power , how he was rehabilitated in prison after murdering two black men in a fit of rage that was less to do with the stealing of his car and more to do with proving himself , and how he tried to save others , namely his younger brother , from making the same mistake . 	 " american history x " is about derek , how he became a neo-nazi skinhead , how he rose to power , how he was rehabilitated in prison after murdering two black men in a fit of rage that was less to do with the stealing of his car and more to do with proving himself , and how he tried to save others , namely his younger brother , from making the same mistake .	2	-4	 american[0] history[0] x[1] is[0] about[0] derek[0] how[0] he[0] became[0] a[0] neo[0] nazi[-1] skinhead[0] how[0] he[0] rose[0] to[0] power[0] how[0] he[0] was[0] rehabilitated[0] in[0] prison[-1] after[0] murdering[-3] two[0] black[0] men[0] in[0] a[0] fit[0] of[0] rage[-3] that[0] was[0] less[0] to[0] do[0] with[0] the[0] stealing[-2] of[0] his[0] car[0] and[0] more[0] to[0] do[0] with[0] proving[0] himself[0] and[0] how[0] he[0] tried[0] to[0] save[1] others[0] namely[0] his[0] younger[0] brother[0] from[0] making[0] the[0] same[0] mistake[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
we see him at all of these stages - as a smart teenager , a vicious hate monger , a man having an epiphany , and the man who tries to correct what he's done before - and in all of these , we get a portrait of a man from all sides . 	we see him at all of these stages - as a smart teenager , a vicious hate monger , a man having an epiphany , and the man who tries to correct what he's done before - and in all of these , we get a portrait of a man from all sides .	2	-5	 we[0] see[0] him[0] at[0] all[0] of[0] these[0] stages[0] as[0] a[0] smart[1] teenager[0] a[0] vicious[-3] hate[-3][-1 MultiplePositiveWords] monger[0] a[0] man[0] having[0] an[0] epiphany[0] and[0] the[0] man[0] who[0] tries[0] to[0] correct[0] what[0] he's[0] done[0] before[0] and[0] in[0] all[0] of[0] these[0] we[0] get[0] a[0] portrait[0] of[0] a[0] man[0] from[0] all[0] sides[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
or at least , that's the intention . 	or at least , that's the intention .	1	-1	 or[0] at[0] least[0] that's[0] the[0] intention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's framing device is his brother , danny ( edward furlong , perpetually looking about 13 ) , also now a skinhead , and how his principal , bob sweeney ( avery brooks , who i just found out was or is the captain on star trek's deep space 9 ) , is trying to " correct " him . 	the film's framing device is his brother , danny ( edward furlong , perpetually looking about 13 ) , also now a skinhead , and how his principal , bob sweeney ( avery brooks , who i just found out was or is the captain on star trek's deep space 9 ) , is trying to " correct " him .	1	-1	 the[0] film's[0] framing[0] device[0] is[0] his[0] brother[0] danny[0] edward[0] furlong[0] perpetually[0] looking[0] about[0] 13[0] also[0] now[0] a[0] skinhead[0] and[0] how[0] his[0] principal[0] bob[0] sweeney[0] avery[0] brooks[0] who[0] i[0] just[0] found[0] out[0] was[0] or[0] is[0] the[0] captain[0] on[0] star[0] trek's[0] deep[0] space[0] 9[0] is[0] trying[0] to[0] correct[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
