i was anxious to see this for a long time . 	Translation	Positive	Negative	EmotionRationale
a friend of mine recommended this to me because he has a crush on neve campbell , and he wanted to prove that she's as hot as he thinks he is . 	a friend of mine recommended this to me because he has a crush on neve campbell , and he wanted to prove that she's as hot as he thinks he is .	2	-2	 a[0] friend[1] of[0] mine[0] recommended[0] this[0] to[0] me[0] because[0] he[0] has[0] a[0] crush[-1] on[0] neve[0] campbell[0] and[0] he[0] wanted[0] to[0] prove[0] that[0] she's[0] as[0] hot[0] as[0] he[0] thinks[0] he[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he proved it for me all right , but the reasons i enjoy this film go way beyond that . 	he proved it for me all right , but the reasons i enjoy this film go way beyond that .	3	-1	 he[0] proved[0] it[0] for[0] me[0] all[0] right[0] but[0] the[0] reasons[0] i[0] enjoy[2] this[0] film[0] go[0] way[0] beyond[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
scream treads on familar ground , horror movie with , as star neve campbell puts it , " some stupid killer stalking some big breasted girl who can't act who's always running up the stairs when she should be running out the front door . " 	scream treads on familar ground , horror movie with , as star neve campbell puts it , " some stupid killer stalking some big breasted girl who can't act who's always running up the stairs when she should be running out the front door .<br> "	1	-4	 scream[-3] treads[0] on[0] familar[0] ground[0] horror[-3] movie[0] with[0] as[0] star[0] neve[0] campbell[0] puts[0] it[0] some[0] stupid[-1][--1 LastWordBoosterStrength] killer[-1] stalking[0] some[0] big[0] breasted[0] girl[0] who[0] can't[0] act[0] who's[0] always[0] running[0] up[0] the[0] stairs[0] when[0] she[0] should[0] be[0] running[0] out[0] the[0] front[0] door[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's very familar , your typical horror film . 	it's very familar , your typical horror film .	1	-4	 it's[0] very[0] familar[0] your[0] typical[0] horror[-3] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so why , you may ask after watching it , does it seem so new and original ? 	so why , you may ask after watching it , does it seem so new and original ?	1	-1	 so[0] why[0] you[0] may[0] ask[0] after[0] watching[0] it[0] does[0] it[0] seem[0] so[0] new[0] and[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because it treats itself as if it hasn't been done before , and thus the viewer is disilusioned into believing that it is not old , familar tired stuff . 	because it treats itself as if it hasn't been done before , and thus the viewer is disilusioned into believing that it is not old , familar tired stuff .	1	-2	 because[0] it[0] treats[0] itself[0] as[0] if[0] it[0] hasn't[0] been[0] done[0] before[0] and[0] thus[0] the[0] viewer[0] is[0] disilusioned[0] into[0] believing[0] that[0] it[0] is[0] not[0] old[0] familar[0] tired[-1] stuff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this raises another question : how does it do this ? 	this raises another question : how does it do this ?	1	-1	 this[0] raises[0] another[0] question[0] how[0] does[0] it[0] do[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simple : the characters . 	simple : the characters .	1	-1	 simple[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're not your typical stupid horror film victims who don't know what the hell to do when being chased by a guy in a ski mask and a machette . 	they're not your typical stupid horror film victims who don't know what the hell to do when being chased by a guy in a ski mask and a machete .	1	-4	 they're[0] not[0] your[0] typical[0] stupid[-1] horror[-3] film[0] victims[-2] who[0] don't[0] know[0] what[0] the[0] hell[-1] to[0] do[0] when[0] being[0] chased[-1] by[0] a[0] guy[0] in[0] a[0] ski[0] mask[0] and[0] a[0] machette/machete[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they are horror fans , they know how stuff happens in a horror movie , they know what to do and what not to do , and that makes it scary , and even funny at certain times . 	they are horror fans , they know how stuff happens in a horror movie , they know what to do and what not to do , and that makes it scary , and even funny at certain times .	2	-4	 they[0] are[0] horror[-3] fans[0] they[0] know[0] how[0] stuff[0] happens[0] in[0] a[0] horror[-3] movie[0] they[0] know[0] what[0] to[0] do[0] and[0] what[0] not[0] to[0] do[0] and[0] that[0] makes[0] it[0] scary[-3] and[0] even[0] funny[1] at[0] certain[0] times[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
