scream 2 isn't quite as clever as its predecessor , but it fills the gap with a cutting wit . 	Translation	Positive	Negative	EmotionRationale
death -- even gruesome , bloody death -- can be funny if handled the right way ( some will be offended by this statement , but you need look no further than pulp fiction for an example ) . 	death - even gruesome , bloody death - can be funny if handled the right way ( some will be offended by this statement , but you need look no further than pulp fiction for an example ) .	2	-3	 death[-2] even[0] gruesome[0] bloody[-1] death[-2] can[0] be[0] funny[1] if[0] handled[0] the[0] right[0] way[0] some[0] will[0] be[0] offended[-2] by[0] this[0] statement[0] but[0] you[0] need[0] look[0] no[0] further[0] than[0] pulp[0] fiction[0] for[0] an[0] example[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and , while there's plenty of horror to go around in scream 2 , the latest '90s slasher flick incarnation , there are also a few laughs to be had . 	and , while there's plenty of horror to go around in scream 2 , the latest '90s slasher flick incarnation , there are also a few laughs to be had .	2	-4	 and[0] while[0] there's[0] plenty[0] of[0] horror[-3] to[0] go[0] around[0] in[0] scream[-3] 2[0] the[0] latest[0] '90s[0] slasher[-1] flick[0] incarnation[0] there[0] are[0] also[0] a[0] few[0] laughs[1] to[0] be[0] had[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
scream 2 is a slice-and-dice movie for those who don't take their horror too seriously . 	scream 2 is a slice-and-dice movie for those who don't take their horror too seriously .	1	-4	 scream[-3] 2[0] is[0] a[0] slice[0] and[0] dice[0] movie[0] for[0] those[0] who[0] don't[0] take[0] their[0] horror[-3] too[0] seriously[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the success of the original scream took everyone in the industry by surprise . 	the success of the original scream took everyone in the industry by surprise .	3	-4	 the[0] success[2] of[0] the[0] original[0] scream[-3] took[0] everyone[0] in[0] the[0] industry[0] by[0] surprise[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the unexpected blockbuster , whose gross soared over the  100 million mark during its six month release window , opened just about a year ago and turned into one of the most profitable horror films of all time . 	the unexpected blockbuster , whose gross soared over the  100 million mark during its six month release window , opened just about a year ago and turned into one of the most profitable horror films of all time .	2	-4	 the[0] unexpected[0] blockbuster[-1] whose[0] gross[-1] soared[0] over[0] the[0] 100[0] million[0] mark[0] during[0] its[0] six[0] month[0] release[0] window[0] opened[0] just[0] about[0] a[0] year[0] ago[0] and[0] turned[0] into[0] one[0] of[0] the[0] most[0] profitable[1] horror[-3] films[0] of[0] all[0] time[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
a sequel was inevitable ; fortunately , nearly the entire creative team has returned for scream 2 , including director wes craven , screenwriter kevin williamson , and actors neve campbell , courtney cox , david arquette , jamie kennedy , and liev schreiber . 	a sequel was inevitable ; fortunately , nearly the entire creative team has returned for scream 2 , including director wes craven , screenwriter kevin williamson , and actors neve campbell , courtney cox , david arquette , jamie kennedy , and liev schreiber .	1	-4	 a[0] sequel[0] was[0] inevitable[0] fortunately[0] nearly[0] the[0] entire[0] creative[0] team[0] has[0] returned[0] for[0] scream[-3] 2[0] including[0] director[0] wes[0] craven[-1] screenwriter[0] kevin[0] williamson[0] and[0] actors[0] neve[0] campbell[0] courtney[0] cox[0] david[0] arquette[0] jamie[0] kennedy[0] and[0] liev[0] schreiber[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as stipulated by one of the " rules of sequels " uttered by a movie- obsessed character in the film , the body count in scream 2 is higher than that in the original . 	as stipulated by one of the " rules of sequels " uttered by a movie- obsessed character in the film , the body count in scream 2 is higher than that in the original .	1	-4	 as[0] stipulated[0] by[0] one[0] of[0] the[0] rules[0] of[0] sequels[0] uttered[0] by[0] a[0] movie[0] obsessed[-2] character[0] in[0] the[0] film[0] the[0] body[0] count[0] in[0] scream[-3] 2[0] is[0] higher[0] than[0] that[0] in[0] the[0] original[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
paradoxically , there's a lot less gore . 	paradoxically , there's a lot less gore .	1	-1	 paradoxically[0] there's[0] a[0] lot[0] less[0] gore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is blood , of course , but nothing excessive by slasher-movie standards , and there are no depictions of spilled entrails . 	there is blood , of course , but nothing excessive by slasher-movie standards , and there are no depictions of spilled entrails .	1	-2	 there[0] is[0] blood[0] of[0] course[0] but[0] nothing[0] excessive[-1] by[0] slasher[-1] movie[0] standards[0] and[0] there[0] are[0] no[0] depictions[0] of[0] spilled[-1] entrails[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
craven has remembered that scares are more important that graphic displays of human insides and bodily fluids . 	craven has remembered that scares are more important that graphic displays of human insides and bodily fluids .	1	-4	 craven[-1] has[0] remembered[0] that[0] scares[-3] are[0] more[0] important[0] that[0] graphic[0] displays[0] of[0] human[0] insides[0] and[0] bodily[0] fluids[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
