review : a dog of flanders is the story of an adorable little boy named nello and his trials and tribulations in 19th century flanders . 	Translation	Positive	Negative	EmotionRationale
living with his grandfather jehan ( jack warden ) in poverty , nello finds happiness in his life in spite of difficult times ( they are renting a spare one-room cottage , and the greedy , malevolent landlord who owns it threatens to throw them  out of the house' if they don't pay the rent ) . 	living with his grandfather jehan ( jack warden ) in poverty , nello finds happiness in his life in spite of difficult times ( they are renting a spare one-room cottage , and the greedy , malevolent landlord who owns it threatens to throw them  out of the house' if they don't pay the rent ) .	3	-4	 living[0] with[0] his[0] grandfather[0] jehan[0] jack[0] warden[0] in[0] poverty[-1] nello[0] finds[0] happiness[2] in[0] his[0] life[0] in[0] spite[-3] of[0] difficult[-1] times[0] they[0] are[0] renting[0] a[0] spare[0] one[0] room[0] cottage[0] and[0] the[0] greedy[-2] malevolent[0] landlord[0] who[0] owns[0] it[0] threatens[-2] to[0] throw[0] them[0] out[0] of[0] the[0] house'[0] if[0] they[0] don't[0] pay[0] the[0] rent[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
nello also has a rather creative talent for drawing some of the most beautiful pictures that i have ever seen , in either a movie or in real life . 	nello also has a rather creative talent for drawing some of the most beautiful pictures that i have ever seen , in either a movie or in real life .	3	-1	 nello[0] also[0] has[0] a[0] rather[0] creative[0] talent[1] for[0] drawing[0] some[0] of[0] the[0] most[0] beautiful[2] pictures[0] that[0] i[0] have[0] ever[0] seen[0] in[0] either[0] a[0] movie[0] or[0] in[0] real[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( his hero is peter paul rubens , the great flemish painter of the 17th century . ) 	 ( his hero is peter paul rubens , the great flemish painter of the 17th century .<br> )	3	-1	 his[0] hero[2] is[0] peter[0] paul[0] rubens[0] the[0] great[2] flemish[0] painter[0] of[0] the[0] 17th[0] century[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not that these are the only things that make nello's life happy , however . 	not that these are the only things that make nello's life happy , however .	2	-1	 not[0] that[0] these[0] are[0] the[0] only[0] things[0] that[0] make[0] nello's[0] life[0] happy[1] however[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has a dog of flanders , whom he names patrasche , who is a heroic rin-tin-tin of the 19th century , whom he rescues from his cruel , unkind master . 	he has a dog of flanders , whom he names patrasche , who is a heroic rin-tin-tin of the 19th century , whom he rescues from his cruel , unkind master .	3	-4	 he[0] has[0] a[0] dog[0] of[0] flanders[0] whom[0] he[0] names[0] patrasche[0] who[0] is[0] a[0] heroic[2] rin[0] tin[0] tin[0] of[0] the[0] 19th[0] century[0] whom[0] he[0] rescues[0] from[0] his[0] cruel[-3] unkind[-2][-1 MultiplePositiveWords] master[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in addition , he even has a best friend ( and future sweetheart ) in the lovely , wealthy aloise , whose father strongly disapproves of her hanging out with  lower-class' nello . 	in addition , he even has a best friend ( and future sweetheart ) in the lovely , wealthy aloise , whose father strongly disapproves of her hanging out with  lower-class' nello .	4	-2	 in[0] addition[0] he[0] even[0] has[0] a[0] best[1] friend[1] and[0] future[0] sweetheart[3] in[0] the[0] lovely[1] wealthy[0] aloise[0] whose[0] father[0] strongly[0] disapproves[-1] of[0] her[0] hanging[0] out[0] with[0] lower[0] class'[0] nello[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 ( he thinks he's not good enough for her , and he would hate the idea of the two kids marrying . ) 	 ( he thinks he's not good enough for her , and he would hate the idea of the two kids marrying .<br> )	1	-3	 he[0] thinks[0] he's[0] not[0] good[1][NegatedDueToPreviousWord] enough[0] for[0] her[0] and[0] he[0] would[0] hate[-3][--1 LastWordBoosterStrength] the[0] idea[0] of[0] the[0] two[0] kids[0] marrying[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but then , he was a poor guy himself before he married ( as mentioned later on in the film ) . 	but then , he was a poor guy himself before he married ( as mentioned later on in the film ) .	1	-2	 but[0] then[0] he[0] was[0] a[0] poor[-1] guy[0] himself[0] before[0] he[0] married[0] as[0] mentioned[0] later[0] on[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one day , nello encounters a mysterious , yet kindhearted artist named michel la grande ( played wonderfully by jon voight ) , who tells the boy to keep drawing from his heart , and that perhaps one day he might land a career in being an artist . 	one day , nello encounters a mysterious , yet kindhearted artist named michel la grande ( played wonderfully by jon voight ) , who tells the boy to keep drawing from his heart , and that perhaps one day he might land a career in being an artist .	3	-1	 one[0] day[0] nello[0] encounters[0] a[0] mysterious[0] yet[0] kindhearted[0] artist[0] named[0] michel[0] la[0] grande[1] played[0] wonderfully[2] by[0] jon[0] voight[0] who[0] tells[0] the[0] boy[0] to[0] keep[0] drawing[0] from[0] his[0] heart[0] and[0] that[0] perhaps[0] one[0] day[0] he[0] might[0] land[0] a[0] career[0] in[0] being[0] an[0] artist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and every christmas , there is a contest on which is the most beautiful painting of the year ; the winner getting a lot of money . 	and every christmas , there is a contest on which is the most beautiful painting of the year ; the winner getting a lot of money .	3	-1	 and[0] every[0] christmas[0] there[0] is[0] a[0] contest[0] on[0] which[0] is[0] the[0] most[0] beautiful[2] painting[0] of[0] the[0] year[0] the[0] winner[1] getting[0] a[0] lot[0] of[0] money[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
