armageddon , in itself , symbolizes everything that is wrong in modern filmmaking . 	Translation	Positive	Negative	EmotionRationale
stories have been replaced with special effects ; character development gets overshadowed by bad dialogue ; plotting consists of a bunch of shit getting blown up . 	stories have been replaced with special effects ; character development gets overshadowed by bad dialogue ; plotting consists of a bunch of shit getting blown up .	2	-2	 stories[0] have[0] been[0] replaced[0] with[0] special[1] effects[0] character[0] development[0] gets[0] overshadowed[0] by[0] bad[-1] dialogue[0] plotting[0] consists[0] of[0] a[0] bunch[0] of[0] shit[-1] getting[0] blown[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
armageddon is as stupid , as loud and as shallow as any movie you'll see come out this summer , or maybe even any other summer . 	armageddon is as stupid , as loud and as shallow as any movie you'll see come out this summer , or maybe even any other summer .	1	-2	 armageddon[0] is[0] as[0] stupid[-1] as[0] loud[0] and[0] as[0] shallow[-1] as[0] any[0] movie[0] you'll[0] see[0] come[0] out[0] this[0] summer[0] or[0] maybe[0] even[0] any[0] other[0] summer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i loved every freaking minute of it . 	but i loved every freaking minute of it .	4	-2	 but[0] i[0] loved[3] every[0] freaking[-1] minute[0] of[0] it[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
believe me , i'm just as shocked as you are . 	believe me , i'm just as shocked as you are .	1	-3	 believe[0] me[0] i'm[0] just[0] as[0] shocked[-2] as[0] you[0] are[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hell , i don't even know why i went to see it in the first place . 	hell , i don't even know why i went to see it in the first place .	1	-2	 hell[-1] i[0] don't[0] even[0] know[0] why[0] i[0] went[0] to[0] see[0] it[0] in[0] the[0] first[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the previews were so annoying that i predicted this was going to be the worst film of the year , or at least in the running . 	the previews were so annoying that i predicted this was going to be the worst film of the year , or at least in the running .	1	-3	 the[0] previews[0] were[0] so[0] annoying[-2] that[0] i[0] predicted[0] this[0] was[0] going[0] to[0] be[0] the[0] worst[-2] film[0] of[0] the[0] year[0] or[0] at[0] least[0] in[0] the[0] running[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm sorry , but " somebody dial 911 ! ! ! " 	i'm sorry , but " somebody dial 911 !<br> !<br> !<br> "	1	-2	 i'm[0] sorry[-1] but[0] somebody[0] dial[0] 911[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
isn't quite the tagging that's going to sell a movie . 	isn't quite the tagging that's going to sell a movie .	1	-1	 isn't[0] quite[0] the[0] tagging[0] that's[0] going[0] to[0] sell[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it isn't too wise either to market the film using the movie's stupidest lines ( " beam me up scotty " - yeah , that sure is great writing . . . ) . 	it isn't too wise either to market the film using the movie's stupidest lines ( " beam me up scotty " - yeah , that sure is great writing .<br> .<br> .<br> ) .	3	-2	 it[0] isn't[0] too[0] wise[0] either[0] to[0] market[0] the[0] film[0] using[0] the[0] movie's[0] stupidest[-1] lines[0] beam[0] me[0] up[0] scotty[0] yeah[0] that[0] sure[0] is[0] great[2] writing[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i mean , let's face it ; armageddon's previews rival the truman show's as being some of the worst of the year . 	i mean , let's face it ; armageddon's previews rival the truman show's as being some of the worst of the year .	1	-3	 i[0] mean[0] let's[0] face[0] it[0] armageddon's[0] previews[0] rival[-1] the[0] truman[0] show's[0] as[0] being[0] some[0] of[0] the[0] worst[-2] of[0] the[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
