plot : this movie takes place over one day . 	Translation	Positive	Negative	EmotionRationale
it's a rookie cop's narcotics training alongside a seasoned police veteran . 	it's a rookie cop's narcotics training alongside a seasoned police veteran .	1	-1	 it's[0] a[0] rookie[0] cop's[0] narcotics[0] training[0] alongside[0] a[0] seasoned[0] police[0] veteran[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rookie doesn't know much about " street justice " , so the older cop teaches him about the way things work in the " real world " . 	the rookie doesn't know much about " street justice " , so the older cop teaches him about the way things work in the " real world " .	1	-1	 the[0] rookie[0] doesn't[0] know[0] much[0] about[0] street[0] justice[0] so[0] the[0] older[0] cop[0] teaches[0] him[0] about[0] the[0] way[0] things[0] work[0] in[0] the[0] real[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how even cops like themselves have to " bend the rules " and " break the law " every now and then , in order to catch the really bad guys . 	how even cops like themselves have to " bend the rules " and " break the law " every now and then , in order to catch the really bad guys .	2	-3	 how[0] even[0] cops[0] like[1] themselves[0] have[0] to[0] bend[0] the[0] rules[0] and[0] break[0] the[0] law[0] every[0] now[0] and[0] then[0] in[0] order[0] to[0] catch[0] the[0] really[0] bad[-1][-1 LastWordBoosterStrength] guys[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
critique : a pretty intense little movie with solid acting across the board , some ups , some downs and a thrilling ending , despite a couple of small flaws . 	critique : a pretty intense little movie with solid acting across the board , some ups , some downs and a thrilling ending , despite a couple of small flaws .	4	-1	 critique[0] a[0] pretty[2] intense[0] little[0] movie[0] with[0] solid[0] acting[0] across[0] the[0] board[0] some[0] ups[0] some[0] downs[0] and[0] a[0] thrilling[3] ending[0] despite[0] a[0] couple[0] of[0] small[0] flaws[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i really enjoyed this movie because it followed two extreme characters and put them in situations which had me wondering about what i would do if i were in their place . 	i really enjoyed this movie because it followed two extreme characters and put them in situations which had me wondering about what i would do if i were in their place .	4	-1	 i[0] really[0] enjoyed[2][1 LastWordBoosterStrength] this[0] movie[0] because[0] it[0] followed[0] two[0] extreme[0] characters[0] and[0] put[0] them[0] in[0] situations[0] which[0] had[0] me[0] wondering[0] about[0] what[0] i[0] would[0] do[0] if[0] i[0] were[0] in[0] their[0] place[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film gets right into the " dirty " side of , well . . . the 	the film gets right into the " dirty " side of , well .<br> .<br> .<br> the	1	-2	 the[0] film[0] gets[0] right[0] into[0] the[0] dirty[-1] side[0] of[0] well[0] [[Sentence=-2,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
dirt on the streets , and proceeds to teach the rookie cop ( and us , the audience ) how things really work down there . 	dirt on the streets , and proceeds to teach the rookie cop ( and us , the audience ) how things really work down there .	1	-2	 dirt[-1] on[0] the[0] streets[0] and[0] proceeds[0] to[0] teach[0] the[0] rookie[0] cop[0] and[0] us[0] the[0] audience[0] how[0] things[0] really[0] work[0] down[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , we're receiving this lesson from a man who has put away a lot of scum in his time , but the things he seems to be doing aren't exactly on the up-and-up either . 	of course , we're receiving this lesson from a man who has put away a lot of scum in his time , but the things he seems to be doing aren't exactly on the up-and-up either .	1	-3	 of[0] course[0] we're[0] receiving[0] this[0] lesson[0] from[0] a[0] man[0] who[0] has[0] put[0] away[0] a[0] lot[0] of[0] scum[-2] in[0] his[0] time[0] but[0] the[0] things[0] he[0] seems[0] to[0] be[0] doing[0] aren't[0] exactly[0] on[0] the[0] up[0] and[0] up[0] either[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and therein , lies the fun of the film . 	and therein , lies the fun of the film .	2	-3	 and[0] therein[0] lies[-2] the[0] fun[1] of[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
do you agree that you yourself would need to break a few small laws in order to put away the people who break the really big ones ? 	do you agree that you yourself would need to break a few small laws in order to put away the people who break the really big ones ?	1	-1	 do[0] you[0] agree[0] that[0] you[0] yourself[0] would[0] need[0] to[0] break[0] a[0] few[0] small[0] laws[0] in[0] order[0] to[0] put[0] away[0] the[0] people[0] who[0] break[0] the[0] really[0] big[0] ones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , as the film moves along , we're given two points of view in respect to this predicament , and to me , both sides made sense at some point or another . 	well , as the film moves along , we're given two points of view in respect to this predicament , and to me , both sides made sense at some point or another .	3	-2	 well[0] as[0] the[0] film[0] moves[0] along[0] we're[0] given[0] two[0] points[0] of[0] view[0] in[0] respect[2] to[0] this[0] predicament[-1] and[0] to[0] me[0] both[0] sides[0] made[0] sense[0] at[0] some[0] point[0] or[0] another[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and you gotta give a lot of credit to the screenplay for that , the director , who builds the film up wonderfully ( with the darkness of the day leading to the darkness in the script ) and the two actors who deliver their parts in spades . 	and you gotta give a lot of credit to the screenplay for that , the director , who builds the film up wonderfully ( with the darkness of the day leading to the darkness in the script ) and the two actors who deliver their parts in spades .	3	-1	 and[0] you[0] gotta[0] give[0] a[0] lot[0] of[0] credit[0] to[0] the[0] screenplay[0] for[0] that[0] the[0] director[0] who[0] builds[0] the[0] film[0] up[0] wonderfully[2] with[0] the[0] darkness[0] of[0] the[0] day[0] leading[0] to[0] the[0] darkness[0] in[0] the[0] script[0] and[0] the[0] two[0] actors[0] who[0] deliver[0] their[0] parts[0] in[0] spades[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hawke , first off , because he rarely plays these " commercial " roles but does so perfectly here , with a vulnerable side which has you feeling for the bastard right off the top . 	hawke , first off , because he rarely plays these " commercial " roles but does so perfectly here , with a vulnerable side which has you feeling for the bastard right off the top .	2	-3	 hawke[0] first[0] off[0] because[0] he[0] rarely[0] plays[1] these[0] commercial[0] roles[0] but[0] does[0] so[0] perfectly[1] here[0] with[0] a[0] vulnerable[-2] side[0] which[0] has[0] you[0] feeling[0] for[0] the[0] bastard[-2] right[0] off[0] the[0] top[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and denzel , well , what can you say about mr . washington that hasn't already been said before ? 	and denzel , well , what can you say about mr .<br> washington that hasn't already been said before ?	1	-1	 and[0] denzel[0] well[0] what[0] can[0] you[0] say[0] about[0] mr[0] [[Sentence=-1,1=word max, 1-5]] washington[0] that[0] hasn't[0] already[0] been[0] said[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he comes through as per his usual high-level style here , and gives the audience a completely different side to his talent , of which , i personally would like to see more . 	he comes through as per his usual high-level style here , and gives the audience a completely different side to his talent , of which , i personally would like to see more .	2	-1	 he[0] comes[0] through[0] as[0] per[0] his[0] usual[0] high[0] level[0] style[0] here[0] and[0] gives[0] the[0] audience[0] a[0] completely[0] different[0] side[0] to[0] his[0] talent[1] of[0] which[0] i[0] personally[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] see[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's nice , he's not so nice , he's smart , he's not so smart , he's caring and he's a dog all the way . 	he's nice , he's not so nice , he's smart , he's not so smart , he's caring and he's a dog all the way .	3	-2	 he's[0] nice[1] he's[0] not[0] so[0] nice[1][NegatedDueToPreviousWord] he's[0] smart[1] he's[0] not[0] so[0] smart[1][NegatedDueToPreviousWord] he's[0] caring[2] and[0] he's[0] a[0] dog[0] all[0] the[0] way[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the few problems that i did have with this film included the redundant nature of the whole thing at some point ( okay , we get it . . . you 	the few problems that i did have with this film included the redundant nature of the whole thing at some point ( okay , we get it .<br> .<br> .<br> you	1	-2	 the[0] few[0] problems[-1] that[0] i[0] did[0] have[0] with[0] this[0] film[0] included[0] the[0] redundant[-1] nature[0] of[0] the[0] whole[0] thing[0] at[0] some[0] point[0] okay[0] we[0] get[0] it[0] [[Sentence=-2,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
