most sequels don't do what they're supposed to do like " toy story 2 " does . 	Translation	Positive	Negative	EmotionRationale
far too many of them end up re-hashing the original and adding very little . 	far too many of them end up re-hashing the original and adding very little .	1	-1	 far[0] too[0] many[0] of[0] them[0] end[0] up[0] re[0] hashing[0] the[0] original[0] and[0] adding[0] very[0] little[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it any wonder that most sequels fail to live up to their predecessors ? 	is it any wonder that most sequels fail to live up to their predecessors ?	1	-3	 is[0] it[0] any[0] wonder[0] that[0] most[0] sequels[0] fail[-2] to[0] live[0] up[0] to[0] their[0] predecessors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thankfully , " toy story 2 " is a wonderful exception . 	thankfully , " toy story 2 " is a wonderful exception .	3	-1	 thankfully[1] toy[0] story[0] 2[0] is[0] a[0] wonderful[2] exception[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i can't remember the last time i saw a sequel as consistently fun and inventive as this one . 	i can't remember the last time i saw a sequel as consistently fun and inventive as this one .	2	-1	 i[0] can't[0] remember[0] the[0] last[0] time[0] i[0] saw[0] a[0] sequel[0] as[0] consistently[0] fun[1] and[0] inventive[0] as[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's yet another sign that pixar , the acclaimed animation studio behind " toy story " and " a bug's life , " is still at the top of its game . 	it's yet another sign that pixar , the acclaimed animation studio behind " toy story " and " a bug's life , " is still at the top of its game .	1	-1	 it's[0] yet[0] another[0] sign[0] that[0] pixar[0] the[0] acclaimed[0] animation[0] studio[0] behind[0] toy[0] story[0] and[0] a[0] bug's[0] life[0] is[0] still[0] at[0] the[0] top[0] of[0] its[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woody and buzz are back in the sequel to the 1995 hit " toy story , " and things have changed a bit since the last one ended . 	woody and buz are back in the sequel to the 1995 hit " toy story , " and things have changed a bit since the last one ended .	1	-1	 woody[0] and[0] buzz/buz[0] are[0] back[0] in[0] the[0] sequel[0] to[0] the[0] 1995[0] hit[0] toy[0] story[0] and[0] things[0] have[0] changed[0] a[0] bit[0] since[0] the[0] last[0] one[0] ended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woody ( voiced by tom hanks ) is preparing to leave with his owner andy for cowboy camp . 	woody ( voiced by tom hanks ) is preparing to leave with his owner andy for cowboy camp .	1	-1	 woody[0] voiced[0] by[0] tom[0] hanks[0] is[0] preparing[0] to[0] leave[0] with[0] his[0] owner[0] andy[0] for[0] cowboy[0] camp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in his absence , he has assigned buzz lightyear ( tim allen ) , now comfortable in his role as a toy , to take charge . 	in his absence , he has assigned buz lightyear ( tim allen ) , now comfortable in his role as a toy , to take charge .	2	-2	 in[0] his[0] absence[-1] he[0] has[0] assigned[0] buzz/buz[0] lightyear[0] tim[0] allen[0] now[0] comfortable[1] in[0] his[0] role[0] as[0] a[0] toy[0] to[0] take[0] charge[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , woody's trip is ruined when he is accidentally put into the family garage sale , and is stolen by an over-zealous toy collector ( wayne knight ) . 	unfortunately , woody's trip is ruined when he is accidentally put into the family garage sale , and is stolen by an over-zealous toy collector ( wayne knight ) .	1	-2	 unfortunately[-1] woody's[0] trip[0] is[0] ruined[-1] when[0] he[0] is[0] accidentally[-1] put[0] into[0] the[0] family[0] garage[0] sale[0] and[0] is[0] stolen[-1] by[0] an[0] over[0] zealous[0] toy[0] collector[0] wayne[0] knight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
off to save him are buzz and members of the old " toy gang , " including mr . potato head ( don rickles ) , rex the nervous dinosaur ( wallace shawn ) , hamm the piggy bank ( john ratzenberger ) , and slinky dog ( jim varney ) . 	off to save him are buz and members of the old " toy gang , " including mr .<br> potato head ( don rickles ) , rex the nervous dinosaur ( wallace shawn ) , ham the piggy bank ( john ratzenberger ) , and slinky dog ( jim varney ) .	2	-3	 off[0] to[0] save[1] him[0] are[0] buzz/buz[0] and[0] members[0] of[0] the[0] old[0] toy[0] gang[0] including[0] mr[0] [[Sentence=-1,2=word max, 1-5]] potato[0] head[0] don[0] rickles[0] rex[0] the[0] nervous[-2] dinosaur[0] wallace[0] shawn[0] hamm/ham[0] the[0] piggy[0] bank[0] john[0] ratzenberger[0] and[0] slinky[0] dog[0] jim[0] varney[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
while in captivity , woody makes a startling discovery : he is actually part of a collection of toys based on a 1950's children's show entitled " woody's roundup . " 	while in captivity , woody makes a startling discovery : he is actually part of a collection of toys based on a 1950's children's show entitled " woody's roundup .<br> "	1	-2	 while[0] in[0] captivity[0] woody[0] makes[0] a[0] startling[-1] discovery[0] he[0] is[0] actually[0] part[0] of[0] a[0] collection[0] of[0] toys[0] based[0] on[0] a[0] 1950's[0] children's[0] show[0] entitled[0] woody's[0] roundup[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he meets the show's other characters , which include jesse ( joan cusack ) , his cowgirl sidekick , the wise old prospector ( kelsey grammer ) , and bullseye , his trusty horse . 	he meets the show's other characters , which include jesse ( joan cusack ) , his cowgirl sidekick , the wise old prospector ( kelsey grammer ) , and bullseye , his trusty horse .	2	-1	 he[0] meets[0] the[0] show's[0] other[0] characters[0] which[0] include[0] jesse[0] joan[0] cusack[0] his[0] cowgirl[0] sidekick[0] the[0] wise[0] old[0] prospector[0] kelsey[0] grammer[0] and[0] bullseye[0] his[0] trusty[1] horse[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they have all been anxiously awaiting woody's arrival , as once their set is completed , they will be sold to a japanese toy museum , and finally escape storage forever . 	they have all been anxiously awaiting woody's arrival , as once their set is completed , they will be sold to a japanese toy museum , and finally escape storage forever .	1	-3	 they[0] have[0] all[0] been[0] anxiously[-2] awaiting[0] woody's[0] arrival[0] as[0] once[0] their[0] set[0] is[0] completed[0] they[0] will[0] be[0] sold[0] to[0] a[0] japanese[0] toy[0] museum[0] and[0] finally[0] escape[0] storage[0] forever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
