reflecting on " bedazzled , " a lively comedy about the devil who seeks to possess the soul of a pathetic loser , one sinful thought remains in my mind . 	Translation	Positive	Negative	EmotionRationale
if hell means having to spend an eternity with elizabeth hurley ( who portrays the fiery demon ) , then use that pitchfork and point me the way . 	if hell means having to spend an eternity with elizabeth hurley ( who portrays the fiery demon ) , then use that pitchfork and point me the way .	1	-2	 if[0] hell[-1] means[0] having[0] to[0] spend[0] an[0] eternity[0] with[0] elizabeth[0] hurley[0] who[0] portrays[0] the[0] fiery[-1] demon[-1] then[0] use[0] that[0] pitchfork[0] and[0] point[0] me[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with her pouty lips , irresistible british accent , and wild display of haute couture , hurley crackles with naughtiness and fills your mind with temptation . 	with her pouty lips , irresistible british accent , and wild display of haute couture , hurley crackles with naughtiness and fills your mind with temptation .	1	-2	 with[0] her[0] pouty[-1] lips[0] irresistible[0] british[0] accent[0] and[0] wild[0] display[0] of[0] haute[0] couture[0] hurley[0] crackles[0] with[0] naughtiness[0] and[0] fills[0] your[0] mind[0] with[0] temptation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's practically impossible to turn this beelzu-babe down . 	it's practically impossible to turn this beelzu-babe down .	1	-1	 it's[0] practically[0] impossible[0] to[0] turn[0] this[0] beelzu[0] babe[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her next target is elliot ( brendan fraser ) , a tech support geek who is clumsy , awkward , and just too eager to please . 	her next target is elliot ( brendan fraser ) , a tech support geek who is clumsy , awkward , and just too eager to please .	2	-2	 her[0] next[0] target[0] is[0] elliot[0] brendan[0] fraser[0] a[0] tech[0] support[1] geek[0] who[0] is[0] clumsy[-1] awkward[-1] and[0] just[0] too[0] eager[0] to[0] please[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to aptly picture him , you would have to remember a saturday night live skit featuring " steve the copy guy " who effortlessly irritated his co-workers with his unpolished social skills . 	to aptly picture him , you would have to remember a saturday night live skit featuring " steve the copy guy " who effortlessly irritated his co-workers with his unpolished social skills .	1	-3	 to[0] aptly[0] picture[0] him[0] you[0] would[0] have[0] to[0] remember[0] a[0] saturday[0] night[0] live[0] skit[0] featuring[0] steve[0] the[0] copy[0] guy[0] who[0] effortlessly[0] irritated[-2] his[0] co[0] workers[0] with[0] his[0] unpolished[0] social[0] skills[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eugene , thus , is loathed and feared by his co-workers , who do their best to stay out of his way . 	eugene , thus , is loathed and feared by his co-workers , who do their best to stay out of his way .	2	-3	 eugene[0] thus[0] is[0] loathed[0] and[0] feared[-2] by[0] his[0] co[0] workers[0] who[0] do[0] their[0] best[1] to[0] stay[0] out[0] of[0] his[0] way[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yet , beyond his annoying mannerisms , he's a lovable oaf . 	yet , beyond his annoying mannerisms , he's a lovable oaf .	1	-3	 yet[0] beyond[0] his[0] annoying[-2] mannerisms[0] he's[0] a[0] lovable[0] oaf[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he wishes that he could get closer to allison ( frances o'connor ) , a co-worker with whom he is infatuated but who has never taken notice of him . 	he wishes that he could get closer to allison ( frances o'connor ) , a co-worker with whom he is infatuated but who has never taken notice of him .	1	-1	 he[0] wishes[0] that[0] he[0] could[0] get[0] closer[0] to[0] allison[0] frances[0] o'connor[0] a[0] co[0] worker[0] with[0] whom[0] he[0] is[0] infatuated[0] but[0] who[0] has[0] never[0] taken[0] notice[0] of[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the odds of him getting together with her are about the same as a snowball's chance in hell . 	however , the odds of him getting together with her are about the same as a snowball's chance in hell .	1	-2	 however[0] the[0] odds[0] of[0] him[0] getting[0] together[0] with[0] her[0] are[0] about[0] the[0] same[0] as[0] a[0] snowball's[0] chance[0] in[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " dear god , " he prays . 	 " dear god , " he prays .	2	-1	 dear[1] god[0] he[0] prays[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
