ok , let's get one thing straight right away : maximum risk is no battleship potemkin ( although it does have some russians in it ! ) , but it's not too bad , really . 	Translation	Positive	Negative	EmotionRationale
it's the new film from ringo lam , the latest hong kong filmmaker to defect to hollywood , and stars that minor league schwartzeneggar from belgium , jean-claude van damme ( who , you will recall , also starred in john woo's maiden hollywood effort , hard target ) . 	it's the new film from ringo lam , the latest hong kong filmmaker to defect to hollywood , and stars that minor league schwartzeneggar from belgium , jean-claude van dame ( who , you will recall , also starred in john woo's maiden hollywood effort , hard target ) .	1	-2	 it's[0] the[0] new[0] film[0] from[0] ringo[0] lam[0] the[0] latest[0] hong[0] kong[0] filmmaker[0] to[0] defect[-1] to[0] hollywood[0] and[0] stars[0] that[0] minor[0] league[0] schwartzeneggar[0] from[0] belgium[0] jean[0] claude[0] van[0] damme/dame[0] who[0] you[0] will[0] recall[0] also[0] starred[0] in[0] john[0] woo's[0] maiden[0] hollywood[0] effort[0] hard[0] target[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in lam's film , van damme plays alain moreau , a french cop ( at least his accent makes more sense here than it did in hard target ) who discovers that he was separated shortly after birth from a twin brother who was adopted by russians . 	in lam's film , van dame plays alain moreau , a french cop ( at least his accent makes more sense here than it did in hard target ) who discovers that he was separated shortly after birth from a twin brother who was adopted by russians .	2	-1	 in[0] lam's[0] film[0] van[0] damme/dame[0] plays[1] alain[0] moreau[0] a[0] french[0] cop[0] at[0] least[0] his[0] accent[0] makes[0] more[0] sense[0] here[0] than[0] it[0] did[0] in[0] hard[0] target[0] who[0] discovers[0] that[0] he[0] was[0] separated[0] shortly[0] after[0] birth[0] from[0] a[0] twin[0] brother[0] who[0] was[0] adopted[0] by[0] russians[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these russians defected to the united states and moved into a black neighbourhood in new york ( where , i suppose , they thought they wouldn't be noticed ) . 	these russians defected to the united states and moved into a black neighbourhood in new york ( where , i suppose , they thought they wouldn't be noticed ) .	1	-2	 these[0] russians[0] defected[-1] to[0] the[0] united[0] states[0] and[0] moved[0] into[0] a[0] black[0] neighbourhood[0] in[0] new[0] york[0] where[0] i[0] suppose[0] they[0] thought[0] they[0] wouldn't[0] be[0] noticed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this brother , mikhail suverov ( played in his few scenes by . . . well , 	this brother , mikhail suverov ( played in his few scenes by .<br> .<br> .<br> well ,	1	-1	 this[0] brother[0] mikhail[0] suverov[0] played[0] in[0] his[0] few[0] scenes[0] by[0] [[Sentence=-1,1=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know ) , becomes deeply involved in the russian mafia and the fbi ( almost the same thing , i guess ) , and is killed in france ( in the movie , things happen so fast that you don't have too much time to think about how weird this all is ) . 	you know ) , becomes deeply involved in the russian mafia and the fbi ( almost the same thing , i guess ) , and is killed in france ( in the movie , things happen so fast that you don't have too much time to think about how weird this all is ) .	1	-4	 you[0] know[0] becomes[0] deeply[0] involved[0] in[0] the[0] russian[0] mafia[0] and[0] the[0] fbi[0] almost[0] the[0] same[0] thing[0] i[0] guess[0] and[0] is[0] killed[-3] in[0] france[0] in[0] the[0] movie[0] things[0] happen[0] so[0] fast[0] that[0] you[0] don't[0] have[0] too[0] much[0] time[0] to[0] think[0] about[0] how[0] weird[-1] this[0] all[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
moreau does what any good surviving twin brother would do and goes to new york to find out why mikhail was killed , and why everyone in france who knows anything about him is also being killed ( we wonder the same thing ; i still do ) . 	moreau does what any good surviving twin brother would do and goes to new york to find out why mikhail was killed , and why everyone in france who knows anything about him is also being killed ( we wonder the same thing ; i still do ) .	2	-4	 moreau[0] does[0] what[0] any[0] good[1] surviving[0] twin[0] brother[0] would[0] do[0] and[0] goes[0] to[0] new[0] york[0] to[0] find[0] out[0] why[0] mikhail[0] was[0] killed[-3] and[0] why[0] everyone[0] in[0] france[0] who[0] knows[0] anything[0] about[0] him[0] is[0] also[0] being[0] killed[-3] we[0] wonder[0] the[0] same[0] thing[0] i[0] still[0] do[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in little odessa , he meets mikhail's girlfriend , alex ( natasha henstridge , last seen in species ) , who helps him solve the mystery and adds immeasurably to the mise-en-scene ( she has very nice breasts , and we get to seen them briefly in this movie ; it was rated r in the us but is pg here , so they must have seen more of her breasts than we do ) . 	in little odessa , he meets mikhail's girlfriend , alex ( natasha henstridge , last seen in species ) , who helps him solve the mystery and adds immeasurably to the mise-en-scene ( she has very nice breasts , and we get to seen them briefly in this movie ; it was rated are in the us but is pg here , so they must have seen more of her breasts than we do ) .	3	-1	 in[0] little[0] odessa[0] he[0] meets[0] mikhail's[0] girlfriend[0] alex[0] natasha[0] henstridge[0] last[0] seen[0] in[0] species[0] who[0] helps[0] him[0] solve[0] the[0] mystery[0] and[0] adds[0] immeasurably[0] to[0] the[0] mise[0] en[0] scene[0] she[0] has[0] very[0] nice[1][1 LastWordBoosterStrength] breasts[0] and[0] we[0] get[0] to[0] seen[0] them[0] briefly[0] in[0] this[0] movie[0] it[0] was[0] rated[0] r[0] in[0] the[0] us[0] but[0] is[0] pg[0] here[0] so[0] they[0] must[0] have[0] seen[0] more[0] of[0] her[0] breasts[0] than[0] we[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film lacks the gloss and high production values of such other action movies as broken arrow , the fugitive , hard target , or anything starring arnold , but that works to its benefit , i think . 	this film lacks the gloss and high production values of such other action movies as broken arrow , the fugitive , hard target , or anything starring arnold , but that works to its benefit , i think .	2	-2	 this[0] film[0] lacks[0] the[0] gloss[0] and[0] high[0] production[0] values[1] of[0] such[0] other[0] action[0] movies[0] as[0] broken[-1] arrow[0] the[0] fugitive[-1] hard[0] target[0] or[0] anything[0] starring[0] arnold[0] but[0] that[0] works[0] to[0] its[0] benefit[0] i[0] think[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after all , one thing that's been missing from woo's hollywood films is that certain hong kong funkiness that we all know and love ( well , some of us do ) . 	after all , one thing that's been missing from woo's hollywood films is that certain hong kong funkiness that we all know and love ( well , some of us do ) .	3	-1	 after[0] all[0] one[0] thing[0] that's[0] been[0] missing[0] from[0] woo's[0] hollywood[0] films[0] is[0] that[0] certain[0] hong[0] kong[0] funkiness[0] that[0] we[0] all[0] know[0] and[0] love[2] well[0] some[0] of[0] us[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
movies like this shouldn't be too pretentious , and that is part of the problem with some of these other films : they try to be too " big " in terms of special effects and sheer spectacle . 	movies like this shouldn't be too pretentious , and that is part of the problem with some of these other films : they try to be too " big " in terms of special effects and sheer spectacle .	2	-2	 movies[0] like[1] this[0] shouldn't[0] be[0] too[0] pretentious[-1] and[0] that[0] is[0] part[0] of[0] the[0] problem[-1] with[0] some[0] of[0] these[0] other[0] films[0] they[0] try[0] to[0] be[0] too[0] big[0] in[0] terms[0] of[0] special[1] effects[0] and[0] sheer[0] spectacle[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
