while watching boiler room , i was constantly reminded of last year's masterpiece fight club . 	Translation	Positive	Negative	EmotionRationale
both films consist of a predominately male cast . 	both films consist of a predominately male cast .	1	-1	 both[0] films[0] consist[0] of[0] a[0] predominately[0] male[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both films follow young men as they illicitly fight the traditional system for their own desires . 	both films follow young men as they illicitly fight the traditional system for their own desires .	1	-3	 both[0] films[0] follow[0] young[0] men[0] as[0] they[0] illicitly[0] fight[-2] the[0] traditional[0] system[0] for[0] their[0] own[0] desires[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and both films are seen through the eyes of one narrator , who eventually realizes that these men have to be stopped . 	and both films are seen through the eyes of one narrator , who eventually realizes that these men have to be stopped .	1	-1	 and[0] both[0] films[0] are[0] seen[0] through[0] the[0] eyes[0] of[0] one[0] narrator[0] who[0] eventually[0] realizes[0] that[0] these[0] men[0] have[0] to[0] be[0] stopped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while boiler room writer/director ben younger does not get his point across as well as david fincher does for fight club , he does contribute another impressive work to a series of films aiming to represent the new generation . 	while boiler room writer/director ben younger does not get his point across as well as david fincher does for fight club , he does contribute another impressive work to a series of films aiming to represent the new generation .	2	-3	 while[0] boiler[0] room[0] writer/director[0] ben[0] younger[0] does[0] not[0] get[0] his[0] point[0] across[0] as[0] well[0] as[0] david[0] fincher[0] does[0] for[0] fight[-2] club[0] he[0] does[0] contribute[0] another[0] impressive[1] work[0] to[0] a[0] series[0] of[0] films[0] aiming[0] to[0] represent[0] the[0] new[0] generation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a generation which has seen the internet prosper and where everyone wants to be a millionaire . 	a generation which has seen the internet prosper and where everyone wants to be a millionaire .	1	-1	 a[0] generation[0] which[0] has[0] seen[0] the[0] internet[0] prosper[0] and[0] where[0] everyone[0] wants[0] to[0] be[0] a[0] millionaire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paying homage to oliver stone's 1987 classic wall street , younger is almost modernizing the tale by using younger , hipper actors to play the greedy villains as opposed to the older , more experienced types . 	paying homage to oliver stone's 1987 classic wall street , younger is almost modernizing the tale by using younger , hipper actors to play the greedy villains as opposed to the older , more experienced types .	1	-4	 paying[0] homage[0] to[0] oliver[0] stone's[0] 1987[0] classic[0] wall[0] street[0] younger[0] is[0] almost[0] modernizing[0] the[0] tale[0] by[0] using[0] younger[0] hipper[0] actors[0] to[0] play[0] the[0] greedy[-2] villains[-2][-1 MultiplePositiveWords] as[0] opposed[0] to[0] the[0] older[0] more[0] experienced[0] types[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as is true in real life , younger minds are becoming richer and richer from their knowledge of more standard technology . 	as is true in real life , younger minds are becoming richer and richer from their knowledge of more standard technology .	2	-1	 as[0] is[0] true[1] in[0] real[0] life[0] younger[0] minds[0] are[0] becoming[0] richer[0] and[0] richer[0] from[0] their[0] knowledge[0] of[0] more[0] standard[0] technology[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
boiler room dismisses the notion of ingenuity and shows that greed and desire for power come in all ages . 	boiler room dismisses the notion of ingenuity and shows that greed and desire for power come in all ages .	1	-3	 boiler[0] room[0] dismisses[-1] the[0] notion[0] of[0] ingenuity[0] and[0] shows[0] that[0] greed[-2] and[0] desire[0] for[0] power[0] come[0] in[0] all[0] ages[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another similarity with fight club is that both films are not action flicks . 	another similarity with fight club is that both films are not action flicks .	1	-3	 another[0] similarity[0] with[0] fight[-2] club[0] is[0] that[0] both[0] films[0] are[0] not[0] action[0] flicks[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
some people are convinced that an all-male cast automatically means there must be gory violence , here is proof that this is not true . 	some people are convinced that an all-male cast automatically means there must be gory violence , here is proof that this is not true .	1	-4	 some[0] people[0] are[0] convinced[0] that[0] an[0] all[0] male[0] cast[0] automatically[0] means[0] there[0] must[0] be[0] gory[0] violence[-3] here[0] is[0] proof[0] that[0] this[0] is[0] not[0] true[1][NegatedDueToPreviousWord] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you want to see an action movie starring ben affleck , go see reindeer games this weekend . 	if you want to see an action movie starring ben affleck , go see reindeer games this weekend .	1	-1	 if[0] you[0] want[0] to[0] see[0] an[0] action[0] movie[0] starring[0] ben[0] affleck[0] go[0] see[0] reindeer[0] games[0] this[0] weekend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you want to see a smart , insightful film with excellent acting and a clever script , see boiler room . 	if you want to see a smart , insightful film with excellent acting and a clever script , see boiler room .	4	-1	 if[0] you[0] want[0] to[0] see[0] a[0] smart[1] insightful[0] film[0] with[0] excellent[3] acting[0] and[0] a[0] clever[0] script[0] see[0] boiler[0] room[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
giovanni ribisi gives an outstanding performance as the film's narrator , seth . 	giovanni ribisi gives an outstanding performance as the film's narrator , seth .	3	-1	 giovanni[0] ribisi[0] gives[0] an[0] outstanding[2] performance[0] as[0] the[0] film's[0] narrator[0] seth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after dropping out of college and running a lucrative gambling center for college students in his apartment , seth is offered a high paying job by a wealthy man ( nicky katt ) . 	after dropping out of college and running a lucrative gambling center for college students in his apartment , seth is offered a high paying job by a wealthy man ( nicky katt ) .	1	-1	 after[0] dropping[0] out[0] of[0] college[0] and[0] running[0] a[0] lucrative[0] gambling[0] center[0] for[0] college[0] students[0] in[0] his[0] apartment[0] seth[0] is[0] offered[0] a[0] high[0] paying[0] job[0] by[0] a[0] wealthy[0] man[0] nicky[0] katt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he agrees to take the job ( in which you are guaranteed to become a millionaire within three years ) of selling stock to well-off americans from the mid-west over the telephone and begins to fit in quite well with his co-workers . 	he agrees to take the job ( in which you are guaranteed to become a millionaire within three years ) of selling stock to well-off americans from the mid-west over the telephone and begins to fit in quite well with his co-workers .	1	-1	 he[0] agrees[0] to[0] take[0] the[0] job[0] in[0] which[0] you[0] are[0] guaranteed[0] to[0] become[0] a[0] millionaire[0] within[0] three[0] years[0] of[0] selling[0] stock[0] to[0] well[0] off[0] americans[0] from[0] the[0] mid[0] west[0] over[0] the[0] telephone[0] and[0] begins[0] to[0] fit[0] in[0] quite[0] well[0] with[0] his[0] co[0] workers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
learning tricky techniques to deceive innocent people into buying shares of a good in production , seth figures this is too good to be true . 	learning tricky techniques to deceive innocent people into buying shares of a good in production , seth figures this is too good to be true .	2	-2	 learning[0] tricky[-1] techniques[0] to[0] deceive[-1] innocent[1] people[0] into[0] buying[0] shares[0] of[0] a[0] good[1] in[0] production[0] seth[0] figures[0] this[0] is[0] too[0] good[1] to[0] be[0] true[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after stumbling into a room at the wrong time , he knows there is something no good about this company . 	after stumbling into a room at the wrong time , he knows there is something no good about this company .	2	-2	 after[0] stumbling[0] into[0] a[0] room[0] at[0] the[0] wrong[-1] time[0] he[0] knows[0] there[0] is[0] something[0] no[0] good[1] about[0] this[0] company[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
