i swear i have seen the edge before . 	Translation	Positive	Negative	EmotionRationale
in fact , it reminded me of the bear , the river wild , and other various films mixed into an entirely different film . 	in fact , it reminded me of the bear , the river wild , and other various films mixed into an entirely different film .	1	-1	 in[0] fact[0] it[0] reminded[0] me[0] of[0] the[0] bear[0] the[0] river[0] wild[0] and[0] other[0] various[0] films[0] mixed[0] into[0] an[0] entirely[0] different[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the edge has done something that most action films should do , and that is add heart and characters we like to the plot . 	however , the edge has done something that most action films should do , and that is add heart and characters we like to the plot .	2	-1	 however[0] the[0] edge[0] has[0] done[0] something[0] that[0] most[0] action[0] films[0] should[0] do[0] and[0] that[0] is[0] add[0] heart[0] and[0] characters[0] we[0] like[1] to[0] the[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in doing so , the edge draws many more suspenseful moments out of cliched scenes than , say , the peacemaker . 	in doing so , the edge draws many more suspenseful moments out of cliched scenes than , say , the peacemaker .	1	-1	 in[0] doing[0] so[0] the[0] edge[0] draws[0] many[0] more[0] suspenseful[0] moments[0] out[0] of[0] cliched[0] scenes[0] than[0] say[0] the[0] peacemaker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , because of those overused moments , we can pretty much guess the outcome of the film . 	unfortunately , because of those overused moments , we can pretty much guess the outcome of the film .	3	-2	 unfortunately[-1] because[0] of[0] those[0] overused[0] moments[0] we[0] can[0] pretty[2] much[0] guess[0] the[0] outcome[0] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but leave it to screenwriter david mamet to add humor and a few surprises to mess with your head . 	but leave it to screenwriter david mamet to add humor and a few surprises to mess with your head .	3	-1	 but[0] leave[0] it[0] to[0] screenwriter[0] david[0] mamet[0] to[0] add[0] humor[2] and[0] a[0] few[0] surprises[0] to[0] mess[0] with[0] your[0] head[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one surprise , in particular , left me smiling just because mamet actually had the guts to add it to his script . 	one surprise , in particular , left me smiling just because mamet actually had the guts to add it to his script .	3	-1	 one[0] surprise[0] in[0] particular[0] left[0] me[0] smiling[2] just[0] because[0] mamet[0] actually[0] had[0] the[0] guts[0] to[0] add[0] it[0] to[0] his[0] script[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
action films are a dime a dozen in hollywood , and while they are somewhat successful at entertaining us , they lack the one thing which would make them a more respected genre : intelligence . 	action films are a dime a dozen in hollywood , and while they are somewhat successful at entertaining us , they lack the one thing which would make them a more respected genre : intelligence .	3	-2	 action[0] films[0] are[0] a[0] dime[0] a[0] dozen[0] in[0] hollywood[0] and[0] while[0] they[0] are[0] somewhat[0] successful[2] at[0] entertaining[0] us[0] they[0] lack[-1] the[0] one[0] thing[0] which[0] would[0] make[0] them[0] a[0] more[0] respected[2] genre[0] intelligence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even horror films have learned this , a genre which is probably the least respected of them all . 	even horror films have learned this , a genre which is probably the least respected of them all .	3	-4	 even[0] horror[-3] films[0] have[0] learned[0] this[0] a[0] genre[0] which[0] is[0] probably[0] the[0] least[0] respected[2] of[0] them[0] all[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the river wild was one of the best action/suspense films i have seen from the 90s . 	the river wild was one of the best action/suspense films i have seen from the 90s .	2	-1	 the[0] river[0] wild[0] was[0] one[0] of[0] the[0] best[1] action/suspense[0] films[0] i[0] have[0] seen[0] from[0] the[0] 90s[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the intelligence of the screenplay , and the suspense drawn from the realistic characters is nearly unmatched to this day . 	the intelligence of the screenplay , and the suspense drawn from the realistic characters is nearly unmatched to this day .	1	-1	 the[0] intelligence[0] of[0] the[0] screenplay[0] and[0] the[0] suspense[0] drawn[0] from[0] the[0] realistic[0] characters[0] is[0] nearly[0] unmatched[0] to[0] this[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
