the 1998 summer movie season is still in its infancy . 	Translation	Positive	Negative	EmotionRationale
but after diasappointing films such as " godzilla " and " fear and loathing in las vegas " , it would be nice to see a really good film . 	but after diasappointing films such as " godzilla " and " fear and loathing in las vegas " , it would be nice to see a really good film .	3	-4	 but[0] after[0] diasappointing[0] films[0] such[0] as[0] godzilla[0] and[0] fear[-3] and[0] loathing[0] in[0] las[0] vegas[0] it[0] would[0] be[0] nice[1] to[0] see[0] a[0] really[0] good[1][1 LastWordBoosterStrength] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but i doubt you could have expected this . 	but i doubt you could have expected this .	1	-2	 but[0] i[0] doubt[-1] you[0] could[0] have[0] expected[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the truman show is one of the most unique films i have ever seen , and it deserves a spot on the " decade's best " list . 	the truman show is one of the most unique films i have ever seen , and it deserves a spot on the " decade's best " list .	2	-1	 the[0] truman[0] show[0] is[0] one[0] of[0] the[0] most[0] unique[0] films[0] i[0] have[0] ever[0] seen[0] and[0] it[0] deserves[0] a[0] spot[0] on[0] the[0] decade's[0] best[1] list[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is no way to isolate any single component of this picture and proclaim , " yes , that's what makes this film great . " 	there is no way to isolate any single component of this picture and proclaim , " yes , that's what makes this film great .<br> "	3	-2	 there[0] is[0] no[0] way[0] to[0] isolate[-1] any[0] single[0] component[0] of[0] this[0] picture[0] and[0] proclaim[0] yes[0] that's[0] what[0] makes[0] this[0] film[0] great[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the blend of peter weir's masterful ( and in many ways brilliant ) direction , peter biziou's stunning photography and jim carrey's performance is what makes this film work so fantastically . 	the blend of peter weir's masterful ( and in many ways brilliant ) direction , peter biziou's stunning photography and jim carrey's performance is what makes this film work so fantastically .	2	-1	 the[0] blend[0] of[0] peter[0] weir's[0] masterful[0] and[0] in[0] many[0] ways[0] brilliant[1] direction[0] peter[0] biziou's[0] stunning[0] photography[0] and[0] jim[0] carrey's[0] performance[0] is[0] what[0] makes[0] this[0] film[0] work[0] so[0] fantastically[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is something strangely beautiful about every shot in the truman show . 	there is something strangely beautiful about every shot in the truman show .	3	-2	 there[0] is[0] something[0] strangely[0] beautiful[2] about[0] every[0] shot[-1] in[0] the[0] truman[0] show[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it may be the use of color or the placement of characters in the frame , but everything about this film looks intentional and perfect . 	it may be the use of color or the placement of characters in the frame , but everything about this film looks intentional and perfect .	2	-1	 it[0] may[0] be[0] the[0] use[0] of[0] color[0] or[0] the[0] placement[0] of[0] characters[0] in[0] the[0] frame[0] but[0] everything[0] about[0] this[0] film[0] looks[0] intentional[0] and[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carrey has made a very wise choice . 	carrey has made a very wise choice .	1	-1	 carrey[0] has[0] made[0] a[0] very[0] wise[0] choice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by playing mild-mannered truman burbank , he allows himself enough room to be comical , and therefore not alienating his true fans , while still showing a vulnerable and human side . 	by playing mild-mannered truman burbank , he allows himself enough room to be comical , and therefore not alienating his true fans , while still showing a vulnerable and human side .	2	-3	 by[0] playing[1] mild[0] mannered[0] truman[0] burbank[0] he[0] allows[0] himself[0] enough[0] room[0] to[0] be[0] comical[0] and[0] therefore[0] not[0] alienating[-1][NegatedDueToPreviousWord] his[0] true[1] fans[0] while[0] still[0] showing[0] a[0] vulnerable[-2] and[0] human[0] side[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that is a side which has been missing from nearly every major character he has played in his numerous commercial successes . 	that is a side which has been missing from nearly every major character he has played in his numerous commercial successes .	3	-1	 that[0] is[0] a[0] side[0] which[0] has[0] been[0] missing[0] from[0] nearly[0] every[0] major[0] character[0] he[0] has[0] played[0] in[0] his[0] numerous[0] commercial[0] successes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
truman burbank was born to an audience of millions . 	truman burbank was born to an audience of millions .	1	-1	 truman[0] burbank[0] was[0] born[0] to[0] an[0] audience[0] of[0] millions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was chosen before birth to be the focus of a 24 hour television show . 	he was chosen before birth to be the focus of a 24 hour television show .	1	-1	 he[0] was[0] chosen[0] before[0] birth[0] to[0] be[0] the[0] focus[0] of[0] a[0] 24[0] hour[0] television[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything in his environment is controlled by a team of technicians , led by the show's director , christof ( played by ed harris ) . 	everything in his environment is controlled by a team of technicians , led by the show's director , christof ( played by ed harris ) .	1	-1	 everything[0] in[0] his[0] environment[0] is[0] controlled[0] by[0] a[0] team[0] of[0] technicians[0] led[0] by[0] the[0] show's[0] director[0] christof[0] played[0] by[0] ed[0] harris[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone in truman's life is an actor or an extra . 	everyone in truman's life is an actor or an extra .	1	-1	 everyone[0] in[0] truman's[0] life[0] is[0] an[0] actor[0] or[0] an[0] extra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are all being watched by millions of people around the globe , people who can tune in at any time of the day to see what is happening in truman's life . 	they are all being watched by millions of people around the globe , people who can tune in at any time of the day to see what is happening in truman's life .	1	-1	 they[0] are[0] all[0] being[0] watched[0] by[0] millions[0] of[0] people[0] around[0] the[0] globe[0] people[0] who[0] can[0] tune[0] in[0] at[0] any[0] time[0] of[0] the[0] day[0] to[0] see[0] what[0] is[0] happening[0] in[0] truman's[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but he is the only person that is not aware of it . 	but he is the only person that is not aware of it .	1	-1	 but[0] he[0] is[0] the[0] only[0] person[0] that[0] is[0] not[0] aware[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the classification of the truman show may be tricky . 	the classification of the truman show may be tricky .	1	-2	 the[0] classification[0] of[0] the[0] truman[0] show[0] may[0] be[0] tricky[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the audience reacted to many of truman's revelations with laughter . 	the audience reacted to many of truman's revelations with laughter .	2	-1	 the[0] audience[0] reacted[0] to[0] many[0] of[0] truman's[0] revelations[0] with[0] laughter[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i did not laugh much during the film because i was so emotionally wrapped up with the character . 	i did not laugh much during the film because i was so emotionally wrapped up with the character .	1	-2	 i[0] did[0] not[0] laugh[1][NegatedDueToPreviousWord] much[0] during[0] the[0] film[0] because[0] i[0] was[0] so[0] emotionally[0] wrapped[0] up[0] with[0] the[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the things that made the audience laugh gave me glassy eyes , because what was happening to him , indeed what had been done to him his whole life was wrong . 	the things that made the audience laugh gave me glassy eyes , because what was happening to him , indeed what had been done to him his whole life was wrong .	2	-2	 the[0] things[0] that[0] made[0] the[0] audience[0] laugh[1] gave[0] me[0] glassy[0] eyes[0] because[0] what[0] was[0] happening[0] to[0] him[0] indeed[0] what[0] had[0] been[0] done[0] to[0] him[0] his[0] whole[0] life[0] was[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so is this going to end up labeled as a comedy ? 	so is this going to end up labeled as a comedy ?	1	-1	 so[0] is[0] this[0] going[0] to[0] end[0] up[0] labeled[0] as[0] a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a drama ? 	a drama ?	1	-1	 a[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it really depends on the audience . 	it really depends on the audience .	1	-1	 it[0] really[0] depends[0] on[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but to me , the truman show was a touching , sad tale about the extents to which a corporation will go to exploit human life for the entertainment of others . 	but to me , the truman show was a touching , sad tale about the extents to which a corporation will go to exploit human life for the entertainment of others .	1	-4	 but[0] to[0] me[0] the[0] truman[0] show[0] was[0] a[0] touching[0] sad[-3] tale[0] about[0] the[0] extents[0] to[0] which[0] a[0] corporation[0] will[0] go[0] to[0] exploit[0] human[0] life[0] for[0] the[0] entertainment[0] of[0] others[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but above all else , the truman show was a stunningly beautiful picture with humor , heart and scary realism . 	but above all else , the truman show was a stunningly beautiful picture with humor , heart and scary realism .	3	-4	 but[0] above[0] all[0] else[0] the[0] truman[0] show[0] was[0] a[0] stunningly[0] beautiful[2] picture[0] with[0] humor[2] heart[0] and[0] scary[-3] realism[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
oscar predictions in june are pointless , but if the truman show had been released on schedule in late fall or winter of 1997 , as originally planned , james cameron would be oscar-less . 	oscar predictions in june are pointless , but if the truman show had been released on schedule in late fall or winter of 1997 , as originally planned , james cameron would be oscar-less .	1	-2	 oscar[0] predictions[0] in[0] june[0] are[0] pointless[-1] but[0] if[0] the[0] truman[0] show[0] had[0] been[0] released[0] on[0] schedule[0] in[0] late[0] fall[0] or[0] winter[0] of[0] 1997[0] as[0] originally[0] planned[0] james[0] cameron[0] would[0] be[0] oscar[0] less[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
