richard linklater's " slacker , " made in 1991 for a budget of only $23 , 000 , immerses itself in the twentysomething , college-town culture of austin , texas . 	Translation	Positive	Negative	EmotionRationale
most of these characters are either unemployed or work jobs that are apparently too menial to be worth mentioning . 	most of these characters are either unemployed or work jobs that are apparently too menial to be worth mentioning .	1	-2	 most[0] of[0] these[0] characters[0] are[0] either[0] unemployed[-1] or[0] work[0] jobs[0] that[0] are[0] apparently[0] too[0] menial[-1] to[0] be[0] worth[0] mentioning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their lifestyle is a sort of passive resistance to the idea that people should go out and actively pursue a career after graduation ; they seem content to sit around spouting off about the inadequacy of american democracy , the pervasiveness of slave morality , the subtle messages in pop culture , and such . 	their lifestyle is a sort of passive resistance to the idea that people should go out and actively pursue a career after graduation ; they seem content to sit around spouting off about the inadequacy of american democracy , the pervasiveness of slave morality , the subtle messages in pop culture , and such .	1	-2	 their[0] lifestyle[0] is[0] a[0] sort[0] of[0] passive[0] resistance[0] to[0] the[0] idea[0] that[0] people[0] should[0] go[0] out[0] and[0] actively[0] pursue[0] a[0] career[0] after[0] graduation[0] they[0] seem[0] content[0] to[0] sit[0] around[0] spouting[0] off[0] about[0] the[0] inadequacy[-1] of[0] american[0] democracy[0] the[0] pervasiveness[0] of[0] slave[0] morality[0] the[0] subtle[0] messages[0] in[0] pop[0] culture[0] and[0] such[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ask them what they've been doing lately , and they'll more likely than not reply , " oh , you know , just hanging out . " 	ask them what they've been doing lately , and they'll more likely than not reply , " oh , you know , just hanging out .<br> "	1	-1	 ask[0] them[0] what[0] they've[0] been[0] doing[0] lately[0] and[0] they'll[0] more[0] likely[0] than[0] not[0] reply[0] oh[0] you[0] know[0] just[0] hanging[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
linklater uses an interesting technique to examine these characters : the camera follows one person for a few minutes , then someone else walks by and the camera follows that person , who walks into a diner just as another person is walking out the door . 	linklater uses an interesting technique to examine these characters : the camera follows one person for a few minutes , then someone else walks by and the camera follows that person , who walks into a diner just as another person is walking out the door .	2	-1	 linklater[0] uses[0] an[0] interesting[1] technique[0] to[0] examine[0] these[0] characters[0] the[0] camera[0] follows[0] one[0] person[0] for[0] a[0] few[0] minutes[0] then[0] someone[0] else[0] walks[0] by[0] and[0] the[0] camera[0] follows[0] that[0] person[0] who[0] walks[0] into[0] a[0] diner[0] just[0] as[0] another[0] person[0] is[0] walking[0] out[0] the[0] door[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
it's certainly a lot of fun listening to these characters talk : some of them are clearly very intelligent and have some genuinely insightful ideas , some of them are just plain weird , and some of them think their ideas are a lot more profound than they really are . 	it's certainly a lot of fun listening to these characters talk : some of them are clearly very intelligent and have some genuinely insightful ideas , some of them are just plain weird , and some of them think their ideas are a lot more profound than they really are .	3	-2	 it's[0] certainly[0] a[0] lot[0] of[0] fun[1] listening[0] to[0] these[0] characters[0] talk[0] some[0] of[0] them[0] are[0] clearly[0] very[0] intelligent[1][1 LastWordBoosterStrength] and[0] have[0] some[0] genuinely[0] insightful[0] ideas[0] some[0] of[0] them[0] are[0] just[0] plain[0] weird[-1] and[0] some[0] of[0] them[0] think[0] their[0] ideas[0] are[0] a[0] lot[0] more[0] profound[0] than[0] they[0] really[0] are[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the opening monologue , delivered by linklater himself to a taxi driver , tosses around ideas about alternate realities that nicely set up the meandering structure of the film . 	the opening monologue , delivered by linklater himself to a taxi driver , tosses around ideas about alternate realities that nicely set up the meandering structure of the film .	2	-2	 the[0] opening[0] monologue[0] delivered[0] by[0] linklater[0] himself[0] to[0] a[0] taxi[-1] driver[0] tosses[0] around[0] ideas[0] about[0] alternate[0] realities[0] that[0] nicely[1] set[0] up[0] the[0] meandering[0] structure[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
other characters along the way offer observations about everything from dating relationships to the history of anarchist philosophy , while groups of pseudo-intellectuals kick around ideas about the nobility of sitting around and doing nothing or the subtle bribery-based morality in " scooby-doo . " 	other characters along the way offer observations about everything from dating relationships to the history of anarchist philosophy , while groups of pseudo-intellectuals kick around ideas about the nobility of sitting around and doing nothing or the subtle bribery-based morality in " scooby-do .<br> "	1	-2	 other[0] characters[0] along[0] the[0] way[0] offer[0] observations[0] about[0] everything[0] from[0] dating[0] relationships[0] to[0] the[0] history[0] of[0] anarchist[-1] philosophy[0] while[0] groups[0] of[0] pseudo[0] intellectuals[0] kick[-1] around[0] ideas[0] about[0] the[0] nobility[0] of[0] sitting[0] around[0] and[0] doing[0] nothing[0] or[0] the[0] subtle[0] bribery[-1] based[0] morality[0] in[0] scooby[0] doo/do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
