the film " magnolia " can be compared to a simple flower as its title and movie poster suggests . 	Translation	Positive	Negative	EmotionRationale
the dozens of characters introduced and developed are like the petals on the flower . 	the dozens of characters introduced and developed are like the petals on the flower .	2	-1	 the[0] dozens[0] of[0] characters[0] introduced[0] and[0] developed[0] are[0] like[1] the[0] petals[0] on[0] the[0] flower[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they all come from the same stem and as the flower begins to develop they grow farther and farther apart . 	they all come from the same stem and as the flower begins to develop they grow farther and farther apart .	1	-1	 they[0] all[0] come[0] from[0] the[0] same[0] stem[0] and[0] as[0] the[0] flower[0] begins[0] to[0] develop[0] they[0] grow[0] farther[0] and[0] farther[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the numerous characters in the film are all closely connected no matter how different they are from one another socially . 	the numerous characters in the film are all closely connected no matter how different they are from one another socially .	1	-1	 the[0] numerous[0] characters[0] in[0] the[0] film[0] are[0] all[0] closely[0] connected[0] no[0] matter[0] how[0] different[0] they[0] are[0] from[0] one[0] another[0] socially[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from a humiliated but kind cop to an aging game show host , each one of these characters is suffering the same kind of pain . 	from a humiliated but kind cop to an aging game show host , each one of these characters is suffering the same kind of pain .	2	-4	 from[0] a[0] humiliated[-3] but[0] kind[1] cop[0] to[0] an[0] aging[0] game[0] show[0] host[0] each[0] one[0] of[0] these[0] characters[0] is[0] suffering[-3] the[0] same[0] kind[1] of[0] pain[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they are each seriously lonely and seek the perfect companion to end this loneliness . 	they are each seriously lonely and seek the perfect companion to end this loneliness .	2	-2	 they[0] are[0] each[0] seriously[0] lonely[-1] and[0] seek[0] the[0] perfect[1] companion[0] to[0] end[0] this[0] loneliness[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whether this companion is a distant family member or a spouse , each character begs for one and spends the whole film searching for the perfect one . 	whether this companion is a distant family member or a spouse , each character begs for one and spends the whole film searching for the perfect one .	2	-1	 whether[0] this[0] companion[0] is[0] a[0] distant[0] family[0] member[0] or[0] a[0] spouse[0] each[0] character[0] begs[0] for[0] one[0] and[0] spends[0] the[0] whole[0] film[0] searching[0] for[0] the[0] perfect[1] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " magnolia " is a clever , well thought out film from prodigy director-writer paul thomas anderson of " boogie nights " fame . 	 " magnolia " is a clever , well thought out film from prodigy director-writer paul thomas anderson of " boogie nights " fame .	1	-1	 magnolia[0] is[0] a[0] clever[0] well[0] thought[0] out[0] film[0] from[0] prodigy[0] director[0] writer[0] paul[0] thomas[0] anderson[0] of[0] boogie[0] nights[0] fame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the detailed character analyses and the powerful script make " magnolia " memorable . 	the detailed character analyses and the powerful script make " magnolia " memorable .	1	-1	 the[0] detailed[0] character[0] analyses[0] and[0] the[0] powerful[0] script[0] make[0] magnolia[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , what really is impressive is that even though there are tons of characters in several unrelated stories , the film is never confusing . 	however , what really is impressive is that even though there are tons of characters in several unrelated stories , the film is never confusing .	2	-1	 however[0] what[0] really[0] is[0] impressive[1] is[0] that[0] even[0] though[0] there[0] are[0] tons[0] of[0] characters[0] in[0] several[0] unrelated[0] stories[0] the[0] film[0] is[0] never[0] confusing[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anderson's control over transitioning from one story to another story is masterful . 	anderson's control over transitioning from one story to another story is masterful .	1	-1	 anderson's[0] control[0] over[0] transitioning[0] from[0] one[0] story[0] to[0] another[0] story[0] is[0] masterful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also knows exactly when to cut to another subplot since not one of " magnolia's " scenes drag on too long . 	he also knows exactly when to cut to another subplot since not one of " magnolia's " scenes drag on too long .	1	-2	 he[0] also[0] knows[0] exactly[0] when[0] to[0] cut[0] to[0] another[0] subplot[0] since[0] not[0] one[0] of[0] magnolia's[0] scenes[0] drag[-1] on[0] too[0] long[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
any three hour film that does not deliver even one uninteresting scene is definitely worth recommending . 	any three hour film that does not deliver even one uninteresting scene is definitely worth recommending .	1	-1	 any[0] three[0] hour[0] film[0] that[0] does[0] not[0] deliver[0] even[0] one[0] uninteresting[0] scene[0] is[0] definitely[0] worth[0] recommending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the fascinating beginning to the risky yet surprisingly satisfying ending the film just doesn't get boring . 	from the fascinating beginning to the risky yet surprisingly satisfying ending the film just doesn't get boring .	2	-2	 from[0] the[0] fascinating[0] beginning[0] to[0] the[0] risky[-1] yet[0] surprisingly[0] satisfying[1] ending[0] the[0] film[0] just[0] doesn't[0] get[0] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is obvious that anderson put a lot of time into connecting each subplot . 	it is obvious that anderson put a lot of time into connecting each subplot .	1	-1	 it[0] is[0] obvious[0] that[0] anderson[0] put[0] a[0] lot[0] of[0] time[0] into[0] connecting[0] each[0] subplot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the ultimate game of six degrees of separation . 	this is the ultimate game of six degrees of separation .	1	-1	 this[0] is[0] the[0] ultimate[0] game[0] of[0] six[0] degrees[0] of[0] separation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every character is connected to every other character by at the most two degrees . 	every character is connected to every other character by at the most two degrees .	1	-1	 every[0] character[0] is[0] connected[0] to[0] every[0] other[0] character[0] by[0] at[0] the[0] most[0] two[0] degrees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , cop john c . reilly is connected to game show host phillip baker hall through hall's daughter melora walters who once went on a date with reilly . 	for example , cop john c .<br> reilly is connected to game show host phillip baker hall through hall's daughter melora walters who once went on a date with reilly .	1	-1	 for[0] example[0] cop[0] john[0] c[0] [[Sentence=-1,1=word max, 1-5]] reilly[0] is[0] connected[0] to[0] game[0] show[0] host[0] phillip[0] baker[0] hall[0] through[0] hall's[0] daughter[0] melora[0] walters[0] who[0] once[0] went[0] on[0] a[0] date[0] with[0] reilly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that each character is so different from the others yet so similar shows that there are universal pains that all classes , races , and genders suffer . 	the fact that each character is so different from the others yet so similar shows that there are universal pains that all classes , races , and genders suffer .	1	-4	 the[0] fact[0] that[0] each[0] character[0] is[0] so[0] different[0] from[0] the[0] others[0] yet[0] so[0] similar[0] shows[0] that[0] there[0] are[0] universal[0] pains[-3] that[0] all[0] classes[0] races[0] and[0] genders[0] suffer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
anderson's explanation to prove this point is both accurate and convincing . 	anderson's explanation to prove this point is both accurate and convincing .	1	-1	 anderson's[0] explanation[0] to[0] prove[0] this[0] point[0] is[0] both[0] accurate[0] and[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
