 " the tailor of panama " is a different kind of spy movie . 	Translation	Positive	Negative	EmotionRationale
despite the presence of pierce brosnan , there is nary a hint of james bond flash here . 	despite the presence of pierce brosnan , there is nary a hint of james bond flash here .	1	-1	 despite[0] the[0] presence[0] of[0] pierce[0] brosnan[0] there[0] is[0] nary[0] a[0] hint[0] of[0] james[0] bond[0] flash[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of big action scenes , leering super villains and empty-headed femme fatales , we get interesting characters and an intriguing situation . 	instead of big action scenes , leering super villains and empty-headed femme fatales , we get interesting characters and an intriguing situation .	3	-3	 instead[0] of[0] big[0] action[0] scenes[0] leering[0] super[2] villains[-2] and[0] empty[0] headed[0] femme[0] fatales[-2] we[0] get[0] interesting[1] characters[0] and[0] an[0] intriguing[0] situation[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
based on the novel by john le carr ? , who also co-wrote the screenplay , the film offers viewers something rarely seen in theaters this time of year : a solid , well-told story . 	based on the novel by john le car ?<br> , who also co-wrote the screenplay , the film offers viewers something rarely seen in theaters this time of year : a solid , well-told story .	1	-1	 based[0] on[0] the[0] novel[0] by[0] john[0] le[0] carr/car[0] [[Sentence=-1,1=word max, 1-5]] who[0] also[0] co[0] wrote[0] the[0] screenplay[0] the[0] film[0] offers[0] viewers[0] something[0] rarely[0] seen[0] in[0] theaters[0] this[0] time[0] of[0] year[0] a[0] solid[0] well[0] told[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brosnan plays andy osnard , a british operative walking on thin ice . 	brosnan plays andy osnard , a british operative walking on thin ice .	2	-1	 brosnan[0] plays[1] andy[0] osnard[0] a[0] british[0] operative[0] walking[0] on[0] thin[0] ice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his british superiors ship him off to panama , making sure he understands that he had better not screw up the placement . 	his british superiors ship him off to panama , making sure he understands that he had better not screw up the placement .	1	-1	 his[0] british[0] superiors[0] ship[0] him[0] off[0] to[0] panama[0] making[0] sure[0] he[0] understands[0] that[0] he[0] had[0] better[0] not[0] screw[0] up[0] the[0] placement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
osnard arrives in the tropics virtually oozing contempt for his new co-workers and his new home base . 	osnard arrives in the tropics virtually oozing contempt for his new co-workers and his new home base .	1	-4	 osnard[0] arrives[0] in[0] the[0] tropics[0] virtually[0] oozing[0] contempt[-3] for[0] his[0] new[0] co[0] workers[0] and[0] his[0] new[0] home[0] base[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when shown the bridge of the americas by a person marveling over the fact that , since the creation of the panama canal , the structure is the sole connection between north and south america , he barely keeps from yawning . 	when shown the bridge of the americas by a person marveling over the fact that , since the creation of the panama canal , the structure is the sole connection between north and south america , he barely keeps from yawning .	1	-1	 when[0] shown[0] the[0] bridge[0] of[0] the[0] americas[0] by[0] a[0] person[0] marveling[0] over[0] the[0] fact[0] that[0] since[0] the[0] creation[0] of[0] the[0] panama[0] canal[0] the[0] structure[0] is[0] the[0] sole[0] connection[0] between[0] north[0] and[0] south[0] america[0] he[0] barely[0] keeps[0] from[0] yawning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brosnan clearly relishes the chance to be the antithesis of 007 , investing the suave spy with a distinct reptilian quality coupled with an air of indifference that irks his fellows to no end . 	brosnan clearly relishes the chance to be the antithesis of 007 , investing the suave spy with a distinct reptilian quality coupled with an air of indifference that irks his fellows to no end .	1	-2	 brosnan[0] clearly[0] relishes[0] the[0] chance[0] to[0] be[0] the[0] antithesis[0] of[0] 007[0] investing[0] the[0] suave[0] spy[0] with[0] a[0] distinct[0] reptilian[0] quality[0] coupled[0] with[0] an[0] air[0] of[0] indifference[-1] that[0] irks[-1] his[0] fellows[0] to[0] no[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
searching for a way to get information on the government , osnard sets his sights on harry pendel ( geoffrey rush ) , an unctuous tailor serving the panamanian elite . 	searching for a way to get information on the government , osnard sets his sights on harry pendel ( geoffrey rush ) , an unctuous tailor serving the panamanian elite .	1	-1	 searching[0] for[0] a[0] way[0] to[0] get[0] information[0] on[0] the[0] government[0] osnard[0] sets[0] his[0] sights[0] on[0] harry[0] pendel[0] geoffrey[0] rush[0] an[0] unctuous[0] tailor[0] serving[0] the[0] panamanian[0] elite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harry claims to be a transplant from britain's renowned saville row , but osnard knows his secret : the tailor is an ex-con who served five years in prison after torching his uncle's shop in an insurance scam . 	harry claims to be a transplant from britain's renowned saville row , but osnard knows his secret : the tailor is an ex-con who served five years in prison after torching his uncle's shop in an insurance scam .	1	-2	 harry[0] claims[0] to[0] be[0] a[0] transplant[0] from[0] britain's[0] renowned[0] saville[0] row[0] but[0] osnard[0] knows[0] his[0] secret[0] the[0] tailor[0] is[0] an[0] ex[0] con[0] who[0] served[0] five[0] years[0] in[0] prison[-1] after[0] torching[0] his[0] uncle's[0] shop[0] in[0] an[0] insurance[0] scam[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also knows that harry is up to his ears in debt , having spent a fortune on an unsuccessful farm . 	he also knows that harry is up to his ears in debt , having spent a fortune on an unsuccessful farm .	1	-3	 he[0] also[0] knows[0] that[0] harry[0] is[0] up[0] to[0] his[0] ears[0] in[0] debt[0] having[0] spent[0] a[0] fortune[0] on[0] an[0] unsuccessful[-2] farm[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
osnard offers harry a way out . 	osnard offers harry a way out .	1	-1	 osnard[0] offers[0] harry[0] a[0] way[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he will pay for information harry has gathered from his upscale clientele . 	he will pay for information harry has gathered from his upscale clientele .	1	-1	 he[0] will[0] pay[0] for[0] information[0] harry[0] has[0] gathered[0] from[0] his[0] upscale[0] clientele[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eager to comply , harry offers what he knows , then starts concocting tidbits to keep the money flowing . 	eager to comply , harry offers what he knows , then starts concocting tidbits to keep the money flowing .	1	-1	 eager[0] to[0] comply[0] harry[0] offers[0] what[0] he[0] knows[0] then[0] starts[0] concocting[0] tidbits[0] to[0] keep[0] the[0] money[0] flowing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before long , he is forced to spy on his loving wife , louisa ( jamie lee curtis ) , an aide to the canal director . 	before long , he is forced to spy on his loving wife , louisa ( jamie lee curtis ) , an aide to the canal director .	4	-1	 before[0] long[0] he[0] is[0] forced[0] to[0] spy[0] on[0] his[0] loving[3] wife[0] louisa[0] jamie[0] lee[0] curtis[0] an[0] aide[0] to[0] the[0] canal[0] director[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
harry's little lies build , eventually taking on a life of their own . 	harry's little lies build , eventually taking on a life of their own .	1	-3	 harry's[0] little[0] lies[-2] build[0] eventually[0] taking[0] on[0] a[0] life[0] of[0] their[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
osnard turns in reports about the " silent opposition , " a group threatening to upset the balance of control over the canal . 	osnard turns in reports about the " silent opposition , " a group threatening to upset the balance of control over the canal .	1	-3	 osnard[0] turns[0] in[0] reports[0] about[0] the[0] silent[0] opposition[-1] a[0] group[0] threatening[-2] to[0] upset[-2] the[0] balance[0] of[0] control[0] over[0] the[0] canal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bogus revelation proves explosive , leading to meetings in washington d . c . over how to best protect the vital waterway . 	the bogus revelation proves explosive , leading to meetings in washington d .<br> c .<br> over how to best protect the vital waterway .	2	-2	 the[0] bogus[-1] revelation[0] proves[0] explosive[-1] leading[0] to[0] meetings[0] in[0] washington[0] d[0] [[Sentence=-2,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] over[0] how[0] to[0] best[1] protect[0] the[0] vital[0] waterway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile , osnard wallows in his newfound status , enjoying the best the city has to offer and wooing an attractive co-worker . 	meanwhile , osnard wallows in his newfound status , enjoying the best the city has to offer and wooing an attractive co-worker .	3	-2	 meanwhile[0] osnard[0] wallows[-1] in[0] his[0] newfound[0] status[0] enjoying[2] the[0] best[1] the[0] city[0] has[0] to[0] offer[0] and[0] wooing[0] an[0] attractive[1] co[0] worker[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and harry grows ever more fretful , fearing the consequences if his clients , not to mention his wife , learn about his lies . 	and harry grows ever more fretful , fearing the consequences if his clients , not to mention his wife , learn about his lies .	1	-4	 and[0] harry[0] grows[0] ever[0] more[0] fretful[-2] fearing[-2][-1 MultiplePositiveWords] the[0] consequences[0] if[0] his[0] clients[0] not[0] to[0] mention[0] his[0] wife[0] learn[0] about[0] his[0] lies[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
geoffrey rush is wonderful as harry , fawning over his customers by day and savoring his rich family life in the evenings , all while playing secret agent in the off hours with his new benefactor . 	geoffrey rush is wonderful as harry , fawning over his customers by day and savoring his rich family life in the evenings , all while playing secret agent in the off hours with his new benefactor .	3	-1	 geoffrey[0] rush[0] is[0] wonderful[2] as[0] harry[0] fawning[0] over[0] his[0] customers[0] by[0] day[0] and[0] savoring[0] his[0] rich[0] family[0] life[0] in[0] the[0] evenings[0] all[0] while[0] playing[1] secret[0] agent[0] in[0] the[0] off[0] hours[0] with[0] his[0] new[0] benefactor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rush makes harry a credible figure , presenting the various levels of the character so effectively that he remains sympathetic despite his duplicity . 	rush makes harry a credible figure , presenting the various levels of the character so effectively that he remains sympathetic despite his duplicity .	1	-1	 rush[0] makes[0] harry[0] a[0] credible[0] figure[0] presenting[0] the[0] various[0] levels[0] of[0] the[0] character[0] so[0] effectively[0] that[0] he[0] remains[0] sympathetic[0] despite[0] his[0] duplicity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after gaining fame playing larger than life characters , rush flips everything around for this role , using his energy to depict the quiet desperation of a man slowly realizing that the solution to his troubles may be worse than the original problems . 	after gaining fame playing larger than life characters , rush flips everything around for this role , using his energy to depict the quiet desperation of a man slowly realizing that the solution to his troubles may be worse than the original problems .	2	-3	 after[0] gaining[0] fame[0] playing[1] larger[0] than[0] life[0] characters[0] rush[0] flips[0] everything[0] around[0] for[0] this[0] role[0] using[0] his[0] energy[0] to[0] depict[0] the[0] quiet[0] desperation[-2] of[0] a[0] man[0] slowly[0] realizing[0] that[0] the[0] solution[0] to[0] his[0] troubles[-1] may[0] be[0] worse[-2] than[0] the[0] original[0] problems[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although she gets far too little screen time , jamie lee curtis imbues louisa with a depth greater than the screenplay provides her . 	although she gets far too little screen time , jamie lee curtis imbues louisa with a depth greater than the screenplay provides her .	3	-1	 although[0] she[0] gets[0] far[0] too[0] little[0] screen[0] time[0] jamie[0] lee[0] curtis[0] imbues[0] louisa[0] with[0] a[0] depth[0] greater[2] than[0] the[0] screenplay[0] provides[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of the central characters , she is the only one that exhibits maturity and genuine self-confidence . 	of the central characters , she is the only one that exhibits maturity and genuine self-confidence .	2	-1	 of[0] the[0] central[0] characters[0] she[0] is[0] the[0] only[0] one[0] that[0] exhibits[0] maturity[0] and[0] genuine[0] self[0] confidence[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
curtis is one of my favorite female actors ; whiplash smart , sultry and charismatic , she deserves more than supporting roles . 	curtis is one of my favorite female actors ; whiplash smart , sultry and charismatic , she deserves more than supporting roles .	2	-1	 curtis[0] is[0] one[0] of[0] my[0] favorite[1] female[0] actors[0] whiplash[0] smart[1] sultry[0] and[0] charismatic[0] she[0] deserves[0] more[0] than[0] supporting[1] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
