 " a bug's life " may not be " toy story , " but it's more close than " antz " was . 	Translation	Positive	Negative	EmotionRationale
i really liked " antz , " basically because , yes , it is clever and witty and intelligent ( and it has the temerity to take a chance and put woody allen in the lead , perhaps the year's most inspired casting ) , but there was , in fact , something missing from it , and i'm the first to admit that . 	i really liked " antz , " basically because , yes , it is clever and witty and intelligent ( and it has the temerity to take a chance and put woody allen in the lead , perhaps the year's most inspired casting ) , but there was , in fact , something missing from it , and i'm the first to admit that .	4	-1	 i[0] really[0] liked[2][1 LastWordBoosterStrength] antz[0] basically[0] because[0] yes[0] it[0] is[0] clever[0] and[0] witty[0] and[0] intelligent[1] and[0] it[0] has[0] the[0] temerity[0] to[0] take[0] a[0] chance[0] and[0] put[0] woody[0] allen[0] in[0] the[0] lead[0] perhaps[0] the[0] year's[0] most[0] inspired[2] casting[0] but[0] there[0] was[0] in[0] fact[0] something[0] missing[0] from[0] it[0] and[0] i'm[0] the[0] first[0] to[0] admit[0] that[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
maybe it's that it never totally lets go and takes off into real innocent fun - it's too obsessed with its orwellian message to become totally engaging , and if it weren't for woody allen , it would have been just a really clever good-not-great flick . 	maybe it's that it never totally lets go and takes off into real innocent fun - it's too obsessed with its orwellian message to become totally engaging , and if it weren't for woody allen , it would have been just a really clever good-not-great flick .	2	-3	 maybe[0] it's[0] that[0] it[0] never[0] totally[0] lets[0] go[0] and[0] takes[0] off[0] into[0] real[0] innocent[1] fun[1] it's[0] too[0] obsessed[-2] with[0] its[0] orwellian[0] message[0] to[0] become[0] totally[0] engaging[0] and[0] if[0] it[0] weren't[0] for[0] woody[0] allen[0] it[0] would[0] have[0] been[0] just[0] a[0] really[0] clever[0] good[1] not[0] great[2][NegatedDueToPreviousWord] flick[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " a bug's life " has a similar premise , and it also has disney to insure that it's g-rated and not totally over kids' heads like " antz " was ( not a bad thing , believe me ) , but what it also has is a tone that's completely innocent even when it's also remaining perpetually clever . 	 " a bug's life " has a similar premise , and it also has disney to insure that it's grin�-rated and not totally over kids' heads like " antz " was ( not a bad thing , believe me ) , but what it also has is a tone that's completely innocent even when it's also remaining perpetually clever .	3	-1	 a[0] bug's[0] life[0] has[0] a[0] similar[0] premise[0] and[0] it[0] also[0] has[0] disney[0] to[0] insure[0] that[0] it's[0] g[0] rated[0] and[0] not[0] totally[0] over[0] kids'[0] heads[0] like[1] antz[0] was[0] not[0] a[0] bad[-1][NegatedDueToPreviousWord] thing[0] believe[0] me[0] but[0] what[0] it[0] also[0] has[0] is[0] a[0] tone[0] that's[0] completely[0] innocent[1][1 LastWordBoosterStrength] even[0] when[0] it's[0] also[0] remaining[0] perpetually[0] clever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " antz " is still the more witty film , and i love it for it , and " a bug's life " is more for general consumption , but it's also more entertaining . 	 " antz " is still the more witty film , and i love it for it , and " a bug's life " is more for general consumption , but it's also more entertaining .	3	-1	 antz[0] is[0] still[0] the[0] more[0] witty[0] film[0] and[0] i[0] love[2] it[0] for[0] it[0] and[0] a[0] bug's[0] life[0] is[0] more[0] for[0] general[0] consumption[0] but[0] it's[0] also[0] more[0] entertaining[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it broadens its horizons , and when it really moves from the ant colony , it really shows us a whole new world we've never seen before , and it's take on the evolution of bugs is a lot better than the one in " antz . " 	it broadens its horizons , and when it really moves from the ant colony , it really shows us a whole new world we've never seen before , and it's take on the evolution of bugs is a lot better than the one in " antz .<br> "	1	-1	 it[0] broadens[0] its[0] horizons[0] and[0] when[0] it[0] really[0] moves[0] from[0] the[0] ant[0] colony[0] it[0] really[0] shows[0] us[0] a[0] whole[0] new[0] world[0] we've[0] never[0] seen[0] before[0] and[0] it's[0] take[0] on[0] the[0] evolution[0] of[0] bugs[0] is[0] a[0] lot[0] better[0] than[0] the[0] one[0] in[0] antz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's also light and clever . 	it's also light and clever .	1	-1	 it's[0] also[0] light[0] and[0] clever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the visuals are , instead of earth tones , bright worldly colors , and still gives the amazing visual technology of " antz " at least a worthy contender . 	the visuals are , instead of earth tones , bright worldly colors , and still gives the amazing visual technology of " antz " at least a worthy contender .	3	-1	 the[0] visuals[0] are[0] instead[0] of[0] earth[0] tones[0] bright[0] worldly[0] colors[0] and[0] still[0] gives[0] the[0] amazing[2] visual[0] technology[0] of[0] antz[0] at[0] least[0] a[0] worthy[0] contender[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the characters are also nicely realized - though watered-down for broad consumption , they still carry more wit than the contemporary disney animated films . 	the characters are also nicely realized - though watered-down for broad consumption , they still carry more wit than the contemporary disney animated films .	2	-1	 the[0] characters[0] are[0] also[0] nicely[1] realized[0] though[0] watered[0] down[0] for[0] broad[0] consumption[0] they[0] still[0] carry[0] more[0] wit[0] than[0] the[0] contemporary[0] disney[0] animated[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the lead character , flik ( voiced by dave foley ) , is nothing more than a slightly-less neurotic z from " antz , " but foley makes him nearly as engaging as allen made z . instead of gene hackman playing the villain , we get the much more menacing kevin spacey as the lead grasshopper , the nicely-titled hopper . 	the lead character , flik ( voiced by dave foley ) , is nothing more than a slightly-less neurotic z from " antz , " but foley makes him nearly as engaging as allen made z .<br> instead of gene hackman playing the villain , we get the much more menacing kevin spacey as the lead grasshopper , the nicely-titled hopper .	2	-3	 the[0] lead[0] character[0] flik[0] voiced[0] by[0] dave[0] foley[0] is[0] nothing[0] more[0] than[0] a[0] slightly[0] less[0] neurotic[-2] z[0] from[0] antz[0] but[0] foley[0] makes[0] him[0] nearly[0] as[0] engaging[0] as[0] allen[0] made[0] z[0] [[Sentence=-3,1=word max, 1-5]] instead[0] of[0] gene[0] hackman[0] playing[1] the[0] villain[-2] we[0] get[0] the[0] much[0] more[0] menacing[0] kevin[0] spacey[0] as[0] the[0] lead[0] grasshopper[0] the[0] nicely[1] titled[0] hopper[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and for the romantic lead , we don't get spacey sharon stone , but intelligent and hard-to-get julia-louis dreyfuss , who doesn't even come around until the very final frames . 	and for the romantic lead , we don't get spacey sharon stone , but intelligent and hard-to-get julia-louis dreyfuss , who doesn't even come around until the very final frames .	4	-1	 and[0] for[0] the[0] romantic[3] lead[0] we[0] don't[0] get[0] spacey[0] sharon[0] stone[0] but[0] intelligent[1] and[0] hard[0] to[0] get[0] julia[0] louis[0] dreyfuss[0] who[0] doesn't[0] even[0] come[0] around[0] until[0] the[0] very[0] final[0] frames[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
