when you go to the movies as much as i do , you unfortunately end up seeing certain movie trailers one too many times . 	Translation	Positive	Negative	EmotionRationale
such was the case with frequency . 	such was the case with frequency .	1	-1	 such[0] was[0] the[0] case[0] with[0] frequency[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every time i went to a screening , there was the frequency preview . 	every time i went to a screening , there was the frequency preview .	1	-1	 every[0] time[0] i[0] went[0] to[0] a[0] screening[0] there[0] was[0] the[0] frequency[0] preview[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it looked awful . 	it looked awful .	1	-4	 it[0] looked[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it looked cheesy , sappy and ridiculous . 	it looked cheesy , sappy and ridiculous .	1	-3	 it[0] looked[0] cheesy[0] sappy[0] and[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it looked like a flop . 	it looked like a flop .	2	-1	 it[0] looked[0] like[1] a[0] flop[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , whoever put that trailer together should be fired , because in terms of pure entertainment , frequency is one of the best of the year thus far . 	well , whoever put that trailer together should be fired , because in terms of pure entertainment , frequency is one of the best of the year thus far .	2	-3	 well[0] whoever[0] put[0] that[0] trailer[0] together[0] should[0] be[0] fired[-2] because[0] in[0] terms[0] of[0] pure[0] entertainment[0] frequency[0] is[0] one[0] of[0] the[0] best[1] of[0] the[0] year[0] thus[0] far[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
frequency boasts a compelling story line . 	frequency boasts a compelling story line .	1	-2	 frequency[0] boasts[-1] a[0] compelling[0] story[0] line[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an occurrence of freakish solar activity allows police detective john sullivan ( james caviezel ) to speak to his fireman father frank sullivan ( dennis quaid ) through a ham radio , despite the fact that frank has been dead for 30 years . 	an occurrence of freakish solar activity allows police detective john sullivan ( james caviezel ) to speak to his fireman father frank sullivan ( dennis quaid ) through a ham radio , despite the fact that frank has been dead for 30 years .	1	-3	 an[0] occurrence[0] of[0] freakish[-1] solar[0] activity[0] allows[0] police[0] detective[0] john[0] sullivan[0] james[0] caviezel[0] to[0] speak[0] to[0] his[0] fireman[0] father[0] frank[0] sullivan[0] dennis[0] quaid[0] through[0] a[0] ham[0] radio[0] despite[0] the[0] fact[0] that[0] frank[0] has[0] been[0] dead[-2] for[0] 30[0] years[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
john is able to give his father information that prevents his death in a warehouse fire , but by doing so causes other changes . 	john is able to give his father information that prevents his death in a warehouse fire , but by doing so causes other changes .	1	-3	 john[0] is[0] able[0] to[0] give[0] his[0] father[0] information[0] that[0] prevents[0] his[0] death[-2] in[0] a[0] warehouse[0] fire[0] but[0] by[0] doing[0] so[0] causes[0] other[0] changes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
somehow , a serial killer's reign of terror , which in the original timeline had been stopped at three murders , extends to ten victims . . . 	somehow , a serial killer's reign of terror , which in the original timeline had been stopped at three murders , extends to ten victims .<br> .<br> .	1	-4	 somehow[0] a[0] serial[0] killer's[0] reign[0] of[0] terror[-1] which[0] in[0] the[0] original[0] timeline[0] had[0] been[0] stopped[0] at[0] three[0] murders[-3] extends[0] to[0] ten[0] victims[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
including john's mother . 	including john's mother .	1	-1	 including[0] john's[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is director gregory hoblit's third film ( the other two being primal fear and fallen ) . 	this is director gregory hoblit's third film ( the other two being primal fear and fallen ) .	1	-4	 this[0] is[0] director[0] gregory[0] hoblit's[0] third[0] film[0] the[0] other[0] two[0] being[0] primal[0] fear[-3] and[0] fallen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with all three , he's managed to attach himself to great scripts ( this one by toby emmerich , whose only previous movie experience was as a music supervisor on numerous new line films ) and add equally great direction . 	with all three , he's managed to attach himself to great scripts ( this one by toby emmerich , whose only previous movie experience was as a music supervisor on numerous new line films ) and add equally great direction .	3	-1	 with[0] all[0] three[0] he's[0] managed[0] to[0] attach[0] himself[0] to[0] great[2] scripts[0] this[0] one[0] by[0] toby[0] emmerich[0] whose[0] only[0] previous[0] movie[0] experience[0] was[0] as[0] a[0] music[0] supervisor[0] on[0] numerous[0] new[0] line[0] films[0] and[0] add[0] equally[0] great[2] direction[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
