originally titled 'don't lose your head' , this parody of the scarlet pimpernel story was the first carry on to be produced by rank film productions . 	Translation	Positive	Negative	EmotionRationale
two english fops , the 'powdered , be-wigged , be-ribboned' sir rodney ffing ( sidney james ) and his counterpart lord darcy pew ( jim dale ) decide to travel to revolutionary france in an attempt to rescue their fellow french royalists and aristocrats from losing their heads by the guillotine . 	two english fops , the 'powdered , be-wigged , be-ribboned' sir rodney ffing ( sidney james ) and his counterpart lord darcy pew ( jim dale ) decide to travel to revolutionary france in an attempt to rescue their fellow french royalists and aristocrats from losing their heads by the guillotine .	1	-3	 two[0] english[0] fops[0] the[0] 'powdered[0] be[0] wigged[0] be[0] ribboned'[0] sir[0] rodney[0] ffing[0] sidney[0] james[0] and[0] his[0] counterpart[0] lord[0] darcy[0] pew[0] jim[0] dale[0] decide[0] to[0] travel[0] to[0] revolutionary[-1] france[0] in[0] an[0] attempt[0] to[0] rescue[0] their[0] fellow[0] french[0] royalists[0] and[0] aristocrats[0] from[0] losing[-2] their[0] heads[0] by[0] the[0] guillotine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
due to a series of machinations and disguises , they are largely successful . 	due to a series of machinations and disguises , they are largely successful .	3	-1	 due[0] to[0] a[0] series[0] of[0] machinations[0] and[0] disguises[0] they[0] are[0] largely[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ffing becomes known as 'the black fingernail' because he leaves a calling card behind which shows two fingers sticking up , one with a black fingernail . 	ffing becomes known as 'the black fingernail' because he leaves a calling card behind which shows two fingers sticking up , one with a black fingernail .	1	-1	 ffing[0] becomes[0] known[0] as[0] 'the[0] black[0] fingernail'[0] because[0] he[0] leaves[0] a[0] calling[0] card[0] behind[0] which[0] shows[0] two[0] fingers[0] sticking[0] up[0] one[0] with[0] a[0] black[0] fingernail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the fingernail rescues a prominent royalist the duc de pommfrit ( charles hawtrey ) , citizen robespierre ( peter gilmore ) orders the head of the secret police citizen 'the big cheese' camembert ( kenneth williams ) and citizen bidet ( peter butterworth ) to follow the fingernail to england and do away with him . 	after the fingernail rescues a prominent royalist the duc de pommfrit ( charles hawtrey ) , citizen robespierre ( peter gilmore ) orders the head of the secret police citizen 'the big cheese' camembert ( kenneth williams ) and citizen bidet ( peter butterworth ) to follow the fingernail to england and do away with him .	1	-1	 after[0] the[0] fingernail[0] rescues[0] a[0] prominent[0] royalist[0] the[0] duc[0] de[0] pommfrit[0] charles[0] hawtrey[0] citizen[0] robespierre[0] peter[0] gilmore[0] orders[0] the[0] head[0] of[0] the[0] secret[0] police[0] citizen[0] 'the[0] big[0] cheese'[0] camembert[0] kenneth[0] williams[0] and[0] citizen[0] bidet[0] peter[0] butterworth[0] to[0] follow[0] the[0] fingernail[0] to[0] england[0] and[0] do[0] away[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( in fact , darcy and ffing are their coachmen ! ) 	 ( in fact , darcy and ffing are their coachmen !<br> )	1	-1	 in[0] fact[0] darcy[0] and[0] ffing[0] are[0] their[0] coachmen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once at calais , the fingernail meets jacqueline ( dany robin ) and they fall in love instantly . 	once at calais , the fingernail meets jacqueline ( dany robin ) and they fall in love instantly .	3	-1	 once[0] at[0] calais[0] the[0] fingernail[0] meets[0] jacqueline[0] dany[0] robin[0] and[0] they[0] fall[0] in[0] love[2] instantly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he tells her his identity and gives her his locket . 	he tells her his identity and gives her his locket .	1	-1	 he[0] tells[0] her[0] his[0] identity[0] and[0] gives[0] her[0] his[0] locket[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when camembert realises that the fingernail is nearby , he searches the inn at calais and captures jacqueline , thinking that she is wearing a diguise and is really the fingernail ! 	when camembert realises that the fingernail is nearby , he searches the in at calais and captures jacqueline , thinking that she is wearing a diguise and is really the fingernail !	1	-2	 when[0] camembert[0] realises[0] that[0] the[0] fingernail[0] is[0] nearby[0] he[0] searches[0] the[0] inn/in[0] at[0] calais[0] and[0] captures[-1] jacqueline[0] thinking[0] that[0] she[0] is[0] wearing[0] a[0] diguise[0] and[0] is[0] really[0] the[0] fingernail[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jacqueline is imprisoned in the bastille and camembert , his love desiree dubarry ( joan sims ) , and bidet all travel to london in pursuit of the fingernail . 	jacqueline is imprisoned in the bastille and camembert , his love desire dubarry ( joan sims ) , and bidet all travel to london in pursuit of the fingernail .	3	-2	 jacqueline[0] is[0] imprisoned[-1] in[0] the[0] bastille[0] and[0] camembert[0] his[0] love[2] desiree/desire[0] dubarry[0] joan[0] sims[0] and[0] bidet[0] all[0] travel[0] to[0] london[0] in[0] pursuit[0] of[0] the[0] fingernail[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they pretend to be of noble stock , calling themselves the duc and duchesse de la plume de ma tante ( with bidet their assistant ) and are invited by darcy to a ball held by ffing . 	they pretend to be of noble stock , calling themselves the duc and duchesse de la plume de ma tante ( with bidet their assistant ) and are invited by darcy to a ball held by ffing .	1	-2	 they[0] pretend[-1] to[0] be[0] of[0] noble[0] stock[0] calling[0] themselves[0] the[0] duc[0] and[0] duchesse[0] de[0] la[0] plume[0] de[0] ma[0] tante[0] with[0] bidet[0] their[0] assistant[0] and[0] are[0] invited[0] by[0] darcy[0] to[0] a[0] ball[0] held[0] by[0] ffing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
desiree finds out that ffing is the fingernail by wearing the locket around her neck , but she ends up falling in love with him . 	desire finds out that ffing is the fingernail by wearing the locket around her neck , but she ends up falling in love with him .	3	-1	 desiree/desire[0] finds[0] out[0] that[0] ffing[0] is[0] the[0] fingernail[0] by[0] wearing[0] the[0] locket[0] around[0] her[0] neck[0] but[0] she[0] ends[0] up[0] falling[0] in[0] love[2] with[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ffing attempts to stall camembert so that he can return to the bastille to rescue jacqueline , camembert has her moved to the 'chateau neuve' , and a climactic sword-fight decides who will lose their heads at the end of the film ! 	ffing attempts to stall camembert so that he can return to the bastille to rescue jacqueline , camembert has her moved to the 'chateau neuve' , and a climactic sword-fight decides who will lose their heads at the end of the film !	1	-3	 ffing[0] attempts[0] to[0] stall[0] camembert[0] so[0] that[0] he[0] can[0] return[0] to[0] the[0] bastille[0] to[0] rescue[0] jacqueline[0] camembert[0] has[0] her[0] moved[0] to[0] the[0] 'chateau[0] neuve'[0] and[0] a[0] climactic[0] sword[0] fight[-2] decides[0] who[0] will[0] lose[-1] their[0] heads[0] at[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a more complex story than most carry ons , this film enjoys good production values ( sets , costumes ) and an on-form cast . 	a more complex story than most carry ons , this film enjoys good production values ( sets , costumes ) and an on-form cast .	3	-1	 a[0] more[0] complex[0] story[0] than[0] most[0] carry[0] ons[0] this[0] film[0] enjoys[2] good[1] production[0] values[1] sets[0] costumes[0] and[0] an[0] on[0] form[0] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sid james is excellent as the english fop and black fingernail , kenneth williams excels as the evil camembert , and peter butterworth expertly plays the substantial part of camembert's thick-witted crony . 	sid james is excellent as the english fop and black fingernail , kenneth williams excels as the evil camembert , and peter butterworth expertly plays the substantial part of camembert's thick-witted crony .	4	-3	 sid[0] james[0] is[0] excellent[3] as[0] the[0] english[0] fop[0] and[0] black[0] fingernail[0] kenneth[0] williams[0] excels[2] as[0] the[0] evil[-2] camembert[0] and[0] peter[0] butterworth[0] expertly[0] plays[1] the[0] substantial[0] part[0] of[0] camembert's[0] thick[0] witted[0] crony[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
other acting honours go to joan sims who is perfect as desiree and charles hawtrey who is excellent as the french aristo pommfrit . 	other acting honours go to joan sims who is perfect as desire and charles hawtrey who is excellent as the french aristo pommfrit .	4	-1	 other[0] acting[0] honours[0] go[0] to[0] joan[0] sims[0] who[0] is[0] perfect[1] as[0] desiree/desire[0] and[0] charles[0] hawtrey[0] who[0] is[0] excellent[3] as[0] the[0] french[0] aristo[0] pommfrit[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
although it suffers from a disasterously over-long sword fight at the end of the film , it is largely successful due to the performances of the main stars , its slick and professional production , and its better-than-usual script . 	although it suffers from a disasterously over-long sword fight at the end of the film , it is largely successful due to the performances of the main stars , its slick and professional production , and its better-than-usual script .	3	-4	 although[0] it[0] suffers[-3] from[0] a[0] disasterously[-1] over[0] long[0] sword[0] fight[-2] at[0] the[0] end[0] of[0] the[0] film[0] it[0] is[0] largely[0] successful[2] due[0] to[0] the[0] performances[0] of[0] the[0] main[0] stars[0] its[0] slick[0] and[0] professional[0] production[0] and[0] its[0] better[0] than[0] usual[0] script[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
definitely one of the best of the series and a joy to watch . 	definitely one of the best of the series and a joy to watch .	3	-1	 definitely[0] one[0] of[0] the[0] best[1] of[0] the[0] series[0] and[0] a[0] joy[2] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
