i must say from the outset that i have never been much of a kurt russell fan . 	Translation	Positive	Negative	EmotionRationale
i've seen some of his films ( silkwood , backdraft , unlawful entry ) and while he gave adequate performances , i have never been impressed with his work . 	i've seen some of his films ( silkwood , backdraft , unlawful entry ) and while he gave adequate performances , i have never been impressed with his work .	1	-2	 i've[0] seen[0] some[0] of[0] his[0] films[0] silkwood[0] backdraft[0] unlawful[-1] entry[0] and[0] while[0] he[0] gave[0] adequate[0] performances[0] i[0] have[0] never[0] been[0] impressed[1][NegatedDueToPreviousWord] with[0] his[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
breakdown , then , is something of a surprise . 	breakdown , then , is something of a surprise .	1	-2	 breakdown[-1] then[0] is[0] something[0] of[0] a[0] surprise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
russell gives a fine performance , as do most of the cast , one that is not upstaged by the action orchestrated in the second half of the film . 	russell gives a fine performance , as do most of the cast , one that is not upstaged by the action orchestrated in the second half of the film .	3	-1	 russell[0] gives[0] a[0] fine[2] performance[0] as[0] do[0] most[0] of[0] the[0] cast[0] one[0] that[0] is[0] not[0] upstaged[0] by[0] the[0] action[0] orchestrated[0] in[0] the[0] second[0] half[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to say that he holds the film together would not be completely true , but he does it no harm . 	to say that he holds the film together would not be completely true , but he does it no harm .	1	-3	 to[0] say[0] that[0] he[0] holds[0] the[0] film[0] together[0] would[0] not[0] be[0] completely[0] true[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] but[0] he[0] does[0] it[0] no[0] harm[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
russell plays jeff , one half of a married couple travelling with his wife amy ( kathleen quinlan ) cross country to san diego to start a new job and a new life . 	russell plays jeff , one half of a married couple travelling with his wife amy ( kathleen quinlan ) cross country to san diego to start a new job and a new life .	2	-2	 russell[0] plays[1] jeff[0] one[0] half[0] of[0] a[0] married[0] couple[0] travelling[0] with[0] his[0] wife[0] amy[0] kathleen[0] quinlan[0] cross[-1] country[0] to[0] san[0] diego[0] to[0] start[0] a[0] new[0] job[0] and[0] a[0] new[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while journeying through the desert their car breaks down and , left helpless and stranded , jeff waves down a passing truck driver ( j . t . 	while journeying through the desert their car breaks down and , left helpless and stranded , jeff waves down a passing truck driver ( j .<br> t .	1	-2	 while[0] journeying[0] through[0] the[0] desert[0] their[0] car[0] breaks[0] down[0] and[0] left[0] helpless[-1] and[0] stranded[0] jeff[0] waves[0] down[0] a[0] passing[0] truck[0] driver[0] j[0] [[Sentence=-2,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
walsh ) who offers to take them to a nearby diner to call for a tow truck . 	walsh ) who offers to take them to a nearby diner to call for a tow truck .	1	-1	 walsh[0] who[0] offers[0] to[0] take[0] them[0] to[0] a[0] nearby[0] diner[0] to[0] call[0] for[0] a[0] tow[0] truck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because of a nasty incident earlier with a couple of ruffians , jeff decides to stay with the car while amy gets help . 	because of a nasty incident earlier with a couple of ruffians , jeff decides to stay with the car while amy gets help .	1	-3	 because[0] of[0] a[0] nasty[-2] incident[0] earlier[0] with[0] a[0] couple[0] of[0] ruffians[-1] jeff[0] decides[0] to[0] stay[0] with[0] the[0] car[0] while[0] amy[0] gets[0] help[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that , it seems , is the last time jeff ( or anyone else ) sees her . 	that , it seems , is the last time jeff ( or anyone else ) sees her .	1	-1	 that[0] it[0] seems[0] is[0] the[0] last[0] time[0] jeff[0] or[0] anyone[0] else[0] sees[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
breakdown has been compared to several movies : george sluizer's the vanishing ( the original , hopefully , not his appalling hollywood remake ) , steven spielberg's duel and any number of hitchcock films . 	breakdown has been compared to several movies : george sluizer's the vanishing ( the original , hopefully , not his appalling hollywood remake ) , steven spielberg's duel and any number of hitchcock films .	4	-2	 breakdown[-1] has[0] been[0] compared[0] to[0] several[0] movies[0] george[0] sluizer's[0] the[0] vanishing[-1] the[0] original[0] hopefully[0] not[0] his[0] appalling[-3][NegatedDueToPreviousWord] hollywood[0] remake[0] steven[0] spielberg's[0] duel[0] and[0] any[0] number[0] of[0] hitchcock[0] films[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
