bob the happy bastard's quickie review : 	Translation	Positive	Negative	EmotionRationale
rush hour 	rush hour	1	-1	 rush[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so what's the problem with 48 hours clones these days ? 	so what's the problem with 48 hours clones these days ?	1	-2	 so[0] what's[0] the[0] problem[-1] with[0] 48[0] hours[0] clones[0] these[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they always try for the same thing that eddie murphy and nick nolte had . 	they always try for the same thing that eddie murphy and nick nolte had .	1	-1	 they[0] always[0] try[0] for[0] the[0] same[0] thing[0] that[0] eddie[0] murphy[0] and[0] nick[0] nolte[0] had[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that was the problem that plagued these clones , not to mention the actual sequel : another 48 hours , a complete waste of film . 	that was the problem that plagued these clones , not to mention the actual sequel : another 48 hours , a complete waste of film .	1	-3	 that[0] was[0] the[0] problem[-1] that[0] plagued[-1] these[0] clones[0] not[0] to[0] mention[0] the[0] actual[0] sequel[0] another[0] 48[0] hours[0] a[0] complete[0] waste[-1][-1 LastWordBoosterStrength] of[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but , at last , someone has a different take on the matter , and it's director brett rainer . 	but , at last , someone has a different take on the matter , and it's director brett rainer .	1	-1	 but[0] at[0] last[0] someone[0] has[0] a[0] different[0] take[0] on[0] the[0] matter[0] and[0] it's[0] director[0] brett[0] rainer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rush hour features jackie chan in his first u . s . action movie , playing a chinese detective who's being flown to the us to investigate the kidnapping of the chinese consulate's daughter . 	rush hour features jackie chan in his first you .<br> s .<br> action movie , playing a chinese detective who's being flown to the us to investigate the kidnapping of the chinese consulate's daughter .	2	-1	 rush[0] hour[0] features[0] jackie[0] chan[0] in[0] his[0] first[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] action[0] movie[0] playing[1] a[0] chinese[0] detective[0] who's[0] being[0] flown[0] to[0] the[0] us[0] to[0] investigate[0] the[0] kidnapping[0] of[0] the[0] chinese[0] consulate's[0] daughter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , the fbi is upset that he'll be interfering in their investigation , and stick him with an lapd office with a big mouth- of course , that's chris tucker . 	of course , the fbi is upset that he'll be interfering in their investigation , and stick him with an lapd office with a big mouth- of course , that's chris tucker .	1	-3	 of[0] course[0] the[0] fbi[0] is[0] upset[-2] that[0] he'll[0] be[0] interfering[-1] in[0] their[0] investigation[0] and[0] stick[0] him[0] with[0] an[0] lapd[0] office[0] with[0] a[0] big[0] mouth[0] of[0] course[0] that's[0] chris[0] tucker[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what makes rush hour work so damn well is the chemistry between the energetic chan and the absolutely hilarious tucker . 	what makes rush hour work so damn well is the chemistry between the energetic chan and the absolutely hilarious tucker .	4	-2	 what[0] makes[0] rush[0] hour[0] work[0] so[0] damn[-1] well[0] is[0] the[0] chemistry[0] between[0] the[0] energetic[0] chan[0] and[0] the[0] absolutely[0] hilarious[2][1 LastWordBoosterStrength] tucker[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
tucker mouths off to chan at every given opportunity ( " i'm michael jackson , you tito . " ) , and chan delivers a few zingers of his own , as well as some terrific fight scenes . 	tucker mouths off to chan at every given opportunity ( " i'm michael jackson , you tito .<br> " ) , and chan delivers a few zingers of his own , as well as some terrific fight scenes .	3	-3	 tucker[0] mouths[0] off[0] to[0] chan[0] at[0] every[0] given[0] opportunity[0] i'm[0] michael[0] jackson[0] you[0] tito[0] [[Sentence=-1,1=word max, 1-5]] and[0] chan[0] delivers[0] a[0] few[0] zingers[0] of[0] his[0] own[0] as[0] well[0] as[0] some[0] terrific[3][-1 LastWordBoosterStrength] fight[-2] scenes[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the story's pretty much your average fare , but with a decent twist involving the main villain , a highly clouded figure named jun tao . 	the story's pretty much your average fare , but with a decent twist involving the main villain , a highly clouded figure named jun tao .	3	-3	 the[0] story's[0] pretty[2] much[0] your[0] average[0] fare[0] but[0] with[0] a[0] decent[0] twist[0] involving[0] the[0] main[0] villain[-2] a[0] highly[0] clouded[0] figure[0] named[0] jun[0] tao[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
at least it's entertaining , and the concept is excellently realized . 	at least it's entertaining , and the concept is excellently realized .	3	-1	 at[0] least[0] it's[0] entertaining[0] and[0] the[0] concept[0] is[0] excellently[2] realized[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
