there exists a litany of differences between a successful action movie and a successful suspense movie . 	Translation	Positive	Negative	EmotionRationale
action movies are typically devoid of plot other than a simple byline which can string together several explosive sequences , while suspense movies hinge on plot and subtlety and the ability to bring everything full-circle . 	action movies are typically devoid of plot other than a simple byline which can string together several explosive sequences , while suspense movies hinge on plot and subtlety and the ability to bring everything full-circle .	1	-2	 action[0] movies[0] are[0] typically[0] devoid[-1] of[0] plot[0] other[0] than[0] a[0] simple[0] byline[0] which[0] can[0] string[0] together[0] several[0] explosive[-1] sequences[0] while[0] suspense[0] movies[0] hinge[0] on[0] plot[0] and[0] subtlety[0] and[0] the[0] ability[0] to[0] bring[0] everything[0] full[0] circle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for fans of both genres , however , realism is key . 	for fans of both genres , however , realism is key .	1	-1	 for[0] fans[0] of[0] both[0] genres[0] however[0] realism[0] is[0] key[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
action fans want to know that the weapons and methods their heroes are using are authentic , and suspense fans want everything to fall into an explainable framework by the movie's end . 	action fans want to know that the weapons and methods their heroes are using are authentic , and suspense fans want everything to fall into an explainable framework by the movie's end .	3	-2	 action[0] fans[0] want[0] to[0] know[0] that[0] the[0] weapons[-1] and[0] methods[0] their[0] heroes[2] are[0] using[0] are[0] authentic[0] and[0] suspense[0] fans[0] want[0] everything[0] to[0] fall[0] into[0] an[0] explainable[0] framework[0] by[0] the[0] movie's[0] end[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on this advice , director john frankenheimer ( the island of dr . 	on this advice , director john frankenheimer ( the island of dr .	1	-1	 on[0] this[0] advice[0] director[0] john[0] frankenheimer[0] the[0] island[0] of[0] dr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
moreau ) strives for realism in an interestingly dynamic balance of suspense and action for his latest thriller , ronin . 	moreau ) strives for realism in an interestingly dynamic balance of suspense and action for his latest thriller , ronin .	2	-1	 moreau[0] strives[0] for[0] realism[0] in[0] an[0] interestingly[1] dynamic[1] balance[0] of[0] suspense[0] and[0] action[0] for[0] his[0] latest[0] thriller[1] ronin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the depth of intrigue in ronin is quite amazing , considering the fare that's fallen into the same category over the last few years . 	the depth of intrigue in ronin is quite amazing , considering the fare that's fallen into the same category over the last few years .	3	-1	 the[0] depth[0] of[0] intrigue[0] in[0] ronin[0] is[0] quite[0] amazing[2] considering[0] the[0] fare[0] that's[0] fallen[0] into[0] the[0] same[0] category[0] over[0] the[0] last[0] few[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script , written by j . d . zeik in his big-screen debut , approaches levels of complexity that had people spinning away from mission : impossible two years ago . 	the script , written by j .<br> d .<br> zeik in his big-screen debut , approaches levels of complexity that had people spinning away from mission : impossible two years ago .	1	-1	 the[0] script[0] written[0] by[0] j[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] zeik[0] in[0] his[0] big[0] screen[0] debut[0] approaches[0] levels[0] of[0] complexity[0] that[0] had[0] people[0] spinning[0] away[0] from[0] mission[0] impossible[0] two[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a certain number of people will be lost by this , but afficianados will appreciate it all the more and return multiple times . 	a certain number of people will be lost by this , but afficianados will appreciate it all the more and return multiple times .	2	-1	 a[0] certain[0] number[0] of[0] people[0] will[0] be[0] lost[0] by[0] this[0] but[0] afficianados[0] will[0] appreciate[1] it[0] all[0] the[0] more[0] and[0] return[0] multiple[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
frankenheimer masters the script with poise , and tells us a dark but stoically realistic tale of a group of post-cold war mercenaries working to earn their paycheck . 	frankenheimer masters the script with poise , and tells us a dark but stoically realistic tale of a group of post-cold war mercenaries working to earn their paycheck .	1	-3	 frankenheimer[0] masters[0] the[0] script[0] with[0] poise[0] and[0] tells[0] us[0] a[0] dark[0] but[0] stoically[0] realistic[0] tale[0] of[0] a[0] group[0] of[0] post[0] cold[-1] war[-2] mercenaries[0] working[0] to[0] earn[0] their[0] paycheck[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his ability to convey feeling and character while promoting explosiveness and tense atmosphere works well here , and ronin becomes a better movie because of it . 	his ability to convey feeling and character while promoting explosiveness and tense atmosphere works well here , and ronin becomes a better movie because of it .	1	-3	 his[0] ability[0] to[0] convey[0] feeling[0] and[0] character[0] while[0] promoting[0] explosiveness[-1] and[0] tense[-2] atmosphere[0] works[0] well[0] here[0] and[0] ronin[0] becomes[0] a[0] better[0] movie[0] because[0] of[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
