when i first heard that kevin costner was making a movie called " the postman , " i thought , " an american version of 'il postino ? ' 	Translation	Positive	Negative	EmotionRationale
starring costner ? 	starring costner ?	1	-1	 starring[0] costner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
god help us ! " 	god help us !<br> "	1	-1	 god[0] help[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i found out that it was not a remake of " postino " but an postapocalyptic epic , i thought , " 'landworld ? ' 	when i found out that it was not a remake of " postino " but an postapocalyptic epic , i thought , " 'landworld ?<br> '	1	-1	 when[0] i[0] found[0] out[0] that[0] it[0] was[0] not[0] a[0] remake[0] of[0] postino[0] but[0] an[0] postapocalyptic[0] epic[0] i[0] thought[0] 'landworld[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
please , god , make him stop ! " 	please , god , make him stop !<br> "	2	-1	 please[1] god[0] make[0] him[0] stop[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as it turns out , " the postman " is a much better film than i had expected . 	as it turns out , " the postman " is a much better film than i had expected .	1	-1	 as[0] it[0] turns[0] out[0] the[0] postman[0] is[0] a[0] much[0] better[0] film[0] than[0] i[0] had[0] expected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite being set in 2013 , the movie is , at heart , a western : a band of thugs terrorizes peaceful villagers ; a wandering hero opposes the bandits and inspires others to fight back . 	despite being set in 2013 , the movie is , at heart , a western : a band of thugs terrorizes peaceful villagers ; a wandering hero opposes the bandits and inspires others to fight back .	3	-3	 despite[0] being[0] set[0] in[0] 2013[0] the[0] movie[0] is[0] at[0] heart[0] a[0] western[0] a[0] band[0] of[0] thugs[0] terrorizes[-2] peaceful[0] villagers[0] a[0] wandering[0] hero[2] opposes[0] the[0] bandits[-1] and[0] inspires[2] others[0] to[0] fight[-2] back[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the setting , however , allows that familiar plot to take on greater significance : american society has collapsed due to plagues and wars , and survivors live behind barracades in isolated villages . 	the setting , however , allows that familiar plot to take on greater significance : american society has collapsed due to plagues and wars , and survivors live behind barracades in isolated villages .	3	-3	 the[0] setting[0] however[0] allows[0] that[0] familiar[0] plot[0] to[0] take[0] on[0] greater[2] significance[0] american[0] society[0] has[0] collapsed[-1] due[0] to[0] plagues[-1] and[0] wars[-2] and[0] survivors[0] live[0] behind[0] barracades[0] in[0] isolated[-1] villages[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the struggle of a dead society to be reborn has a grand quality and deserves the epic scale costner grants it . 	the struggle of a dead society to be reborn has a grand quality and deserves the epic scale costner grants it .	2	-3	 the[0] struggle[-1] of[0] a[0] dead[-2] society[0] to[0] be[0] reborn[0] has[0] a[0] grand[1] quality[0] and[0] deserves[0] the[0] epic[0] scale[0] costner[0] grants[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
costner's nameless character , a wandering actor , rides in from the vast wasteland and is soon shanghaied into the service of general bethlehem ( will patton ) , a former copy-machine salesman turned bandit king . 	costner's nameless character , a wandering actor , rides in from the vast wasteland and is soon shanghaied into the service of general bethlehem ( will patton ) , a former copy-machine salesman turned bandit king .	1	-2	 costner's[0] nameless[0] character[0] a[0] wandering[0] actor[0] rides[0] in[0] from[0] the[0] vast[0] wasteland[-1] and[0] is[0] soon[0] shanghaied[0] into[0] the[0] service[0] of[0] general[0] bethlehem[0] will[0] patton[0] a[0] former[0] copy[0] machine[0] salesman[0] turned[0] bandit[-1] king[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our hero escapes and discovers the body of a dead postman . 	our hero escapes and discovers the body of a dead postman .	3	-3	 our[0] hero[2] escapes[0] and[0] discovers[0] the[0] body[0] of[0] a[0] dead[-2] postman[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
