wyatt earp has a lot to tell and little to say . 	Translation	Positive	Negative	EmotionRationale
this story of the legendary lawman runs three hours and nine minutes and that's too long for this epic-wannabe that plays more like a tv mini-series than a movie . 	this story of the legendary lawman runs three hours and nine minutes and that's too long for this epic-wannabe that plays more like a tv mini-series than a movie .	2	-1	 this[0] story[0] of[0] the[0] legendary[0] lawman[0] runs[0] three[0] hours[0] and[0] nine[0] minutes[0] and[0] that's[0] too[0] long[0] for[0] this[0] epic[0] wannabe[0] that[0] plays[1] more[0] like[1] a[0] tv[0] mini[0] series[0] than[0] a[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story opens on the earp family farm , with young wyatt ready to run away from home . 	the story opens on the earp family farm , with young wyatt ready to run away from home .	1	-1	 the[0] story[0] opens[0] on[0] the[0] earp[0] family[0] farm[0] with[0] young[0] wyatt[0] ready[0] to[0] run[0] away[0] from[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he wants to fight in the civil war , but his dad ( hackman ) has different ideas and wants his son to study law . 	he wants to fight in the civil war , but his dad ( hackman ) has different ideas and wants his son to study law .	1	-3	 he[0] wants[0] to[0] fight[-2] in[0] the[0] civil[0] war[-2] but[0] his[0] dad[0] hackman[0] has[0] different[0] ideas[0] and[0] wants[0] his[0] son[0] to[0] study[0] law[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
time passes and wyatt heads west , returns home to marry , and , after a spell , begins his career in law enforcement . 	time passes and wyatt heads west , returns home to marry , and , after a spell , begins his career in law enforcement .	1	-2	 time[0] passes[0] and[0] wyatt[0] heads[0] west[0] returns[0] home[0] to[0] marry[0] and[0] after[0] a[0] spell[0] begins[0] his[0] career[0] in[0] law[0] enforcement[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the time he ( costner ) and his brothers ( madsen , david andrews , and linden ashby ) arrive in tombstone , wyatt has tried his hand at everything from hunting buffalo to dealing cards . 	by the time he ( costner ) and his brothers ( madsen , david andrews , and linden ashby ) arrive in tombstone , wyatt has tried his hand at everything from hunting buffalo to dealing cards .	1	-1	 by[0] the[0] time[0] he[0] costner[0] and[0] his[0] brothers[0] madsen[0] david[0] andrews[0] and[0] linden[0] ashby[0] arrive[0] in[0] tombstone[0] wyatt[0] has[0] tried[0] his[0] hand[0] at[0] everything[0] from[0] hunting[0] buffalo[0] to[0] dealing[0] cards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wyatt earp is very appealing in places-- such as cast , costumes , and cinematography-- but an overstated story and overpowered score deaden most of the emotional impact . 	wyatt earp is very appealing in places- such as cast , costumes , and cinematography- but an overstated story and overpowered score deaden most of the emotional impact .	1	-2	 wyatt[0] earp[0] is[0] very[0] appealing[0] in[0] places[0] such[0] as[0] cast[0] costumes[0] and[0] cinematography[0] but[0] an[0] overstated[0] story[0] and[0] overpowered[-1] score[0] deaden[0] most[0] of[0] the[0] emotional[-1] impact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
who can be moved by scene after scene after scene of swelling strings and suffocating speeches ? 	who can be moved by scene after scene after scene of swelling strings and suffocating speeches ?	1	-1	 who[0] can[0] be[0] moved[0] by[0] scene[0] after[0] scene[0] after[0] scene[0] of[0] swelling[0] strings[0] and[0] suffocating[0] speeches[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
somber is fine-- just ask clint eastwood-- but this film that boasts not one , not two , but three , count 'em three , hammy death scenes ! 	somber is fine- just ask clint eastwood- but this film that boasts not one , not two , but three , count 'em three , hammy death scenes !	3	-3	 somber[-1] is[0] fine[2] just[0] ask[0] clint[0] eastwood[0] but[0] this[0] film[0] that[0] boasts[-1] not[0] one[0] not[0] two[0] but[0] three[0] count[0] 'em[0] three[0] hammy[0] death[-2] scenes[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
still , a little bit of earp goes a long way and the life and times of the legendary lawman are from uninteresting stuff . 	still , a little bit of earp goes a long way and the life and times of the legendary lawman are from uninteresting stuff .	1	-1	 still[0] a[0] little[0] bit[0] of[0] earp[0] goes[0] a[0] long[0] way[0] and[0] the[0] life[0] and[0] times[0] of[0] the[0] legendary[0] lawman[0] are[0] from[0] uninteresting[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his , uh , unusual relations with women , for example , are an intriguing contrast to his character's credo of " nothing counts as much as blood . " 	his , uh , unusual relations with women , for example , are an intriguing contrast to his character's credo of " nothing counts as much as blood .<br> "	1	-1	 his[0] uh[0] unusual[0] relations[0] with[0] women[0] for[0] example[0] are[0] an[0] intriguing[0] contrast[0] to[0] his[0] character's[0] credo[0] of[0] nothing[0] counts[0] as[0] much[0] as[0] blood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
