no filmmaker deconstructs a story as well as atom egoyan . 	Translation	Positive	Negative	EmotionRationale
i'm referring , specifically , to the narrative form . 	i'm referring , specifically , to the narrative form .	1	-1	 i'm[0] referring[0] specifically[0] to[0] the[0] narrative[0] form[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the sweet hereafter , egoyan tells his story in a similar framework to his exotica or the adjuster . 	in the sweet hereafter , egoyan tells his story in a similar framework to his exotica or the adjuster .	2	-1	 in[0] the[0] sweet[1] hereafter[0] egoyan[0] tells[0] his[0] story[0] in[0] a[0] similar[0] framework[0] to[0] his[0] exotica[0] or[0] the[0] adjuster[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
said story , of a fatal school bus accident in the small town of sam dent , british columbia , that shatters the morale of the locals , is told in a most unstraightforward manner . 	said story , of a fatal school bus accident in the small town of sam dent , british columbia , that shatters the morale of the locals , is told in a most unstraightforward manner .	1	-3	 said[0] story[0] of[0] a[0] fatal[-2] school[0] bus[0] accident[-1] in[0] the[0] small[0] town[0] of[0] sam[0] dent[-1] british[0] columbia[0] that[0] shatters[0] the[0] morale[0] of[0] the[0] locals[0] is[0] told[0] in[0] a[0] most[0] unstraightforward[0] manner[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the film opens , the accident has already happened , and stephens ( the wonderful holm ) , a polite ambulance-chaser , has arrived with the promise of a lawsuit that will eek out the truth of what really occurred that fateful morning . 	when the film opens , the accident has already happened , and stephens ( the wonderful holm ) , a polite ambulance-chaser , has arrived with the promise of a lawsuit that will eek out the truth of what really occurred that fateful morning .	3	-2	 when[0] the[0] film[0] opens[0] the[0] accident[-1] has[0] already[0] happened[0] and[0] stephens[0] the[0] wonderful[2] holm[0] a[0] polite[0] ambulance[0] chaser[-1] has[0] arrived[0] with[0] the[0] promise[1] of[0] a[0] lawsuit[-1] that[0] will[0] eek[0] out[0] the[0] truth[1] of[0] what[0] really[0] occurred[0] that[0] fateful[0] morning[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
throughout , we get to meet the parents of the dead , broken souls who follow stephens like " the pied piper " ( passages of which are read during the film ) . 	throughout , we get to meet the parents of the dead , broken souls who follow stephens like " the pied piper " ( passages of which are read during the film ) .	2	-3	 throughout[0] we[0] get[0] to[0] meet[0] the[0] parents[0] of[0] the[0] dead[-2] broken[-1] souls[0] who[0] follow[0] stephens[0] like[1] the[0] pied[0] piper[0] passages[0] of[0] which[0] are[0] read[0] during[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but there is one living passenger , the paralyzed nicole ( polley ) , whose dark secrets of a life before the accident may affect her decision to testify . 	but there is one living passenger , the paralyzed nicole ( polley ) , whose dark secrets of a life before the accident may affect her decision to testify .	1	-2	 but[0] there[0] is[0] one[0] living[0] passenger[0] the[0] paralyzed[-1] nicole[0] polley[0] whose[0] dark[0] secrets[0] of[0] a[0] life[0] before[0] the[0] accident[-1] may[0] affect[0] her[0] decision[0] to[0] testify[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we finally do see the accident , about three quarters into the film , which is a stunning visual effect . 	we finally do see the accident , about three quarters into the film , which is a stunning visual effect .	1	-2	 we[0] finally[0] do[0] see[0] the[0] accident[-1] about[0] three[0] quarters[0] into[0] the[0] film[0] which[0] is[0] a[0] stunning[0] visual[0] effect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a horrific long take that shows the bus sliding , then stopping , then collapsing into a frozen lake , is the best digital trickery in any movie this year and , perhaps , ever , in a motion picture . 	a horrific long take that shows the bus sliding , then stopping , then collapsing into a frozen lake , is the best digital trickery in any movie this year and , perhaps , ever , in a motion picture .	2	-4	 a[0] horrific[-3] long[0] take[0] that[0] shows[0] the[0] bus[0] sliding[0] then[0] stopping[0] then[0] collapsing[0] into[0] a[0] frozen[0] lake[0] is[0] the[0] best[1] digital[0] trickery[-1] in[0] any[0] movie[0] this[0] year[0] and[0] perhaps[0] ever[0] in[0] a[0] motion[0] picture[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the fractured narrative also intercuts a preoccupied stephens on an airplane , traveling to meet his hiv-positive runaway daughter , as well as glimpses of the artificially happy lives these people led pre-accident . 	the fractured narrative also intercuts a preoccupied stephens on an airplane , traveling to meet his hiv-positive runaway daughter , as well as glimpses of the artificially happy lives these people led pre-accident .	3	-2	 the[0] fractured[-1] narrative[0] also[0] intercuts[0] a[0] preoccupied[0] stephens[0] on[0] an[0] airplane[0] traveling[0] to[0] meet[0] his[0] hiv[0] positive[2] runaway[-1] daughter[0] as[0] well[0] as[0] glimpses[0] of[0] the[0] artificially[0] happy[1] lives[0] these[0] people[0] led[0] pre[0] accident[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i have a problem not with the story or story structure , but with egoyan's heavy- handedness behind the camera . 	i have a problem not with the story or story structure , but with egoyan's heavy- handedness behind the camera .	1	-2	 i[0] have[0] a[0] problem[-1] not[0] with[0] the[0] story[0] or[0] story[0] structure[0] but[0] with[0] egoyan's[0] heavy[0] handedness[0] behind[0] the[0] camera[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for the first hour or so , i can quite honestly say i was on the verge of tears ; these are miserable , miserable people . 	for the first hour or so , i can quite honestly say i was on the verge of tears ; these are miserable , miserable people .	1	-4	 for[0] the[0] first[0] hour[0] or[0] so[0] i[0] can[0] quite[0] honestly[0] say[0] i[0] was[0] on[0] the[0] verge[0] of[0] tears[-3] these[0] are[0] miserable[-2] miserable[-2][-1 MultiplePositiveWords] people[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but that's just the problem : so anguished are these folk that sympathy wanes after a while , when a lot of sadness becomes too much . 	but that's just the problem : so anguished are these folk that sympathy wanes after a while , when a lot of sadness becomes too much .	1	-4	 but[0] that's[0] just[0] the[0] problem[-1] so[0] anguished[-3] are[0] these[0] folk[0] that[0] sympathy[0] wanes[0] after[0] a[0] while[0] when[0] a[0] lot[0] of[0] sadness[-3] becomes[0] too[0] much[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
also , a subplot involving incest rings untrue . 	also , a subplot involving incest rings untrue .	1	-2	 also[0] a[0] subplot[0] involving[0] incest[0] rings[0] untrue[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps it wouldn't feel so contrived if it weren't shot in such a tasteful manner . 	perhaps it wouldn't feel so contrived if it weren't shot in such a tasteful manner .	1	-2	 perhaps[0] it[0] wouldn't[0] feel[0] so[0] contrived[0] if[0] it[0] weren't[0] shot[-1] in[0] such[0] a[0] tasteful[0] manner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are two characters who are father and daughter ; when they first appeared i thought they were lovers . 	there are two characters who are father and daughter ; when they first appeared i thought they were lovers .	4	-1	 there[0] are[0] two[0] characters[0] who[0] are[0] father[0] and[0] daughter[0] when[0] they[0] first[0] appeared[0] i[0] thought[0] they[0] were[0] lovers[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i was half-right . 	i was half-right .	1	-1	 i[0] was[0] half[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nevertheless it's worth-seeing . 	nevertheless it's worth-seeing .	1	-1	 nevertheless[0] it's[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the delightful critic geoff pevere recently wrote that " american films are about action , canadian films are about consequences , " hence a recent wave of films about the effects of shock and death from toronto directors , including crash and kissed . 	the delightful critic geoff pevere recently wrote that " american films are about action , canadian films are about consequences , " hence a recent wave of films about the effects of shock and death from toronto directors , including crash and kissed .	3	-3	 the[0] delightful[2] critic[-1] geoff[0] pevere[0] recently[0] wrote[0] that[0] american[0] films[0] are[0] about[0] action[0] canadian[0] films[0] are[0] about[0] consequences[0] hence[0] a[0] recent[0] wave[0] of[0] films[0] about[0] the[0] effects[0] of[0] shock[-2] and[0] death[-2] from[0] toronto[0] directors[0] including[0] crash[0] and[0] kissed[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
