capsule : a rock and roll fable , indeed . 	Translation	Positive	Negative	EmotionRationale
like a hubert selby , jr . novel filtered through equal parts damon runyan and bruce springsteen , and a ton of fun . 	like a hubert selby , jr .<br> novel filtered through equal parts damon runyan and bruce springsteen , and a ton of fun .	2	-1	 like[1] a[0] hubert[0] selby[0] jr[0] [[Sentence=-1,2=word max, 1-5]] novel[0] filtered[0] through[0] equal[0] parts[0] damon[0] runyan[0] and[0] bruce[0] springsteen[0] and[0] a[0] ton[0] of[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
streets of fire bills itself as " a rock and roll fable " , and the description is perfect . 	streets of fire bills itself as " a rock and roll fable " , and the description is perfect .	2	-1	 streets[0] of[0] fire[0] bills[0] itself[0] as[0] a[0] rock[1] and[0] roll[0] fable[0] and[0] the[0] description[0] is[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a stylish , great-looking , and breezily enjoyable movie that feels like a hubert selby , jr . , novel with a damon runyan rewrite , irected by bruce springsteen . 	this is a stylish , great-looking , and breezily enjoyable movie that feels like a hubert selby , jr .<br> , novel with a damon runyan rewrite , irected by bruce springsteen .	3	-1	 this[0] is[0] a[0] stylish[0] great[2] looking[0] and[0] breezily[0] enjoyable[2] movie[0] that[0] feels[0] like[1] a[0] hubert[0] selby[0] jr[0] [[Sentence=-1,3=word max, 1-5]] novel[0] with[0] a[0] damon[0] runyan[0] rewrite[0] irected[0] by[0] bruce[0] springsteen[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
noir is one of the few truly american movie genres , aside from the hollywood musical and the western . 	noir is one of the few truly american movie genres , aside from the hollywood musical and the western .	2	-1	 noir[0] is[0] one[0] of[0] the[0] few[0] truly[1] american[0] movie[0] genres[0] aside[0] from[0] the[0] hollywood[0] musical[0] and[0] the[0] western[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is post-wwii brooklyn noir , for lack of a better label , with a generous injection of rock 'n roll and an all-around confrontational attitude . 	this is post-wwi brooklyn noir , for lack of a better label , with a generous injection of rock 'n roll and an all-around confrontational attitude .	2	-3	 this[0] is[0] post[0] wwii/wwi[0] brooklyn[0] noir[0] for[0] lack[-1] of[0] a[0] better[0] label[0] with[0] a[0] generous[1] injection[0] of[0] rock[1] 'n[0] roll[0] and[0] an[0] all[0] around[0] confrontational[-2] attitude[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it all works . 	it all works .	1	-1	 it[0] all[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is simplicity itself : rocker ellen aim ( diane lane ) is kidnapped by a vicious street gang , led by a bloodthirsty fellow named raven ( willem dafoe , very nasty ) . 	the plot is simplicity itself : rocker ellen aim ( diane lane ) is kidnapped by a vicious street gang , led by a bloodthirsty fellow named raven ( willem dafoe , very nasty ) .	1	-4	 the[0] plot[0] is[0] simplicity[0] itself[0] rocker[0] ellen[0] aim[0] diane[0] lane[0] is[0] kidnapped[0] by[0] a[0] vicious[-3] street[0] gang[0] led[0] by[0] a[0] bloodthirsty[-1] fellow[0] named[0] raven[0] willem[0] dafoe[0] very[0] nasty[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
her old soldier flame ( played by michael pare ) comes back into town to save her , but doesn't count on a whole bunch of things going askew . 	her old soldier flame ( played by michael pare ) comes back into town to save her , but doesn't count on a whole bunch of things going askew .	2	-3	 her[0] old[0] soldier[0] flame[-2] played[0] by[0] michael[0] pare[0] comes[0] back[0] into[0] town[0] to[0] save[1] her[0] but[0] doesn't[0] count[0] on[0] a[0] whole[0] bunch[0] of[0] things[0] going[0] askew[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's about the entire plot , save for the spats with ellen's manager ( a hilarious rick moranis ) , an encounter with a doo-wop group that winds up becoming ellen's supporting act , and a whole gang of other fun little touches . 	that's about the entire plot , save for the spats with ellen's manager ( a hilarious rick moranis ) , an encounter with a do-wop group that winds up becoming ellen's supporting act , and a whole gang of other fun little touches .	3	-1	 that's[0] about[0] the[0] entire[0] plot[0] save[1] for[0] the[0] spats[0] with[0] ellen's[0] manager[0] a[0] hilarious[2] rick[0] moranis[0] an[0] encounter[0] with[0] a[0] doo/do[0] wop[0] group[0] that[0] winds[0] up[0] becoming[0] ellen's[0] supporting[1] act[0] and[0] a[0] whole[0] gang[0] of[0] other[0] fun[1] little[0] touches[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but in movies like this , when is the plot important ? 	but in movies like this , when is the plot important ?	2	-1	 but[0] in[0] movies[0] like[1] this[0] when[0] is[0] the[0] plot[0] important[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
