the story of us , a rob reiner film , is the second movie this fall that touches the viewer in a way they are rarely touched by a film , as they can see their everyday lives in the usually once in a year films . 	Translation	Positive	Negative	EmotionRationale
well , 1999 has two of them , the other being the instant classic about a very dysfunctional family , american beauty . 	well , 199 has two of them , the other being the instant classic about a very dysfunctional family , american beauty .	3	-1	 well[0] 1999/199[0] has[0] two[0] of[0] them[0] the[0] other[0] being[0] the[0] instant[0] classic[0] about[0] a[0] very[0] dysfunctional[0] family[0] american[0] beauty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story of us , a film about the highs and lows of marriage and family , is a well written , heartbreaking and insightful film that made the majority of the audience , including myself , cry . 	the story of us , a film about the highs and lows of marriage and family , is a well written , heartbreaking and insightful film that made the majority of the audience , including myself , cry .	1	-4	 the[0] story[0] of[0] us[0] a[0] film[0] about[0] the[0] highs[0] and[0] lows[-1] of[0] marriage[0] and[0] family[0] is[0] a[0] well[0] written[0] heartbreaking[-3] and[0] insightful[0] film[0] that[0] made[0] the[0] majority[0] of[0] the[0] audience[0] including[0] myself[0] cry[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story of us tells the story of ben ( bruce willis ) and katie ( michelle pfeiffer ) jordan , and asks the question , " can a marriage survive 15 years of marriage ? " 	the story of us tells the story of ben ( bruce willis ) and katie ( michelle pfeiffer ) jordan , and asks the question , " can a marriage survive 15 years of marriage ?<br> "	1	-1	 the[0] story[0] of[0] us[0] tells[0] the[0] story[0] of[0] ben[0] bruce[0] willis[0] and[0] katie[0] michelle[0] pfeiffer[0] jordan[0] and[0] asks[0] the[0] question[0] can[0] a[0] marriage[0] survive[0] 15[0] years[0] of[0] marriage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is about two individuals who have come together , spent a good chunk of their lives together , and shows when our main characters are " him " and " her " ( during the bad times ) , and when they are " us " ( during the good times ) . 	the film is about two individuals who have come together , spent a good chunk of their lives together , and shows when our main characters are " him " and " her " ( during the bad times ) , and when they are " us " ( during the good times ) .	2	-2	 the[0] film[0] is[0] about[0] two[0] individuals[0] who[0] have[0] come[0] together[0] spent[0] a[0] good[1] chunk[0] of[0] their[0] lives[0] together[0] and[0] shows[0] when[0] our[0] main[0] characters[0] are[0] him[0] and[0] her[0] during[0] the[0] bad[-1] times[0] and[0] when[0] they[0] are[0] us[0] during[0] the[0] good[1] times[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story of us is about their entire 15 years of marriage that is collapsing day by day . 	the story of us is about their entire 15 years of marriage that is collapsing day by day .	1	-1	 the[0] story[0] of[0] us[0] is[0] about[0] their[0] entire[0] 15[0] years[0] of[0] marriage[0] that[0] is[0] collapsing[0] day[0] by[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ben and katie now only see and live with each other because they don't want to devastate their children with the fact that their parents no longer , or at least say they don't , love each other anymore . 	ben and katie now only see and live with each other because they don't want to devastate their children with the fact that their parents no longer , or at least say they don't , love each other anymore .	1	-3	 ben[0] and[0] katie[0] now[0] only[0] see[0] and[0] live[0] with[0] each[0] other[0] because[0] they[0] don't[0] want[0] to[0] devastate[-2] their[0] children[0] with[0] the[0] fact[0] that[0] their[0] parents[0] no[0] longer[0] or[0] at[0] least[0] say[0] they[0] don't[0] love[2][NegatedDueToPreviousWord] each[0] other[0] anymore[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ben , a cartoonist , and katie , a crossword puzzle writer , have grown apart during their fifteen years of marriage , as they have grown to follow different views on life , family , and marriage . 	ben , a cartoonist , and katie , a crossword puzle writer , have grown apart during their fifteen years of marriage , as they have grown to follow different views on life , family , and marriage .	1	-1	 ben[0] a[0] cartoonist[0] and[0] katie[0] a[0] crossword[0] puzzle/puzle[0] writer[0] have[0] grown[0] apart[0] during[0] their[0] fifteen[0] years[0] of[0] marriage[0] as[0] they[0] have[0] grown[0] to[0] follow[0] different[0] views[0] on[0] life[0] family[0] and[0] marriage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
katie is the more organized , sophisticated type , who wants to plan everything out , while ben is a spontaneous , adventurous individual who doesn't mind doing things differently than they were planned . 	katie is the more organized , sophisticated type , who wants to plan everything out , while ben is a spontaneous , adventurous individual who doesn't mind doing things differently than they were planned .	1	-1	 katie[0] is[0] the[0] more[0] organized[0] sophisticated[0] type[0] who[0] wants[0] to[0] plan[0] everything[0] out[0] while[0] ben[0] is[0] a[0] spontaneous[0] adventurous[0] individual[0] who[0] doesn't[0] mind[0] doing[0] things[0] differently[0] than[0] they[0] were[0] planned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story of us plays out nicely , as the film opens with ben sharing his story with a therapist , told to the viewer through flashbacks . 	the story of us plays out nicely , as the film opens with ben sharing his story with a therapist , told to the viewer through flashbacks .	2	-1	 the[0] story[0] of[0] us[0] plays[1] out[0] nicely[1] as[0] the[0] film[0] opens[0] with[0] ben[0] sharing[0] his[0] story[0] with[0] a[0] therapist[0] told[0] to[0] the[0] viewer[0] through[0] flashbacks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the film progresses , it switches between ben and katie talking to their therapist , with their stories being told with flashbacks of their marriage . 	as the film progresses , it switches between ben and katie talking to their therapist , with their stories being told with flashbacks of their marriage .	1	-1	 as[0] the[0] film[0] progresses[0] it[0] switches[0] between[0] ben[0] and[0] katie[0] talking[0] to[0] their[0] therapist[0] with[0] their[0] stories[0] being[0] told[0] with[0] flashbacks[0] of[0] their[0] marriage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this method is highly effective , as we see the characters changing from year to year , slowly growing apart . 	this method is highly effective , as we see the characters changing from year to year , slowly growing apart .	1	-1	 this[0] method[0] is[0] highly[0] effective[0] as[0] we[0] see[0] the[0] characters[0] changing[0] from[0] year[0] to[0] year[0] slowly[0] growing[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
through the flashbacks , we get to see the story of them through both of the character's eyes , and this gives us a strong sense of what their characters are really like , as the story of us has three dimensional , believable main characters . 	through the flashbacks , we get to see the story of them through both of the character's eyes , and this gives us a strong sense of what their characters are really like , as the story of us has three dimensional , believable main characters .	3	-1	 through[0] the[0] flashbacks[0] we[0] get[0] to[0] see[0] the[0] story[0] of[0] them[0] through[0] both[0] of[0] the[0] character's[0] eyes[0] and[0] this[0] gives[0] us[0] a[0] strong[0] sense[0] of[0] what[0] their[0] characters[0] are[0] really[0] like[1][1 LastWordBoosterStrength] as[0] the[0] story[0] of[0] us[0] has[0] three[0] dimensional[0] believable[0] main[0] characters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
