it has been 20 years since a terrence malick film hit theaters . 	Translation	Positive	Negative	EmotionRationale
his new film , the thin red line , is a strange , beautiful , enigmatic mess of a movie . 	his new film , the thin red line , is a strange , beautiful , enigmatic mess of a movie .	3	-1	 his[0] new[0] film[0] the[0] thin[0] red[0] line[0] is[0] a[0] strange[0] beautiful[2] enigmatic[0] mess[0] of[0] a[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the first thing that jumps out to one when they see the advertisements for this film is the huge cast . 	the first thing that jumps out to one when they see the advertisements for this film is the huge cast .	1	-1	 the[0] first[0] thing[0] that[0] jumps[0] out[0] to[0] one[0] when[0] they[0] see[0] the[0] advertisements[0] for[0] this[0] film[0] is[0] the[0] huge[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is filled with above-the-title stars . 	it is filled with above-the-title stars .	1	-1	 it[0] is[0] filled[0] with[0] above[0] the[0] title[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast , for the most part , gives great performances . 	the cast , for the most part , gives great performances .	3	-1	 the[0] cast[0] for[0] the[0] most[0] part[0] gives[0] great[2] performances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
john travolta , whose role is nothing more than a cameo , seems not to have attacked his performance with that much verve . 	john travolta , whose role is nothing more than a cameo , seems not to have attacked his performance with that much verve .	1	-3	 john[0] travolta[0] whose[0] role[0] is[0] nothing[0] more[0] than[0] a[0] cameo[0] seems[0] not[0] to[0] have[0] attacked[-2] his[0] performance[0] with[0] that[0] much[0] verve[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
george clooney , whose role became a cameo in editing , gives a strange performance . 	george clooney , whose role became a cameo in editing , gives a strange performance .	1	-1	 george[0] clooney[0] whose[0] role[0] became[0] a[0] cameo[0] in[0] editing[0] gives[0] a[0] strange[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one wonders if he knew that his performance would become the object of ridicule through a character's narration . 	one wonders if he knew that his performance would become the object of ridicule through a character's narration .	1	-3	 one[0] wonders[0] if[0] he[0] knew[0] that[0] his[0] performance[0] would[0] become[0] the[0] object[0] of[0] ridicule[-2] through[0] a[0] character's[0] narration[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the rest of the cast , especially nick nolte and elias koteas , are unambiguously fantastic . 	the rest of the cast , especially nick nolte and elias koteas , are unambiguously fantastic .	3	-1	 the[0] rest[0] of[0] the[0] cast[0] especially[0] nick[0] nolte[0] and[0] elias[0] koteas[0] are[0] unambiguously[0] fantastic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
these actors ( and they are , with two exceptions , men ) were lured by the name of malick . 	these actors ( and they are , with two exceptions , men ) were lured by the name of malick .	1	-1	 these[0] actors[0] and[0] they[0] are[0] with[0] two[0] exceptions[0] men[0] were[0] lured[0] by[0] the[0] name[0] of[0] malick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
terrence malick is a cinematic legend . 	terrence malick is a cinematic legend .	1	-1	 terrence[0] malick[0] is[0] a[0] cinematic[0] legend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
