plot : a human space astronaut accidentally falls upon a planet ruled by apes . 	Translation	Positive	Negative	EmotionRationale
he is taken prisoner along with some other humans , and tries his best to escape his simian captors . 	he is taken prisoner along with some other humans , and tries his best to escape his simian captors .	2	-2	 he[0] is[0] taken[0] prisoner[-1] along[0] with[0] some[0] other[0] humans[0] and[0] tries[0] his[0] best[1] to[0] escape[0] his[0] simian[0] captors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh yeah , and did i mention that the apes can talk ? 	oh yeah , and did i mention that the apes can talk ?	1	-1	 oh[0] yeah[0] and[0] did[0] i[0] mention[0] that[0] the[0] apes[0] can[0] talk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kewl ! 	kewl !	1	-1	 kewl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : despite this film not looking like a " tim burton movie " or its lead human character showing any signs of being a human being himself , i did find myself generally entertained throughout most of this film and do recommend it as fun , summer fare . 	critique : despite this film not looking like a " tim burton movie " or its lead human character showing any signs of being a human being himself , i did find myself generally entertained throughout most of this film and do recommend it as fun , summer fare .	2	-2	 critique[0] despite[0] this[0] film[0] not[0] looking[0] like[1][NegatedDueToPreviousWord] a[0] tim[0] burton[0] movie[0] or[0] its[0] lead[0] human[0] character[0] showing[0] any[0] signs[0] of[0] being[0] a[0] human[0] being[0] himself[0] i[0] did[0] find[0] myself[0] generally[0] entertained[0] throughout[0] most[0] of[0] this[0] film[0] and[0] do[0] recommend[0] it[0] as[0] fun[1] summer[0] fare[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although the thing that sets this movie apart from all others is definitely its incredible ape make-up jobs and characterizations . 	although the thing that sets this movie apart from all others is definitely its incredible ape make-up jobs and characterizations .	1	-1	 although[0] the[0] thing[0] that[0] sets[0] this[0] movie[0] apart[0] from[0] all[0] others[0] is[0] definitely[0] its[0] incredible[0] ape[0] make[0] up[0] jobs[0] and[0] characterizations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , i was completely convinced that every single one of these apes was for real ! 	i mean , i was completely convinced that every single one of these apes was for real !	1	-1	 i[0] mean[0] i[0] was[0] completely[0] convinced[0] that[0] every[0] single[0] one[0] of[0] these[0] apes[0] was[0] for[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i also have to " give it up " to all of the actors inside the costumes , not only for waking up at three in the morning every day to get make-up slobbered all over them for 2-4 hours , but for coming through their costumed exteriors and selling us their characters on the screen as well . 	i also have to " give it up " to all of the actors inside the costumes , not only for waking up at three in the morning every day to get make-up slobbered all over them for 2-4 hours , but for coming through their costumed exteriors and selling us their characters on the screen as well .	1	-1	 i[0] also[0] have[0] to[0] give[0] it[0] up[0] to[0] all[0] of[0] the[0] actors[0] inside[0] the[0] costumes[0] not[0] only[0] for[0] waking[0] up[0] at[0] three[0] in[0] the[0] morning[0] every[0] day[0] to[0] get[0] make[0] up[0] slobbered[0] all[0] over[0] them[0] for[0] 2[0] -4[0] hours[0] but[0] for[0] coming[0] through[0] their[0] costumed[0] exteriors[0] and[0] selling[0] us[0] their[0] characters[0] on[0] the[0] screen[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i especially enjoyed bonham carter's performance , who i believed to be the most developed character in the entire film ( human or ape ) and tim roth's bad guy , who chewed up scenery and oozed evil in every scene in which he took part . 	i especially enjoyed bonham carter's performance , who i believed to be the most developed character in the entire film ( human or ape ) and tim roth's bad guy , who chewed up scenery and oozed evil in every scene in which he took part .	4	-3	 i[0] especially[0] enjoyed[2][1 LastWordBoosterStrength] bonham[0] carter's[0] performance[0] who[0] i[0] believed[0] to[0] be[0] the[0] most[0] developed[0] character[0] in[0] the[0] entire[0] film[0] human[0] or[0] ape[0] and[0] tim[0] roth's[0] bad[-1] guy[0] who[0] chewed[0] up[0] scenery[0] and[0] oozed[0] evil[-2] in[0] every[0] scene[0] in[0] which[0] he[0] took[0] part[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
plot-wise , i liked the beginning of the film , the whole build-up once wahlberg got into the village , the escape and most of the fight scenes , but once things got out into the deserted area ( and the final battle sequence ) , i kinda lost a bit of my interest . 	plot-wise , i liked the beginning of the film , the whole build-up once wahlberg got into the village , the escape and most of the fight scenes , but once things got out into the deserted area ( and the final battle sequence ) , i kinda lost a bit of my interest .	3	-3	 plot[0] wise[0] i[0] liked[2] the[0] beginning[0] of[0] the[0] film[0] the[0] whole[0] build[0] up[0] once[0] wahlberg[0] got[0] into[0] the[0] village[0] the[0] escape[0] and[0] most[0] of[0] the[0] fight[-2] scenes[0] but[0] once[0] things[0] got[0] out[0] into[0] the[0] deserted[0] area[0] and[0] the[0] final[0] battle[-1] sequence[0] i[0] kinda[0] lost[0] a[0] bit[0] of[0] my[0] interest[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i was much more intrigued by the interactions between the characters and the whole idea of " human beings as animals " then i was about the end battle sequence , which just seemed a bit too typical for this kind of film . 	i was much more intrigued by the interactions between the characters and the whole idea of " human beings as animals " then i was about the end battle sequence , which just seemed a bit too typical for this kind of film .	2	-2	 i[0] was[0] much[0] more[0] intrigued[0] by[0] the[0] interactions[0] between[0] the[0] characters[0] and[0] the[0] whole[0] idea[0] of[0] human[0] beings[0] as[0] animals[0] then[0] i[0] was[0] about[0] the[0] end[0] battle[-1] sequence[0] which[0] just[0] seemed[0] a[0] bit[0] too[0] typical[0] for[0] this[0] kind[1] of[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
