the sheer horrific audacity of the nazi plan to exterminate the jews of europe is almost incomprehensible . 	Translation	Positive	Negative	EmotionRationale
people may make documentaries about it for another hundred years and still not understand the organized , methodical hatred . 	people may make documentaries about it for another hundred years and still not understand the organized , methodical hatred .	1	-4	 people[0] may[0] make[0] documentaries[0] about[0] it[0] for[0] another[0] hundred[0] years[0] and[0] still[0] not[0] understand[0] the[0] organized[0] methodical[0] hatred[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
five concentration camp survivors from the last days of world war ii tell their stories in the last days , the first documentary from steven spielberg's survivors of the shoah visual history foundation . 	five concentration camp survivors from the last days of world war i tell their stories in the last days , the first documentary from steven spielberg's survivors of the shoah visual history foundation .	1	-3	 five[0] concentration[0] camp[0] survivors[0] from[0] the[0] last[0] days[0] of[0] world[0] war[-2] ii/i[0] tell[0] their[0] stories[0] in[0] the[0] last[0] days[0] the[0] first[0] documentary[0] from[0] steven[0] spielberg's[0] survivors[0] of[0] the[0] shoah[0] visual[0] history[0] foundation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the five interviewees are linked by their hungarian ancestry . 	the five interviewees are linked by their hungarian ancestry .	1	-1	 the[0] five[0] interviewees[0] are[0] linked[0] by[0] their[0] hungarian[0] ancestry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the introduction explains , even as germany started to lose the war , the nazis stepped up their extermination of the jews in europe . 	as the introduction explains , even as germany started to lose the war , the nazis stepped up their extermination of the jews in europe .	1	-3	 as[0] the[0] introduction[0] explains[0] even[0] as[0] germany[-1] started[0] to[0] lose[-1] the[0] war[-2] the[0] nazis[-1] stepped[0] up[0] their[0] extermination[-1] of[0] the[0] jews[0] in[0] europe[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in 1944 , hungary had the last big population of jews within germany's reach , and they became the last target of hitler's " final solution . " 	in 1944 , hungary had the last big population of jews within germany's reach , and they became the last target of hitler's " final solution .<br> "	1	-2	 in[0] 1944[0] hungary[0] had[0] the[0] last[0] big[0] population[0] of[0] jews[0] within[0] germany's[-1] reach[0] and[0] they[0] became[0] the[0] last[0] target[0] of[0] hitler's[0] final[0] solution[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
each of the five tells his or her story . 	each of the five tells his or her story .	1	-1	 each[0] of[0] the[0] five[0] tells[0] his[0] or[0] her[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their stories are intercut chronologically , starting from normal life in pre-war hungary . 	their stories are intercut chronologically , starting from normal life in pre-war hungary .	1	-3	 their[0] stories[0] are[0] intercut[0] chronologically[0] starting[0] from[0] normal[0] life[0] in[0] pre[0] war[-2] hungary[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they recall the nazi invasion of hungary , being sent to " work " camps and their realization that they were actually in death camps . 	they recall the nazi invasion of hungary , being sent to " work " camps and their realization that they were actually in death camps .	1	-3	 they[0] recall[0] the[0] nazi[-1] invasion[0] of[0] hungary[0] being[0] sent[0] to[0] work[0] camps[0] and[0] their[0] realization[0] that[0] they[0] were[0] actually[0] in[0] death[-2] camps[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they recall their horrible , precarious lives in auschwitz and buchenwald ; the deaths of their family and friends ; their loss of hope . 	they recall their horrible , precarious lives in auschwitz and buchenwald ; the deaths of their family and friends ; their loss of hope .	3	-4	 they[0] recall[0] their[0] horrible[-3] precarious[-1] lives[0] in[0] auschwitz[0] and[0] buchenwald[0] the[0] deaths[-2] of[0] their[0] family[0] and[0] friends[1] their[0] loss[-2] of[0] hope[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
each recalls his or her unfathomable , eventual liberation . 	each recalls his or her unfathomable , eventual liberation .	1	-1	 each[0] recalls[0] his[0] or[0] her[0] unfathomable[0] eventual[0] liberation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and finally , the last days shows their cathartic , pained , modern-day return to their old homes and the camps . 	and finally , the last days shows their cathartic , pained , modern-day return to their old homes and the camps .	1	-2	 and[0] finally[0] the[0] last[0] days[0] shows[0] their[0] cathartic[0] pained[-1] modern[0] day[0] return[0] to[0] their[0] old[0] homes[0] and[0] the[0] camps[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
needless to say , their stories are horrifying , amazing , and emotionally draining . 	needless to say , their stories are horrifying , amazing , and emotionally draining .	3	-4	 needless[0] to[0] say[0] their[0] stories[0] are[0] horrifying[-3] amazing[2] and[0] emotionally[0] draining[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
by themselves , the stories would be forceful testaments , but by cutting them in parallel , their impact is multiplied by five . 	by themselves , the stories would be forceful testaments , but by cutting them in parallel , their impact is multiplied by five .	1	-1	 by[0] themselves[0] the[0] stories[0] would[0] be[0] forceful[0] testaments[0] but[0] by[0] cutting[0] them[0] in[0] parallel[0] their[0] impact[0] is[0] multiplied[0] by[0] five[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last days is a talking-heads style documentary -- it's mostly pictures of people telling their stories , intercut with period photographs and newsreel footage . 	the last days is a talking-heads style documentary - it's mostly pictures of people telling their stories , intercut with period photographs and newsreel footage .	1	-1	 the[0] last[0] days[0] is[0] a[0] talking[0] heads[0] style[0] documentary[0] it's[0] mostly[0] pictures[0] of[0] people[0] telling[0] their[0] stories[0] intercut[0] with[0] period[0] photographs[0] and[0] newsreel[0] footage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this kind of movie it's almost impossible to get archival pictures from the same time and place being discussed on-screen , but director james moll made a better effort than most at finding specific , or at least relevant , images to go with his subjects' narration . 	in this kind of movie it's almost impossible to get archival pictures from the same time and place being discussed on-screen , but director james moll made a better effort than most at finding specific , or at least relevant , images to go with his subjects' narration .	2	-1	 in[0] this[0] kind[1] of[0] movie[0] it's[0] almost[0] impossible[0] to[0] get[0] archival[0] pictures[0] from[0] the[0] same[0] time[0] and[0] place[0] being[0] discussed[0] on[0] screen[0] but[0] director[0] james[0] moll[0] made[0] a[0] better[0] effort[0] than[0] most[0] at[0] finding[0] specific[0] or[0] at[0] least[0] relevant[0] images[0] to[0] go[0] with[0] his[0] subjects'[0] narration[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the liner notes ( one of the many nice features of this dvd ) indicate that there is some never-before-seen historical footage in the last days . 	the liner notes ( one of the many nice features of this dvd ) indicate that there is some never-before-seen historical footage in the last days .	2	-1	 the[0] liner[0] notes[0] one[0] of[0] the[0] many[0] nice[1] features[0] of[0] this[0] dvd[0] indicate[0] that[0] there[0] is[0] some[0] never[0] before[0] seen[0] historical[0] footage[0] in[0] the[0] last[0] days[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not clear which scene it is . 	it's not clear which scene it is .	1	-1	 it's[0] not[0] clear[0] which[0] scene[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it could be one of two that i hadn't seen before , both powerful . 	it could be one of two that i hadn't seen before , both powerful .	1	-1	 it[0] could[0] be[0] one[0] of[0] two[0] that[0] i[0] hadn't[0] seen[0] before[0] both[0] powerful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one is rare color footage , shot by an american , of piles of victims in cattle cars . 	one is rare color footage , shot by an american , of piles of victims in cattle cars .	1	-3	 one[0] is[0] rare[0] color[0] footage[0] shot[-1] by[0] an[0] american[0] of[0] piles[0] of[0] victims[-2] in[0] cattle[0] cars[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is something jarring , something unsettling about seeing the pictures in color , when so much of the footage from world war ii is in black and white . 	there is something jarring , something unsettling about seeing the pictures in color , when so much of the footage from world war i is in black and white .	1	-3	 there[0] is[0] something[0] jarring[0] something[0] unsettling[-1] about[0] seeing[0] the[0] pictures[0] in[0] color[0] when[0] so[0] much[0] of[0] the[0] footage[0] from[0] world[0] war[-2] ii/i[0] is[0] in[0] black[0] and[0] white[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another segment shows walking skeletons ; survivors who are so starved that they hardly look human anymore . 	another segment shows walking skeletons ; survivors who are so starved that they hardly look human anymore .	1	-2	 another[0] segment[0] shows[0] walking[0] skeletons[0] survivors[0] who[0] are[0] so[0] starved[-1] that[0] they[0] hardly[0] look[0] human[0] anymore[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there has been a glut of holocaust movies and i was skeptical that a new documentary would have anything new to say . 	there has been a glut of holocaust movies and i was skeptical that a new documentary would have anything new to say .	1	-2	 there[0] has[0] been[0] a[0] glut[0] of[0] holocaust[0] movies[0] and[0] i[0] was[0] skeptical[-1] that[0] a[0] new[0] documentary[0] would[0] have[0] anything[0] new[0] to[0] say[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but by focusing on hungarian jews during the last days of the war , moll told a specific part of the story in a new way , in greater detail . 	but by focusing on hungarian jews during the last days of the war , moll told a specific part of the story in a new way , in greater detail .	3	-3	 but[0] by[0] focusing[0] on[0] hungarian[0] jews[0] during[0] the[0] last[0] days[0] of[0] the[0] war[-2] moll[0] told[0] a[0] specific[0] part[0] of[0] the[0] story[0] in[0] a[0] new[0] way[0] in[0] greater[2] detail[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and i'm glad he did because his careful filmmaking stands up well compared to other movies on the same subject . 	and i'm glad he did because his careful filmmaking stands up well compared to other movies on the same subject .	2	-1	 and[0] i'm[0] glad[1] he[0] did[0] because[0] his[0] careful[0] filmmaking[0] stands[0] up[0] well[0] compared[0] to[0] other[0] movies[0] on[0] the[0] same[0] subject[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the transfer to dvd is rich and beautiful . 	the transfer to dvd is rich and beautiful .	3	-1	 the[0] transfer[0] to[0] dvd[0] is[0] rich[0] and[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
x-mozilla-status : 0009f words for a holocaust documentary , but some of the interviews take place in europe in late spring , when skies are blue and trees are green . 	x-mozilla-status : 009f words for a holocaust documentary , but some of the interviews take place in europe in late spring , when skies are blue and trees are green .	2	-1	 x[1] mozilla[0] status[0] 0009f/009f[0] words[0] for[0] a[0] holocaust[0] documentary[0] but[0] some[0] of[0] the[0] interviews[0] take[0] place[0] in[0] europe[0] in[0] late[0] spring[0] when[0] skies[0] are[0] blue[0] and[0] trees[0] are[0] green[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , the movie was shot on 35mm film ( and not video ! ) , 	also , the movie was shot on 35m film ( and not video !<br> ) ,	1	-2	 also[0] the[0] movie[0] was[0] shot[-1] on[0] 35mm/35m[0] film[0] and[0] not[0] video[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so the richness and detail are impeccable . 	so the richness and detail are impeccable .	2	-1	 so[0] the[0] richness[1] and[0] detail[0] are[0] impeccable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dvd's features are plentiful and well-chosen . 	the dvd's features are plentiful and well-chosen .	1	-1	 the[0] dvd's[0] features[0] are[0] plentiful[0] and[0] well[0] chosen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a theatrical trailer for the movie , which is a great introduction to the subject matter . 	there is a theatrical trailer for the movie , which is a great introduction to the subject matter .	3	-1	 there[0] is[0] a[0] theatrical[0] trailer[0] for[0] the[0] movie[0] which[0] is[0] a[0] great[2] introduction[0] to[0] the[0] subject[0] matter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
