as any sociologist will attest , your childhood and the types of parents that you have will heavily influence your happiness as an adult . 	Translation	Positive	Negative	EmotionRationale
parents that are supportive and environments that are nurturing will yield children who will embrace the values and norms that can allow them to live healthy and productive lives . 	parents that are supportive and environments that are nurturing will yield children who will embrace the values and norms that can allow them to live healthy and productive lives .	2	-1	 parents[0] that[0] are[0] supportive[1] and[0] environments[0] that[0] are[0] nurturing[0] will[0] yield[0] children[0] who[0] will[0] embrace[0] the[0] values[1] and[0] norms[0] that[0] can[0] allow[0] them[0] to[0] live[0] healthy[0] and[0] productive[0] lives[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but if your upbringing is marred with violence , hate and dysfunctionality , then your journey towards a happy adulthood will be saddled with psychological obstacles almost too great to overcome . 	but if your upbringing is marred with violence , hate and dysfunctionality , then your journey towards a happy adulthood will be saddled with psychological obstacles almost too great to overcome .	3	-5	 but[0] if[0] your[0] upbringing[0] is[0] marred[0] with[0] violence[-3] hate[-3][-1 MultiplePositiveWords] and[0] dysfunctionality[0] then[0] your[0] journey[0] towards[0] a[0] happy[1] adulthood[0] will[0] be[0] saddled[0] with[0] psychological[0] obstacles[-1] almost[0] too[0] great[2] to[0] overcome[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
 affliction' explores how a man never truly escapes the grip of an unforgivingly nightmarish childhood . 	 affliction' explores how a man never truly escapes the grip of an unforgivingly nightmarish childhood .	1	-3	 affliction'[-2] explores[0] how[0] a[0] man[0] never[0] truly[1][NegatedDueToPreviousWord] escapes[0] the[0] grip[0] of[0] an[0] unforgivingly[0] nightmarish[0] childhood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the man in question is wade whitehouse ( nick nolte ) . 	the man in question is wade whitehouse ( nick nolte ) .	1	-1	 the[0] man[0] in[0] question[0] is[0] wade[0] whitehouse[0] nick[0] nolte[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here is a man who is like any other citizen on the surface . 	here is a man who is like any other citizen on the surface .	2	-1	 here[0] is[0] a[0] man[0] who[0] is[0] like[1] any[0] other[0] citizen[0] on[0] the[0] surface[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is a productive member of the community and goes about his daily routine much like you and me . 	he is a productive member of the community and goes about his daily routine much like you and me .	2	-1	 he[0] is[0] a[0] productive[0] member[0] of[0] the[0] community[0] and[0] goes[0] about[0] his[0] daily[0] routine[0] much[0] like[1] you[0] and[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but as you scratch beneath the surface , something scary and evil begins to rear its ugly head . 	but as you scratch beneath the surface , something scary and evil begins to rear its ugly head .	1	-4	 but[0] as[0] you[0] scratch[0] beneath[0] the[0] surface[0] something[0] scary[-3] and[0] evil[-2] begins[0] to[0] rear[0] its[0] ugly[-2] head[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we see that he is a mean-tempered person . 	we see that he is a mean-tempered person .	1	-1	 we[0] see[0] that[0] he[0] is[0] a[0] mean[0] tempered[0] person[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has a hard time taking control of his emotions , which usually gets the better of him . 	he has a hard time taking control of his emotions , which usually gets the better of him .	1	-1	 he[0] has[0] a[0] hard[0] time[0] taking[0] control[0] of[0] his[0] emotions[0] which[0] usually[0] gets[0] the[0] better[0] of[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is quick to apologize for his actions and wants to be a gentle person , but something is sparking a tendency towards violence . 	he is quick to apologize for his actions and wants to be a gentle person , but something is sparking a tendency towards violence .	2	-4	 he[0] is[0] quick[0] to[0] apologize[0] for[0] his[0] actions[0] and[0] wants[0] to[0] be[0] a[0] gentle[1] person[0] but[0] something[0] is[0] sparking[0] a[0] tendency[0] towards[0] violence[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he also has tremendous problems with relationships . 	he also has tremendous problems with relationships .	1	-2	 he[0] also[0] has[0] tremendous[0] problems[-1] with[0] relationships[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is divorced and his only connection to love is his daughter . 	he is divorced and his only connection to love is his daughter .	3	-2	 he[0] is[0] divorced[-1] and[0] his[0] only[0] connection[0] to[0] love[2] is[0] his[0] daughter[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but his bearish persona and stature alienates her . 	but his bearish persona and stature alienates her .	1	-2	 but[0] his[0] bearish[0] persona[0] and[0] stature[0] alienates[-1] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is visibly shaken by her rejection even though she says that she loves him . 	he is visibly shaken by her rejection even though she says that she loves him .	3	-2	 he[0] is[0] visibly[0] shaken[-1] by[0] her[0] rejection[-1] even[0] though[0] she[0] says[0] that[0] she[0] loves[2] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his demeanor also puts his relationship with a local townsgirl ( sissy spacek ) at risk . 	his demeanor also puts his relationship with a local townsgirl ( sissy spacek ) at risk .	1	-2	 his[0] demeanor[0] also[0] puts[0] his[0] relationship[0] with[0] a[0] local[0] townsgirl[0] sissy[0] spacek[0] at[0] risk[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she tries to remain true to him and supportive , but for women unlucky enough to attach themselves to this kind of person , relationships will ultimately end like sentences ending with an exclamation point . 	she tries to remain true to him and supportive , but for women unlucky enough to attach themselves to this kind of person , relationships will ultimately end like sentences ending with an exclamation point .	2	-2	 she[0] tries[0] to[0] remain[0] true[1] to[0] him[0] and[0] supportive[1] but[0] for[0] women[0] unlucky[-1] enough[0] to[0] attach[0] themselves[0] to[0] this[0] kind[1] of[0] person[0] relationships[0] will[0] ultimately[0] end[0] like[1] sentences[0] ending[0] with[0] an[0] exclamation[0] point[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
finally , he is spiteful and vindictive . 	finally , he is spiteful and vindictive .	1	-4	 finally[0] he[0] is[0] spiteful[-3] and[0] vindictive[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a rejected father , he initiates a custody battle that seems hopeless . 	as a rejected father , he initiates a custody battle that seems hopeless .	1	-4	 as[0] a[0] rejected[-1] father[0] he[0] initiates[0] a[0] custody[0] battle[-1] that[0] seems[0] hopeless[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as the town's only police officer , he issues a speeding ticket to a man whose father has just died . 	as the town's only police officer , he issues a speeding ticket to a man whose father has just died .	1	-1	 as[0] the[0] town's[0] only[0] police[0] officer[0] he[0] issues[0] a[0] speeding[0] ticket[0] to[0] a[0] man[0] whose[0] father[0] has[0] just[0] died[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can see that this is a man that is both afflicted and living with pain . 	we can see that this is a man that is both afflicted and living with pain .	1	-4	 we[0] can[0] see[0] that[0] this[0] is[0] a[0] man[0] that[0] is[0] both[0] afflicted[-2] and[0] living[0] with[0] pain[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is a prisoner and a slave to it . 	he is a prisoner and a slave to it .	1	-2	 he[0] is[0] a[0] prisoner[-1] and[0] a[0] slave[0] to[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is moving towards a level of madness and insanity that defies comprehension . 	he is moving towards a level of madness and insanity that defies comprehension .	1	-2	 he[0] is[0] moving[0] towards[0] a[0] level[0] of[0] madness[-1] and[0] insanity[0] that[0] defies[0] comprehension[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
