james l . brooks , one of the developers of the simpsons and director of broadcast news , returns to the big screen with this entertaining , if slightly flawed comedy . 	Translation	Positive	Negative	EmotionRationale
nicholson plays melvin udall , probably the most horrible person ever on the screen . 	nicholson plays melvin udall , probably the most horrible person ever on the screen .	2	-4	 nicholson[0] plays[1] melvin[0] udall[0] probably[0] the[0] most[0] horrible[-3] person[0] ever[0] on[0] the[0] screen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he's racist , homophobic , and never has a good word to say to anyone . 	he's racist , homophobic , and never has a good word to say to anyone .	2	-2	 he's[0] racist[-1] homophobic[0] and[0] never[0] has[0] a[0] good[1] word[0] to[0] say[0] to[0] anyone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so , nobody talks to him , except waitress carol conelly ( t . v 	so , nobody talks to him , except waitress carol conelly ( t .<br> v	1	-1	 so[0] nobody[0] talks[0] to[0] him[0] except[0] waitress[0] carol[0] conelly[0] t[0] [[Sentence=-1,1=word max, 1-5]] v[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sitcom star hunt , who was last seen in twister , 1996 ) . 	sitcom star hunt , who was last seen in twister , 1996 ) .	1	-1	 sitcom[0] star[0] hunt[0] who[0] was[0] last[0] seen[0] in[0] twister[0] 1996[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
naturally , udall , conelly and gay neighbor simon bishop ( kinnear ) who nicholson hates , all hit it off in the end . 	naturally , udall , conelly and gay neighbor simon bishop ( kinnear ) who nicholson hates , all hit it off in the end .	1	-4	 naturally[0] udall[0] conelly[0] and[0] gay[-1] neighbor[0] simon[0] bishop[0] kinnear[0] who[0] nicholson[0] hates[-3] all[0] hit[0] it[0] off[0] in[0] the[0] end[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
like good will hunting ( 1997 ) and titanic ( 1997 ) , even though the outcome is completely obvious , as good as it gets is an enjoyable , funny and warm comedy . 	like good will hunting ( 1997 ) and titanic ( 1997 ) , even though the outcome is completely obvious , as good as it gets is an enjoyable , funny and warm comedy .	3	-1	 like[1] good[1] will[0] hunting[0] 1997[0] and[0] titanic[0] 1997[0] even[0] though[0] the[0] outcome[0] is[0] completely[0] obvious[0] as[0] good[1] as[0] it[0] gets[0] is[0] an[0] enjoyable[2] funny[1] and[0] warm[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nicholson is hilarious as melvin , churning out insults with superb relish . 	nicholson is hilarious as melvin , churning out insults with superb relish .	3	-3	 nicholson[0] is[0] hilarious[2] as[0] melvin[0] churning[0] out[0] insults[-2] with[0] superb[0] relish[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
only nicholson could get away with the lines that melvin delivers . 	only nicholson could get away with the lines that melvin delivers .	1	-1	 only[0] nicholson[0] could[0] get[0] away[0] with[0] the[0] lines[0] that[0] melvin[0] delivers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hunt is also good as waitress carol , and easily rises to the challenge of nicholson . 	hunt is also good as waitress carol , and easily rises to the challenge of nicholson .	2	-2	 hunt[0] is[0] also[0] good[1] as[0] waitress[0] carol[0] and[0] easily[0] rises[0] to[0] the[0] challenge[-1] of[0] nicholson[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's also ( thankfully ) a bit of chemistry between them . 	there's also ( thankfully ) a bit of chemistry between them .	2	-1	 there's[0] also[0] thankfully[1] a[0] bit[0] of[0] chemistry[0] between[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kinnear , as the gay neighbor , seems to have a slightly underwritten role , he's more of a plot convience than a character . 	kinnear , as the gay neighbor , seems to have a slightly underwritten role , he's more of a plot convience than a character .	1	-2	 kinnear[0] as[0] the[0] gay[-1] neighbor[0] seems[0] to[0] have[0] a[0] slightly[0] underwritten[0] role[0] he's[0] more[0] of[0] a[0] plot[0] convience[0] than[0] a[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although his performance is good , his character just seems to exist to help melvin and carol come together . 	although his performance is good , his character just seems to exist to help melvin and carol come together .	2	-1	 although[0] his[0] performance[0] is[0] good[1] his[0] character[0] just[0] seems[0] to[0] exist[0] to[0] help[0] melvin[0] and[0] carol[0] come[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , the scene stealer is simon's dog , who is funnier than nicholson . 	in fact , the scene stealer is simon's dog , who is funnier than nicholson .	2	-3	 in[0] fact[0] the[0] scene[0] stealer[-2] is[0] simon's[0] dog[0] who[0] is[0] funnier[1] than[0] nicholson[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but then again , pets are always cute on screen . 	but then again , pets are always cute on screen .	2	-1	 but[0] then[0] again[0] pets[0] are[0] always[0] cute[1] on[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
providing solid support is cuba gooding , jnr ( jerry maguire , 1996 ) and yeardly smith ( who is the voice of lisa simpsons in the simpsons ) although gooding isn't as good as is character in maguire , he is still fun . 	providing solid support is cuba gooding , jnr ( jerry maguire , 1996 ) and yeardly smith ( who is the voice of lisa simpsons in the simpsons ) although gooding isn't as good as is character in maguire , he is still fun .	2	-2	 providing[0] solid[0] support[1] is[0] cuba[0] gooding[0] jnr[0] jerry[0] maguire[0] 1996[0] and[0] yeardly[0] smith[0] who[0] is[0] the[0] voice[0] of[0] lisa[0] simpsons[0] in[0] the[0] simpsons[0] although[0] gooding[0] isn't[0] as[0] good[1][NegatedDueToPreviousWord] as[0] is[0] character[0] in[0] maguire[0] he[0] is[0] still[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he overacts a little , but not so much as to be annoying . 	he overacts a little , but not so much as to be annoying .	1	-3	 he[0] overacts[0] a[0] little[0] but[0] not[0] so[0] much[0] as[0] to[0] be[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
smith is also good , although she has a fairly small role . 	smith is also good , although she has a fairly small role .	2	-1	 smith[0] is[0] also[0] good[1] although[0] she[0] has[0] a[0] fairly[0] small[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even director lawrence kasdan ( body heat , 1981 ) makes an appearance as a doctor . 	even director lawrence kasdan ( body heat , 1981 ) makes an appearance as a doctor .	1	-1	 even[0] director[0] lawrence[0] kasdan[0] body[0] heat[0] 1981[0] makes[0] an[0] appearance[0] as[0] a[0] doctor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this is primarily nicholsons film , and every scene he's in , he's steals it . 	but this is primarily nicholsons film , and every scene he's in , he's steals it .	1	-3	 but[0] this[0] is[0] primarily[0] nicholsons[0] film[0] and[0] every[0] scene[0] he's[0] in[0] he's[0] steals[-2] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's character is so hateful , though , it's amazing that anyone talks to him at all , especially carol . 	he's character is so hateful , though , it's amazing that anyone talks to him at all , especially carol .	3	-4	 he's[0] character[0] is[0] so[0] hateful[-3] though[0] it's[0] amazing[2] that[0] anyone[0] talks[0] to[0] him[0] at[0] all[0] especially[0] carol[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and this is the films main problem . 	and this is the films main problem .	1	-2	 and[0] this[0] is[0] the[0] films[0] main[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's totally unbelievable that carol would ever consider liking melvin . 	it's totally unbelievable that carol would ever consider liking melvin .	3	-3	 it's[0] totally[0] unbelievable[-1][-1 LastWordBoosterStrength] that[0] carol[0] would[0] ever[0] consider[0] liking[2] melvin[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she doesn't fall in love with him naturally , the film forces her to fall in love with him . 	she doesn't fall in love with him naturally , the film forces her to fall in love with him .	3	-1	 she[0] doesn't[0] fall[0] in[0] love[2] with[0] him[0] naturally[0] the[0] film[0] forces[0] her[0] to[0] fall[0] in[0] love[2] with[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
