for many people , procrastination isn't a problem to overcome , it's a high art . 	Translation	Positive	Negative	EmotionRationale
we'll do just about anything to put off a task . 	we'll do just about anything to put off a task .	1	-1	 we'll[0] do[0] just[0] about[0] anything[0] to[0] put[0] off[0] a[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the deadline for this column nears , it's the only time during the week dishes get washed and the bed made and laundry done and plants watered and . . . 	when the deadline for this column nears , it's the only time during the week dishes get washed and the bed made and laundry done and plants watered and .<br> .<br> .	1	-1	 when[0] the[0] deadline[0] for[0] this[0] column[0] nears[0] it's[0] the[0] only[0] time[0] during[0] the[0] week[0] dishes[0] get[0] washed[0] and[0] the[0] bed[0] made[0] and[0] laundry[0] done[0] and[0] plants[0] watered[0] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually , hopefully , sometimes , there's a breakthrough and we actually get down to work . 	eventually , hopefully , sometimes , there's a breakthrough and we actually get down to work .	1	-1	 eventually[0] hopefully[0] sometimes[0] there's[0] a[0] breakthrough[0] and[0] we[0] actually[0] get[0] down[0] to[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amazingly it's almost always easier than we dreaded and after finishing , that sense of oppressive apprehension melts away . 	amazingly it's almost always easier than we dreaded and after finishing , that sense of oppressive apprehension melts away .	3	-4	 amazingly[2] it's[0] almost[0] always[0] easier[0] than[0] we[0] dreaded[-3] and[0] after[0] finishing[0] that[0] sense[0] of[0] oppressive[-2] apprehension[-2][-1 MultiplePositiveWords] melts[0] away[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and then , the next time , we do it all again . 	and then , the next time , we do it all again .	1	-1	 and[0] then[0] the[0] next[0] time[0] we[0] do[0] it[0] all[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
english professor grady tripp ( michael douglas ) is a master . 	english professor grady trip ( michael douglas ) is a master .	1	-1	 english[0] professor[0] grady[0] tripp/trip[0] michael[0] douglas[0] is[0] a[0] master[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seven years ago , his first book was a hit . 	seven years ago , his first book was a hit .	1	-1	 seven[0] years[0] ago[0] his[0] first[0] book[0] was[0] a[0] hit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's been working on his second -- a short 200-page piece -- since then . 	he's been working on his second - a short 200-page piece - since then .	1	-1	 he's[0] been[0] working[0] on[0] his[0] second[0] a[0] short[0] 200[0] page[0] piece[0] since[0] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fearful that he can't live up to the first , he can't bring himself to finish it . 	fearful that he can't live up to the first , he can't bring himself to finish it .	1	-3	 fearful[-2] that[0] he[0] can't[0] live[0] up[0] to[0] the[0] first[0] he[0] can't[0] bring[0] himself[0] to[0] finish[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no writer's block , he's nearing 3 , 000 pages with no end in sight . 	no writer's block , he's nearing 3 , 00 pages with no end in sight .	1	-2	 no[0] writer's[0] block[-1] he's[0] nearing[0] 3[0] 000/00[0] pages[0] with[0] no[0] end[0] in[0] sight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now he's having a particularly difficult day . 	now he's having a particularly difficult day .	1	-2	 now[0] he's[0] having[0] a[0] particularly[0] difficult[-1] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the college's annual writers conference is bringing in accomplished novelists reminding tripp that other people are finishing _their_ books . 	the college's annual writers conference is bringing in accomplished novelists reminding trip that other people are finishing _their_ books .	2	-1	 the[0] college's[0] annual[0] writers[0] conference[0] is[0] bringing[0] in[0] accomplished[1] novelists[0] reminding[0] tripp/trip[0] that[0] other[0] people[0] are[0] finishing[0] _their_[0] books[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during the first day , his wife has left him , his married girlfriend informs him she's pregnant and his agent is in town with a six-foot transvestite in tow . 	during the first day , his wife has left him , his married girlfriend informs him she's pregnant and his agent is in town with a six-foot transvestite in tow .	1	-1	 during[0] the[0] first[0] day[0] his[0] wife[0] has[0] left[0] him[0] his[0] married[0] girlfriend[0] informs[0] him[0] she's[0] pregnant[0] and[0] his[0] agent[0] is[0] in[0] town[0] with[0] a[0] six[0] foot[0] transvestite[0] in[0] tow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the evening , our besieged writer is driving though the snow-covered streets of pittsburgh with a suicidal student beside him , a stolen jacket that marilyn monroe wore on her wedding day in the back seat and a murdered blind dog stuffed in the trunk . 	by the evening , our besieged writer is driving though the snow-covered streets of pittsburgh with a suicidal student beside him , a stolen jacket that marilyn monroe wore on her wedding day in the back seat and a murdered blind dog stuffed in the trunk .	1	-4	 by[0] the[0] evening[0] our[0] besieged[-1] writer[0] is[0] driving[0] though[0] the[0] snow[0] covered[0] streets[0] of[0] pittsburgh[0] with[0] a[0] suicidal[0] student[0] beside[0] him[0] a[0] stolen[-1] jacket[0] that[0] marilyn[0] monroe[0] wore[0] on[0] her[0] wedding[0] day[0] in[0] the[0] back[0] seat[0] and[0] a[0] murdered[-3] blind[-1] dog[0] stuffed[0] in[0] the[0] trunk[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this could be a pivotal point in his mid-life crisis . 	this could be a pivotal point in his mid-life crisis .	1	-3	 this[0] could[0] be[0] a[0] pivotal[0] point[0] in[0] his[0] mid[0] life[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and then there's the next morning . 	and then there's the next morning .	1	-1	 and[0] then[0] there's[0] the[0] next[0] morning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a lot to like about this movie . 	there's a lot to like about this movie .	2	-1	 there's[0] a[0] lot[0] to[0] like[1] about[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are no huge explosions , shattering glass or computer-generated dinosaurs to distract from the very real human issues . 	there are no huge explosions , shattering glass or computer-generated dinosaurs to distract from the very real human issues .	1	-2	 there[0] are[0] no[0] huge[0] explosions[-1] shattering[0] glass[0] or[0] computer[0] generated[0] dinosaurs[0] to[0] distract[-1] from[0] the[0] very[0] real[0] human[0] issues[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
grady is caught up in the curse of people who accomplish great things early in their career . 	grady is caught up in the curse of people who accomplish great things early in their career .	3	-2	 grady[0] is[0] caught[0] up[0] in[0] the[0] curse[-1] of[0] people[0] who[0] accomplish[1] great[2] things[0] early[0] in[0] their[0] career[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in the world of " what have you done for me lately ? " , he knows his second book has to be better than his first . 	in the world of " what have you done for me lately ?<br> " , he knows his second book has to be better than his first .	1	-1	 in[0] the[0] world[0] of[0] what[0] have[0] you[0] done[0] for[0] me[0] lately[0] [[Sentence=-1,1=word max, 1-5]] he[0] knows[0] his[0] second[0] book[0] has[0] to[0] be[0] better[0] than[0] his[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of finding out , he drifts , comfortable in the insular cocoon of academic peter panhood . 	instead of finding out , he drifts , comfortable in the insular cocoon of academic peter panhood .	2	-1	 instead[0] of[0] finding[0] out[0] he[0] drifts[0] comfortable[1] in[0] the[0] insular[0] cocoon[0] of[0] academic[0] peter[0] panhood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he doesn't have much of a life and neither does his star pupil james leer ( tobey maguire ) . 	he doesn't have much of a life and neither does his star pupil james leer ( tobey maguire ) .	1	-1	 he[0] doesn't[0] have[0] much[0] of[0] a[0] life[0] and[0] neither[0] does[0] his[0] star[0] pupil[0] james[0] leer[0] tobey[0] maguire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
