a bleak look at how the boston underworld operates , a film which was based on the best-seller by george v . , higgins . 	Translation	Positive	Negative	EmotionRationale
it is seen through the weary eyes of a 51-year-old , small-time hood , eddie " fingers " coyle ( mitchum ) . 	it is seen through the weary eyes of a 51-year-old , small-time hood , eddie " fingers " coyle ( mitchum ) .	1	-1	 it[0] is[0] seen[0] through[0] the[0] weary[0] eyes[0] of[0] a[0] 51[0] year[0] old[0] small[0] time[0] hood[0] eddie[0] fingers[0] coyle[0] mitchum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he got the nickname when a mob boss in his underworld element shut the draw on his hand as a punishment . 	he got the nickname when a mob boss in his underworld element shut the draw on his hand as a punishment .	1	-2	 he[0] got[0] the[0] nickname[0] when[0] a[0] mob[0] boss[0] in[0] his[0] underworld[-1] element[0] shut[0] the[0] draw[0] on[0] his[0] hand[0] as[0] a[0] punishment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his current dilemma is that he got caught running illegal booze by truck and faces a 3-5 year stretch in new hampshire , something he feels will be a life sentence for him since he doesn't think he could survive prison at his age . 	his current dilemma is that he got caught running illegal booze by truck and faces a 3-5 year stretch in new hampshire , something he feels will be a life sentence for him since he doesn't think he could survive prison at his age .	1	-2	 his[0] current[0] dilemma[-1] is[0] that[0] he[0] got[0] caught[0] running[0] illegal[-1] booze[0] by[0] truck[0] and[0] faces[0] a[0] 3[0] -5[0] year[0] stretch[0] in[0] new[0] hampshire[0] something[0] he[0] feels[0] will[0] be[0] a[0] life[0] sentence[0] for[0] him[0] since[0] he[0] doesn't[0] think[0] he[0] could[0] survive[0] prison[-1] at[0] his[0] age[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is also concerned that his wife and three kids will have to go on welfare . 	he is also concerned that his wife and three kids will have to go on welfare .	1	-2	 he[0] is[0] also[0] concerned[-1] that[0] his[0] wife[0] and[0] three[0] kids[0] will[0] have[0] to[0] go[0] on[0] welfare[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he could have cut a deal and gotten off , if he turned his boss over to the d . a . , but he figured he would never live if he did that . 	he could have cut a deal and gotten off , if he turned his boss over to the d .<br> a .<br> , but he figured he would never live if he did that .	1	-1	 he[0] could[0] have[0] cut[0] a[0] deal[0] and[0] gotten[0] off[0] if[0] he[0] turned[0] his[0] boss[0] over[0] to[0] the[0] d[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] but[0] he[0] figured[0] he[0] would[0] never[0] live[0] if[0] he[0] did[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is currently gun-running for a gang of very successful bank robbers led by scalise ( rocco ) . 	he is currently gun-running for a gang of very successful bank robbers led by scalise ( rocco ) .	4	-2	 he[0] is[0] currently[0] gun[-1] running[0] for[0] a[0] gang[0] of[0] very[0] successful[2][1 LastWordBoosterStrength] bank[0] robbers[-1] led[0] by[0] scalise[0] rocco[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the masked bank robbers operate by always first going to the bank manager's house and holding his family hostage and then they go to the bank and force the manager to open the vault for them or else his family gets it . 	the masked bank robbers operate by always first going to the bank manager's house and holding his family hostage and then they go to the bank and force the manager to open the vault for them or else his family gets it .	1	-2	 the[0] masked[0] bank[0] robbers[-1] operate[0] by[0] always[0] first[0] going[0] to[0] the[0] bank[0] manager's[0] house[0] and[0] holding[0] his[0] family[0] hostage[0] and[0] then[0] they[0] go[0] to[0] the[0] bank[0] and[0] force[-1] the[0] manager[0] to[0] open[0] the[0] vault[0] for[0] them[0] or[0] else[0] his[0] family[0] gets[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on one of the heists , they kill a bank officer who pushes the alarm . 	on one of the heists , they kill a bank officer who pushes the alarm .	1	-3	 on[0] one[0] of[0] the[0] heists[0] they[0] kill[-1] a[0] bank[0] officer[0] who[0] pushes[0] the[0] alarm[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
coyle's best friend is dillon ( boyle ) , a hit man for the mob , working as a bartender . 	coyle's best friend is dillon ( boyle ) , a hit man for the mob , working as a bartender .	2	-1	 coyle's[0] best[1] friend[1] is[0] dillon[0] boyle[0] a[0] hit[0] man[0] for[0] the[0] mob[0] working[0] as[0] a[0] bartender[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is a permanent stoolie for the treasury agents , as an aggressive young agent named foley ( jordan ) , who likes to be called uncle , gives dillon breathing room to operate some of his low-level crime activities and to work the bar even though he has a prison record , as long as he keeps getting valuable info from him on things happening with the gangs . 	he is a permanent stoolie for the treasury agents , as an aggressive young agent named foley ( jordan ) , who likes to be called uncle , gives dillon breathing room to operate some of his low-level crime activities and to work the bar even though he has a prison record , as long as he keeps getting valuable info from him on things happening with the gangs .	3	-3	 he[0] is[0] a[0] permanent[0] stoolie[0] for[0] the[0] treasury[1] agents[0] as[0] an[0] aggressive[-2] young[0] agent[0] named[0] foley[0] jordan[0] who[0] likes[2] to[0] be[0] called[0] uncle[0] gives[0] dillon[0] breathing[0] room[0] to[0] operate[0] some[0] of[0] his[0] low[-1] level[0] crime[-1] activities[0] and[0] to[0] work[0] the[0] bar[0] even[0] though[0] he[0] has[0] a[0] prison[-1] record[0] as[0] long[0] as[0] he[0] keeps[0] getting[0] valuable[1] info[0] from[0] him[0] on[0] things[0] happening[0] with[0] the[0] gangs[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
