the keen wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that blossoms between the two are the fine components that make up a modest , little caper adventure entitled `where the money is . ' 	Translation	Positive	Negative	EmotionRationale
the elderly bank robber is henry ( paul newman ) , a famous criminal that was only recently caught . 	the elderly bank robber is henry ( paul newman ) , a famous criminal that was only recently caught .	1	-2	 the[0] elderly[0] bank[0] robber[-1] is[0] henry[0] paul[0] newman[0] a[0] famous[0] criminal[-1] that[0] was[0] only[0] recently[0] caught[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he has pulled off dozens of successful heists and has probably stashed away a small fortune . 	he has pulled off dozens of successful heists and has probably stashed away a small fortune .	3	-1	 he[0] has[0] pulled[0] off[0] dozens[0] of[0] successful[2] heists[0] and[0] has[0] probably[0] stashed[0] away[0] a[0] small[0] fortune[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
always the shrewd thinker , he begins working on a plan to get out of jail . 	always the shrewd thinker , he begins working on a plan to get out of jail .	1	-2	 always[0] the[0] shrewd[0] thinker[0] he[0] begins[0] working[0] on[0] a[0] plan[0] to[0] get[0] out[0] of[0] jail[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this involves years of studying buddhism and self-hypnosis . 	this involves years of studying buddhism and self-hypnosis .	1	-1	 this[0] involves[0] years[0] of[0] studying[0] buddhism[0] and[0] self[0] hypnosis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he is prepared to execute his plan , he uses what he has learned to fake a stroke . 	when he is prepared to execute his plan , he uses what he has learned to fake a stroke .	1	-2	 when[0] he[0] is[0] prepared[0] to[0] execute[-1] his[0] plan[0] he[0] uses[0] what[0] he[0] has[0] learned[0] to[0] fake[-1] a[0] stroke[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now a seemingly twitching vegetable , he is temporarily transferred to a state-run home . 	now a seemingly twitching vegetable , he is temporarily transferred to a state-run home .	1	-2	 now[0] a[0] seemingly[0] twitching[0] vegetable[0] he[0] is[0] temporarily[-1] transferred[0] to[0] a[0] state[0] run[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carol ( linda fiorentino ) is the nurse that cares for him . 	carol ( linda fiorentino ) is the nurse that cares for him .	2	-1	 carol[0] linda[0] fiorentino[0] is[0] the[0] nurse[0] that[0] cares[1] for[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she's a very bright person with a good heart . 	she's a very bright person with a good heart .	2	-1	 she's[0] a[0] very[0] bright[0] person[0] with[0] a[0] good[1] heart[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet , her life is a miserable waste of time . 	yet , her life is a miserable waste of time .	1	-3	 yet[0] her[0] life[0] is[0] a[0] miserable[-2] waste[-1] of[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the most exciting thing to do in town is to fix cars . 	the most exciting thing to do in town is to fix cars .	3	-1	 the[0] most[0] exciting[2] thing[0] to[0] do[0] in[0] town[0] is[0] to[0] fix[0] cars[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
