many people dislike french films for their lack of closure . 	Translation	Positive	Negative	EmotionRationale
while possibly shallow , i've often had a desire for a sense of epiphany , or at least a resolution , in the films which i view . 	while possibly shallow , i've often had a desire for a sense of epiphany , or at least a resolution , in the films which i view .	1	-2	 while[0] possibly[0] shallow[-1] i've[0] often[0] had[0] a[0] desire[0] for[0] a[0] sense[0] of[0] epiphany[0] or[0] at[0] least[0] a[0] resolution[0] in[0] the[0] films[0] which[0] i[0] view[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no revelation in un coeur en hiver in the traditional ; however , the film is incredibly successful in its passionate dramatization of a passion-denying protagonist , stephane ( daniel auteuil ) . 	there is no revelation in un coeur en hiver in the traditional ; however , the film is incredibly successful in its passionate dramatization of a passion-denying protagonist , stephane ( daniel auteuil ) .	5	-1	 there[0] is[0] no[0] revelation[0] in[0] un[0] coeur[0] en[0] hiver[0] in[0] the[0] traditional[0] however[0] the[0] film[0] is[0] incredibly[0] successful[2][2 LastWordBoosterStrength] in[0] its[0] passionate[2] dramatization[0] of[0] a[0] passion[2] denying[0] protagonist[0] stephane[0] daniel[0] auteuil[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
stephane ( daniel auteuil ) is a master violin maker . 	stephane ( daniel auteuil ) is a master violin maker .	1	-1	 stephane[0] daniel[0] auteuil[0] is[0] a[0] master[0] violin[0] maker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is passionless about all that which surrounds him except his craft and the music which his craft is responsible for producing . 	he is passionless about all that which surrounds him except his craft and the music which his craft is responsible for producing .	3	-1	 he[0] is[0] passionless[2] about[0] all[0] that[0] which[0] surrounds[0] him[0] except[0] his[0] craft[0] and[0] the[0] music[0] which[0] his[0] craft[0] is[0] responsible[0] for[0] producing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even the relationship between he and his boss , maxime ( andre dussollier ) is a controlled , and almost manipulated association , highlighted by the fact that stephane permits maxime to win close squash matches . 	even the relationship between he and his boss , maxime ( andre dussollier ) is a controlled , and almost manipulated association , highlighted by the fact that stephane permits maxime to win close squash matches .	1	-2	 even[0] the[0] relationship[0] between[0] he[0] and[0] his[0] boss[0] maxime[0] andre[0] dussollier[0] is[0] a[0] controlled[0] and[0] almost[0] manipulated[-1] association[0] highlighted[0] by[0] the[0] fact[0] that[0] stephane[0] permits[0] maxime[0] to[0] win[0] close[0] squash[0] matches[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the beginning of the movie , stephane is a closed , solitary individual and the audience is carefully left to wonder about the depth of emotion behind this enigmatic man . 	in the beginning of the movie , stephane is a closed , solitary individual and the audience is carefully left to wonder about the depth of emotion behind this enigmatic man .	1	-1	 in[0] the[0] beginning[0] of[0] the[0] movie[0] stephane[0] is[0] a[0] closed[0] solitary[0] individual[0] and[0] the[0] audience[0] is[0] carefully[0] left[0] to[0] wonder[0] about[0] the[0] depth[0] of[0] emotion[0] behind[0] this[0] enigmatic[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
camille kessler ( emmanuelle beart ) is a master violinist and the new love of maximes . 	camille kessler ( emmanuelle beart ) is a master violinist and the new love of maximes .	3	-1	 camille[0] kessler[0] emmanuelle[0] beart[0] is[0] a[0] master[0] violinist[0] and[0] the[0] new[0] love[2] of[0] maximes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maxime is so much in love with camille that he plans to and does leave his wife . 	maxime is so much in love with camille that he plans to and does leave his wife .	3	-1	 maxime[0] is[0] so[0] much[0] in[0] love[2] with[0] camille[0] that[0] he[0] plans[0] to[0] and[0] does[0] leave[0] his[0] wife[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like stephane , camille is outwardly very controlled and reserved , sacrificing all thought and emotion to her violin and the music which emerges . 	like stephane , camille is outwardly very controlled and reserved , sacrificing all thought and emotion to her violin and the music which emerges .	2	-1	 like[1] stephane[0] camille[0] is[0] outwardly[0] very[0] controlled[0] and[0] reserved[0] sacrificing[0] all[0] thought[0] and[0] emotion[0] to[0] her[0] violin[0] and[0] the[0] music[0] which[0] emerges[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when stephane and camille meet , there is a recognition of a bonding by both individuals . 	when stephane and camille meet , there is a recognition of a bonding by both individuals .	1	-1	 when[0] stephane[0] and[0] camille[0] meet[0] there[0] is[0] a[0] recognition[0] of[0] a[0] bonding[0] by[0] both[0] individuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , whereas camille submits to the wild interplay of emotions which she now feels for stephane , stephane only admits that camille is attracted to him . 	however , whereas camille submits to the wild interplay of emotions which she now feels for stephane , stephane only admits that camille is attracted to him .	2	-1	 however[0] whereas[0] camille[0] submits[0] to[0] the[0] wild[0] interplay[0] of[0] emotions[0] which[0] she[0] now[0] feels[0] for[0] stephane[0] stephane[0] only[0] admits[0] that[0] camille[0] is[0] attracted[1] to[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
