just how inseparable is the team of sgt . 	Translation	Positive	Negative	EmotionRationale
martin riggs ( mel gibson ) and sgt . 	martin rigs ( mel gibson ) and sgt .	1	-1	 martin[0] riggs/rigs[0] mel[0] gibson[0] and[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roger murtaugh ( danny glover ) ? 	roger murtaugh ( danny glover ) ?	1	-1	 roger[0] murtaugh[0] danny[0] glover[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's just say that when one partner asks the other partner to strip to his boxer shorts and then further asks him to run out into the middle of the road , flapping his arms while feverishly cackling like a chicken just to create a distraction , his partner actually does it ! 	let's just say that when one partner asks the other partner to strip to his boxer shorts and then further asks him to run out into the middle of the road , flapping his arms while feverishly cackling like a chicken just to create a distraction , his partner actually does it !	2	-2	 let's[0] just[0] say[0] that[0] when[0] one[0] partner[0] asks[0] the[0] other[0] partner[0] to[0] strip[0] to[0] his[0] boxer[0] shorts[0] and[0] then[0] further[0] asks[0] him[0] to[0] run[0] out[0] into[0] the[0] middle[0] of[0] the[0] road[0] flapping[0] his[0] arms[0] while[0] feverishly[0] cackling[0] like[1] a[0] chicken[0] just[0] to[0] create[0] a[0] distraction[-1] his[0] partner[0] actually[0] does[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the familiar lethal weapon family is back , including rene russo , who is now the expectant mother of riggs' child and joe pesci as the soprana-like , foul-mouthed former accountant who has decided to become a private eye . 	the familiar lethal weapon family is back , including rene russo , who is now the expectant mother of riggs' child and joe pesci as the soprana-like , foul-mouthed former accountant who has decided to become a private eye .	2	-2	 the[0] familiar[0] lethal[0] weapon[-1] family[0] is[0] back[0] including[0] rene[0] russo[0] who[0] is[0] now[0] the[0] expectant[0] mother[0] of[0] riggs'[0] child[0] and[0] joe[0] pesci[0] as[0] the[0] soprana[0] like[1] foul[0] mouthed[0] former[0] accountant[0] who[0] has[0] decided[0] to[0] become[0] a[0] private[0] eye[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
new to the team is chris rock , also a fast-talking , up and coming detective . 	new to the team is chris rock , also a fast-talking , up and coming detective .	2	-1	 new[0] to[0] the[0] team[0] is[0] chris[0] rock[1] also[0] a[0] fast[0] talking[0] up[0] and[0] coming[0] detective[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
trouble seems to follow the two veteran detectives where ever they go , and in this film , that is no exception . 	trouble seems to follow the two veteran detectives where ever they go , and in this film , that is no exception .	1	-2	 trouble[-1] seems[0] to[0] follow[0] the[0] two[0] veteran[0] detectives[0] where[0] ever[0] they[0] go[0] and[0] in[0] this[0] film[0] that[0] is[0] no[0] exception[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even when they are just taking a leisurely boat ride , they somehow manage to collide with a freighter ship . 	even when they are just taking a leisurely boat ride , they somehow manage to collide with a freighter ship .	1	-2	 even[0] when[0] they[0] are[0] just[0] taking[0] a[0] leisurely[0] boat[0] ride[0] they[0] somehow[0] manage[0] to[0] collide[-1] with[0] a[0] freighter[0] ship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we here some ominous music , which clues us that a confrontation is about to happen . 	we here some ominous music , which clues us that a confrontation is about to happen .	1	-3	 we[0] here[0] some[0] ominous[-2][--1 LastWordBoosterStrength] music[0] which[0] clues[0] us[0] that[0] a[0] confrontation[-2] is[0] about[0] to[0] happen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gunfire ensues , and when it's all over , the detectives want to learn more about this freighter by questioning a chinatown crime lord . 	gunfire ensues , and when it's all over , the detectives want to learn more about this freighter by questioning a chinatown crime lord .	1	-2	 gunfire[-1] ensues[0] and[0] when[0] it's[0] all[0] over[0] the[0] detectives[0] want[0] to[0] learn[0] more[0] about[0] this[0] freighter[0] by[0] questioning[0] a[0] chinatown[0] crime[-1] lord[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although they don't know what they're looking for , their inquisitiveness causes the bad guys to take some action . 	although they don't know what they're looking for , their inquisitiveness causes the bad guys to take some action .	1	-2	 although[0] they[0] don't[0] know[0] what[0] they're[0] looking[0] for[0] their[0] inquisitiveness[0] causes[0] the[0] bad[-1] guys[0] to[0] take[0] some[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
