what a great film . 	Translation	Positive	Negative	EmotionRationale
what a stunning , touching , heart-wrenching , heart-warming , life-affirming , miraculous film . 	what a stunning , touching , heart-wrenching , heart-warming , life-affirming , miraculous film .	3	-1	 what[0] a[0] stunning[0] touching[0] heart[0] wrenching[0] heart[0] warming[0] life[0] affirming[0] miraculous[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 from its opening moments , _life is beautiful_ walks that fine line between serious tragedy and uplifting comedy . 	 from its opening moments , _life is beautiful_ walks that fine line between serious tragedy and uplifting comedy .	3	-3	 from[0] its[0] opening[0] moments[0] _life[0] is[0] beautiful_[2] walks[0] that[0] fine[2] line[0] between[0] serious[-1] tragedy[-2] and[0] uplifting[0] comedy[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a car with no brakes speeds through the town , and guido ( roberto benigni ) motions people to move out of the way . 	a car with no brakes speeds through the town , and guido ( roberto benigni ) motions people to move out of the way .	2	-1	 a[0] car[0] with[0] no[0] brakes[0] speeds[0] through[0] the[0] town[0] and[0] guido[0] roberto[0] benigni[1] motions[0] people[0] to[0] move[0] out[0] of[0] the[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they mistake him to be the fascist president , traveling to their town that day . 	they mistake him to be the fascist president , traveling to their town that day .	1	-2	 they[0] mistake[-1] him[0] to[0] be[0] the[0] fascist[-1] president[0] traveling[0] to[0] their[0] town[0] that[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heil ! 	heil !	1	-1	 heil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heil ! 	heil !	1	-1	 heil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
huh ? 	huh ?	1	-1	 huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shortly thereafter , the president drives through , and people stare , with blank faces . 	shortly thereafter , the president drives through , and people stare , with blank faces .	1	-1	 shortly[0] thereafter[0] the[0] president[0] drives[0] through[0] and[0] people[0] stare[0] with[0] blank[0] faces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is standard , but somehow fresh and postmodern stuff : the clown who is also a jew , triumphs over the anti-semitic society in which he   lives . 	this is standard , but somehow fresh and postmodern stuff : the clown who is also a jew , triumphs over the anti-semitic society in which he   lives .	3	-1	 this[0] is[0] standard[0] but[0] somehow[0] fresh[0] and[0] postmodern[0] stuff[0] the[0] clown[0] who[0] is[0] also[0] a[0] jew[0] triumphs[2] over[0] the[0] anti[0] semitic[0] society[0] in[0] which[0] he[0] lives[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
granted , _the great dictator_ comes to mind--charlie chaplin s almost masterpiece . 	granted , _the great dictator_ comes to mind-charlie chaplin s almost masterpiece .	3	-1	 granted[0] _the[0] great[2] dictator_[0] comes[0] to[0] mind[0] charlie[0] chaplin[0] s[0] almost[0] masterpiece[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i think lib ( which benigni wrote and directed ) trumps gd in one essential point : chaplin s jewish barber gives a great speech at the climax , but to do so , he had to break completely from character . 	i think lib ( which benigni wrote and directed ) trumps gd in one essential point : chaplin s jewish barber gives a great speech at the climax , but to do so , he had to break completely from character .	3	-1	 i[0] think[0] lib[0] which[0] benigni[1] wrote[0] and[0] directed[0] trumps[0] gd[0] in[0] one[0] essential[0] point[0] chaplin[0] s[0] jewish[0] barber[0] gives[0] a[0] great[2] speech[0] at[0] the[0] climax[0] but[0] to[0] do[0] so[0] he[0] had[0] to[0] break[0] completely[0] from[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
benigni is given a similar situation : he is mistaken as a fascist dignitary , and must explain to a classroom filled with schoolchildren   on how scientists have concluded that aryans are the superior race . 	benigni is given a similar situation : he is mistaken as a fascist dignitary , and must explain to a classroom filled with schoolchildren   on how scientists have concluded that aryans are the superior race .	3	-2	 benigni[1] is[0] given[0] a[0] similar[0] situation[0] he[0] is[0] mistaken[-1] as[0] a[0] fascist[-1] dignitary[0] and[0] must[0] explain[0] to[0] a[0] classroom[0] filled[0] with[0] schoolchildren[0] on[0] how[0] scientists[0] have[0] concluded[0] that[0] aryans[0] are[0] the[0] superior[2] race[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
benigni s guido stays in character , and delivers the speech , keeping   the subject matter intact while showing the absurdity of its concept . 	benigni s guido stays in character , and delivers the speech , keeping   the subject matter intact while showing the absurdity of its concept .	2	-2	 benigni[1] s[0] guido[0] stays[0] in[0] character[0] and[0] delivers[0] the[0] speech[0] keeping[0] the[0] subject[0] matter[0] intact[0] while[0] showing[0] the[0] absurdity[-1] of[0] its[0] concept[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it   is one of the great satirical scenes in modern cinema . 	it   is one of the great satirical scenes in modern cinema .	3	-1	 it[0] is[0] one[0] of[0] the[0] great[2] satirical[0] scenes[0] in[0] modern[0] cinema[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are many other scenes , especially in the first half , which are bright and loopy and funny and silly . 	there are many other scenes , especially in the first half , which are bright and loopy and funny and silly .	2	-2	 there[0] are[0] many[0] other[0] scenes[0] especially[0] in[0] the[0] first[0] half[0] which[0] are[0] bright[0] and[0] loopy[0] and[0] funny[1] and[0] silly[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
slapstick reigns , and although the film is subtitled , there was no doubt that a universal language was being conveyed . 	slapstick reigns , and although the film is subtitled , there was no doubt that a universal language was being conveyed .	1	-2	 slapstick[-1] reigns[0] and[0] although[0] the[0] film[0] is[0] subtitled[0] there[0] was[0] no[0] doubt[-1] that[0] a[0] universal[0] language[0] was[0] being[0] conveyed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and although it s focus is on the courtship of guido   to dora ( played by nicoletta braschi , benigni s real life wife ) , a silent undercurrent creeps in . 	and although it s focus is on the courtship of guido   to dora ( played by nicoletta braschi , benigni s real life wife ) , a silent undercurrent creeps in .	2	-1	 and[0] although[0] it[0] s[0] focus[0] is[0] on[0] the[0] courtship[0] of[0] guido[0] to[0] dora[0] played[0] by[0] nicoletta[0] braschi[0] benigni[1] s[0] real[0] life[0] wife[0] a[0] silent[0] undercurrent[0] creeps[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is clearly a racist society , evidenced by the aforementioned scene and others , and it will soon affect him and   his family . 	this is clearly a racist society , evidenced by the aforementioned scene and others , and it will soon affect him and   his family .	1	-2	 this[0] is[0] clearly[0] a[0] racist[-1] society[0] evidenced[0] by[0] the[0] aforementioned[0] scene[0] and[0] others[0] and[0] it[0] will[0] soon[0] affect[0] him[0] and[0] his[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the second half of the film takes place five years later , in an unnamed concentration camp , where guido , dora ( by her insistence ) , and their five-year old son , giosu e9 ( giorgio cantarini ) , are deported . 	the second half of the film takes place five years later , in an unnamed concentration camp , where guido , dora ( by her insistence ) , and their five-year old son , giosu e9 ( giorgio cantarini ) , are deported .	1	-1	 the[0] second[0] half[0] of[0] the[0] film[0] takes[0] place[0] five[0] years[0] later[0] in[0] an[0] unnamed[0] concentration[0] camp[0] where[0] guido[0] dora[0] by[0] her[0] insistence[0] and[0] their[0] five[0] year[0] old[0] son[0] giosu[0] e9[0] giorgio[0] cantarini[0] are[0] deported[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guido , seeing the horrors , is desperate to protect his wife and child . 	guido , seeing the horrors , is desperate to protect his wife and child .	1	-4	 guido[0] seeing[0] the[0] horrors[-3] is[0] desperate[-2] to[0] protect[0] his[0] wife[0] and[0] child[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for   his wife , who is separated from him , he must find ways to communicate to   her that he is all right . 	for   his wife , who is separated from him , he must find ways to communicate to   her that he is all right .	1	-1	 for[0] his[0] wife[0] who[0] is[0] separated[0] from[0] him[0] he[0] must[0] find[0] ways[0] to[0] communicate[0] to[0] her[0] that[0] he[0] is[0] all[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for his son , ( and this is the most controversial part of the film ) he convinces the youngster that this is all one big elaborate game : it s rules include hiding , being very quiet , and learning to not ask for seconds . 	for his son , ( and this is the most controversial part of the film ) he convinces the youngster that this is all one big elaborate game : it s rules include hiding , being very quiet , and learning to not ask for seconds .	1	-2	 for[0] his[0] son[0] and[0] this[0] is[0] the[0] most[0] controversial[-1] part[0] of[0] the[0] film[0] he[0] convinces[0] the[0] youngster[0] that[0] this[0] is[0] all[0] one[0] big[0] elaborate[0] game[0] it[0] s[0] rules[0] include[0] hiding[0] being[0] very[0] quiet[0] and[0] learning[0] to[0] not[0] ask[0] for[0] seconds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
which raises the big questions : how do we deal with pain ? 	which raises the big questions : how do we deal with pain ?	1	-4	 which[0] raises[0] the[0] big[0] questions[0] how[0] do[0] we[0] deal[0] with[0] pain[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with persecution ? 	with persecution ?	1	-3	 with[0] persecution[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with injustice on the worst level ? 	with injustice on the worst level ?	1	-3	 with[0] injustice[0] on[0] the[0] worst[-2] level[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it s said that tragedies bring out the best in people , finding strengths they did not realize they had . 	it s said that tragedies bring out the best in people , finding strengths they did not realize they had .	2	-3	 it[0] s[0] said[0] that[0] tragedies[-2] bring[0] out[0] the[0] best[1] in[0] people[0] finding[0] strengths[0] they[0] did[0] not[0] realize[0] they[0] had[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
other times they deteriorate , become overwhelmed   with little strength or incentive to swim . 	other times they deteriorate , become overwhelmed   with little strength or incentive to swim .	1	-3	 other[0] times[0] they[0] deteriorate[0] become[0] overwhelmed[-2] with[0] little[0] strength[0] or[0] incentive[0] to[0] swim[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sometimes even , people giggle in these moments , as if there were a vacant emotion behind them , yearning for some brightness to soothe their wounds . 	sometimes even , people giggle in these moments , as if there were a vacant emotion behind them , yearning for some brightness to soothe their wounds .	3	-2	 sometimes[0] even[0] people[0] giggle[2] in[0] these[0] moments[0] as[0] if[0] there[0] were[0] a[0] vacant[0] emotion[0] behind[0] them[0] yearning[-1] for[0] some[0] brightness[0] to[0] soothe[0] their[0] wounds[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
benigni s guido realizes this . 	benigni s guido realizes this .	2	-1	 benigni[1] s[0] guido[0] realizes[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is the clown , but he is not a fool . 	he is the clown , but he is not a fool .	2	-1	 he[0] is[0] the[0] clown[0] but[0] he[0] is[0] not[0] a[0] fool[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
