niagara niagara ( r ) bob gosse's niagara niagara follows a blueprint not unlike a lot of young-lovers-on-the-road movies . 	Translation	Positive	Negative	EmotionRationale
wild marcy ( robin tunney ) and calm seth ( henry thomas ) meet cute , literally running into each other while shoplifting at a local store . 	wild marcy ( robin tunney ) and calm seth ( henry thomas ) meet cute , literally running into each other while shoplifting at a local store .	2	-1	 wild[0] marcy[0] robin[0] tunney[0] and[0] calm[1] seth[0] henry[0] thomas[0] meet[0] cute[1] literally[0] running[0] into[0] each[0] other[0] while[0] shoplifting[0] at[0] a[0] local[0] store[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a mere couple of scenes later , the two embark on a journey to toronto from their small , unnamed american town in pursuit of a rare doll that marcy desperately wants . 	a mere couple of scenes later , the two embark on a journey to toronto from their small , unnamed american town in pursuit of a rare doll that marcy desperately wants .	1	-3	 a[0] mere[0] couple[0] of[0] scenes[0] later[0] the[0] two[0] embark[0] on[0] a[0] journey[0] to[0] toronto[0] from[0] their[0] small[0] unnamed[0] american[0] town[0] in[0] pursuit[0] of[0] a[0] rare[0] doll[0] that[0] marcy[0] desperately[-2] wants[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
along the way , true love inevitably blossoms . 	along the way , true love inevitably blossoms .	3	-1	 along[0] the[0] way[0] true[1] love[2] inevitably[0] blossoms[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what sets niagara niagara apart , though , is that marcy is afflicted with tourette's syndrome , a neurological disorder that causes sudden muscle and vocal tics . 	what sets niagara niagara apart , though , is that marcy is afflicted with tourette's syndrome , a neurological disorder that causes sudden muscle and vocal tics .	1	-3	 what[0] sets[0] niagara[0] niagara[0] apart[0] though[0] is[0] that[0] marcy[0] is[0] afflicted[-2] with[0] tourette's[0] syndrome[0] a[0] neurological[0] disorder[-1] that[0] causes[0] sudden[0] muscle[0] and[0] vocal[0] tics[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tunney , displaying an acting range not hinted at in the teenage witch thriller the craft , delivers an astonishing performance that won her the best actress prize at last year's venice film festival . 	tunney , displaying an acting range not hinted at in the teenage witch thriller the craft , delivers an astonishing performance that won her the best actress prize at last year's venice film festival .	3	-1	 tunney[0] displaying[0] an[0] acting[0] range[0] not[0] hinted[0] at[0] in[0] the[0] teenage[0] witch[0] thriller[1] the[0] craft[0] delivers[0] an[0] astonishing[0] performance[0] that[0] won[0] her[0] the[0] best[1] actress[0] prize[2] at[0] last[0] year's[0] venice[0] film[0] festival[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to term her work a tour-de-force is not to imply that she attacks the scenery ; tunney's effectiveness lies in her modulation and vulnerability , which makes her depiction of marcy's illness--which often causes her to act violently--that much more convincing and tragic . 	to term her work a tour-de-force is not to imply that she attacks the scenery ; tunney's effectiveness lies in her modulation and vulnerability , which makes her depiction of marcy's illness-which often causes her to act violently-that much more convincing and tragic .	1	-3	 to[0] term[0] her[0] work[0] a[0] tour[0] de[0] force[-1] is[0] not[0] to[0] imply[0] that[0] she[0] attacks[-2] the[0] scenery[0] tunney's[0] effectiveness[0] lies[-2] in[0] her[0] modulation[0] and[0] vulnerability[-2] which[0] makes[0] her[0] depiction[0] of[0] marcy's[0] illness[-1] which[0] often[0] causes[0] her[0] to[0] act[0] violently[-2] that[0] much[0] more[0] convincing[0] and[0] tragic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she and the nicely subtle thomas develop a sweetly innocent and beguilingly off-kilter chemistry . 	she and the nicely subtle thomas develop a sweetly innocent and beguilingly off-kilter chemistry .	2	-1	 she[0] and[0] the[0] nicely[1] subtle[0] thomas[0] develop[0] a[0] sweetly[1] innocent[1] and[0] beguilingly[0] off[0] kilter[0] chemistry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their journey hits a few rough spots creatively along the way , mostly the fault of writer matthew weiss . 	their journey hits a few rough spots creatively along the way , mostly the fault of writer matthew weiss .	1	-2	 their[0] journey[0] hits[0] a[0] few[0] rough[-1] spots[0] creatively[0] along[0] the[0] way[0] mostly[0] the[0] fault[-1] of[0] writer[0] matthew[0] weiss[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a detour involving a kindly widower ( michael parks ) who takes the couple in brings the story to a screeching halt , and the key character of a trigger-happy pharmacist ( stephen lang ) is highly unbelievable . 	a detour involving a kindly widower ( michael parks ) who takes the couple in brings the story to a screeching halt , and the key character of a trigger-happy pharmacist ( stephen lang ) is highly unbelievable .	2	-2	 a[0] detour[0] involving[0] a[0] kindly[1] widower[0] michael[0] parks[0] who[0] takes[0] the[0] couple[0] in[0] brings[0] the[0] story[0] to[0] a[0] screeching[0] halt[0] and[0] the[0] key[0] character[0] of[0] a[0] trigger[0] happy[1] pharmacist[0] stephen[0] lang[0] is[0] highly[0] unbelievable[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but these missteps do not blunt the power of tunney's bravura turn , which carries niagara niagara to a level of poignance it would not have otherwise achieved . 	but these missteps do not blunt the power of tunney's bravura turn , which carries niagara niagara to a level of poignance it would not have otherwise achieved .	2	-1	 but[0] these[0] missteps[0] do[0] not[0] blunt[-1][NegatedDueToPreviousWord] the[0] power[0] of[0] tunney's[0] bravura[0] turn[0] which[0] carries[0] niagara[0] niagara[0] to[0] a[0] level[0] of[0] poignance[0] it[0] would[0] not[0] have[0] otherwise[0] achieved[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
