at first glance , it appears that the home alone movies are brainless slapstick intended for those with minds of 8-year olds . 	Translation	Positive	Negative	EmotionRationale
that's true of home alone 2 and i'd bet money that it's true of home alone 3 ( opening soon ) . 	that's true of home alone 2 and i'd bet money that it's true of home alone 3 ( opening soon ) .	2	-1	 that's[0] true[1] of[0] home[0] alone[0] 2[0] and[0] i'd[0] bet[0] money[0] that[0] it's[0] true[1] of[0] home[0] alone[0] 3[0] opening[0] soon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but home alone actually has a lot going for it , and the cartoon slapstick doesn't get in the way . 	but home alone actually has a lot going for it , and the cartoon slapstick doesn't get in the way .	1	-2	 but[0] home[0] alone[0] actually[0] has[0] a[0] lot[0] going[0] for[0] it[0] and[0] the[0] cartoon[0] slapstick[-1] doesn't[0] get[0] in[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the mcalisters , all 15 of them , are going to france for the holidays . 	the mcalisters , all 15 of them , are going to france for the holidays .	1	-1	 the[0] mcalisters[0] all[0] 15[0] of[0] them[0] are[0] going[0] to[0] france[0] for[0] the[0] holidays[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four adults and eleven kids are spending the night together before heading to the airport en masse . 	four adults and eleven kids are spending the night together before heading to the airport en masse .	1	-1	 four[0] adults[0] and[0] eleven[0] kids[0] are[0] spending[0] the[0] night[0] together[0] before[0] heading[0] to[0] the[0] airport[0] en[0] masse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the littlest kid , kevin , is the victim of the older kids' cruelty . 	the littlest kid , kevin , is the victim of the older kids' cruelty .	1	-4	 the[0] littlest[0] kid[0] kevin[0] is[0] the[0] victim[-2] of[0] the[0] older[0] kids'[0] cruelty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kevin's patience runs out when he learns that his plain-cheese pizza has already been eaten , and he's going to have to starve . 	kevin's patience runs out when he learns that his plain-cheese piza has already been eaten , and he's going to have to starve .	1	-2	 kevin's[0] patience[0] runs[0] out[0] when[0] he[0] learns[0] that[0] his[0] plain[0] cheese[0] pizza/piza[0] has[0] already[0] been[0] eaten[0] and[0] he's[0] going[0] to[0] have[0] to[0] starve[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he attacks his big bully brother buzz , who had been teasing him . 	he attacks his big bully brother buz , who had been teasing him .	1	-3	 he[0] attacks[-2] his[0] big[0] bully[0] brother[0] buzz/buz[0] who[0] had[0] been[0] teasing[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the fight disrupts the already-chaotic dinner , spilling milk and soft drinks all over the table , a few cousins , and an uncle . 	the fight disrupts the already-chaotic dinner , spilling milk and soft drinks all over the table , a few cousins , and an uncle .	1	-3	 the[0] fight[-2] disrupts[-1] the[0] already[0] chaotic[-1] dinner[0] spilling[-1] milk[0] and[0] soft[0] drinks[0] all[0] over[0] the[0] table[0] a[0] few[0] cousins[0] and[0] an[0] uncle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the knee-jerk reaction is for everyone to blame kevin . 	the knee-jerk reaction is for everyone to blame kevin .	1	-3	 the[0] knee[0] jerk[-2] reaction[0] is[0] for[0] everyone[0] to[0] blame[-1] kevin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nobody came to his rescue when he was being teased , but they all point their fingers when he fights back . 	nobody came to his rescue when he was being teased , but they all point their fingers when he fights back .	1	-3	 nobody[0] came[0] to[0] his[0] rescue[0] when[0] he[0] was[0] being[0] teased[-1] but[0] they[0] all[0] point[0] their[0] fingers[0] when[0] he[0] fights[-2] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
