will hunting ( matt damon ) is a natural genius . 	Translation	Positive	Negative	EmotionRationale
for a movie character , that's usually a death sentence . 	for a movie character , that's usually a death sentence .	1	-3	 for[0] a[0] movie[0] character[0] that's[0] usually[0] a[0] death[-2] sentence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a trait associated with what my brother calls " too good for this world " movies , like phenomenon or powder . 	it's a trait associated with what my brother calls " too good for this world " movies , like phenomenon or powder .	2	-1	 it's[0] a[0] trait[0] associated[0] with[0] what[0] my[0] brother[0] calls[0] too[0] good[1] for[0] this[0] world[0] movies[0] like[1] phenomenon[0] or[0] powder[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
forgive me for spoiling the ending , but will doesn't die . 	forgive me for spoiling the ending , but will doesn't die .	2	-2	 forgive[1] me[0] for[0] spoiling[-1] the[0] ending[0] but[0] will[0] doesn't[0] die[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is no formula movie . 	this is no formula movie .	1	-1	 this[0] is[0] no[0] formula[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , it's quite fresh and original . 	in fact , it's quite fresh and original .	1	-1	 in[0] fact[0] it's[0] quite[0] fresh[0] and[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a character study more than anything , and that's not surprising , considering it was written by two actors : damon and co-star ben affleck . 	it's a character study more than anything , and that's not surprising , considering it was written by two actors : damon and co-star ben affleck .	1	-1	 it's[0] a[0] character[0] study[0] more[0] than[0] anything[0] and[0] that's[0] not[0] surprising[0] considering[0] it[0] was[0] written[0] by[0] two[0] actors[0] damon[0] and[0] co[0] star[0] ben[0] affleck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will works whatever kind of job he can get . 	will works whatever kind of job he can get .	2	-1	 will[0] works[0] whatever[0] kind[1] of[0] job[0] he[0] can[0] get[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
first he's a janitor , then he works construction . 	first he's a janitor , then he works construction .	1	-1	 first[0] he's[0] a[0] janitor[0] then[0] he[0] works[0] construction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
off-screen he speed reads books on any academic subject that interests him . 	off-screen he speed reads books on any academic subject that interests him .	2	-1	 off[0] screen[0] he[0] speed[0] reads[0] books[0] on[0] any[0] academic[0] subject[0] that[0] interests[1] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on-screen he hangs out with his friends , picking fights in robust , romanticized-hemingway fashion . 	on-screen he hangs out with his friends , picking fights in robust , romanticized-hemingway fashion .	4	-3	 on[0] screen[0] he[0] hangs[0] out[0] with[0] his[0] friends[1] picking[0] fights[-2] in[0] robust[0] romanticized[3] hemingway[0] fashion[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
