that thing you do ! 	Translation	Positive	Negative	EmotionRationale
 ( r ) tom hanks's screenwriting and directorial debut , that thing you do ! , has all the qualities you would associate with the most beloved screen actor of the moment : fun , lively , and oh-so-nice . 	 ( are ) tom hanks's screenwriting and directorial debut , that thing you do !<br> , has all the qualities you would associate with the most beloved screen actor of the moment : fun , lively , and oh-so-nice .	3	-1	 r[0] tom[0] hanks's[0] screenwriting[0] and[0] directorial[0] debut[0] that[0] thing[0] you[0] do[0] [[Sentence=-1,1=word max, 1-5]] has[0] all[0] the[0] qualities[0] you[0] would[0] associate[0] with[0] the[0] most[0] beloved[2] screen[0] actor[0] of[0] the[0] moment[0] fun[1] lively[1] and[0] oh[0] so[0] nice[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is the latter quality , however , that becomes a hindrance , for this '60s nostalgia trifle is so nice and sweet that it teeters on becoming bland milquetoast . 	it is the latter quality , however , that becomes a hindrance , for this '60s nostalgia trifle is so nice and sweet that it teeters on becoming bland milquetoast .	2	-2	 it[0] is[0] the[0] latter[0] quality[0] however[0] that[0] becomes[0] a[0] hindrance[-1] for[0] this[0] '60s[0] nostalgia[0] trifle[0] is[0] so[0] nice[1] and[0] sweet[1] that[0] it[0] teeters[0] on[0] becoming[0] bland[-1] milquetoast[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that thing focuses on the wonders , a teen rock band from erie , pennsylvania that is suddenly thrust into the national spotlight in 1964 when they score a major dance hit called , of course , " that thing you do ! " 	that thing focuses on the wonders , a teen rock band from erie , pennsylvania that is suddenly thrust into the national spotlight in 1964 when they score a major dance hit called , of course , " that thing you do !<br> "	2	-1	 that[0] thing[0] focuses[0] on[0] the[0] wonders[0] a[0] teen[0] rock[1] band[0] from[0] erie[0] pennsylvania[0] that[0] is[0] suddenly[0] thrust[0] into[0] the[0] national[0] spotlight[0] in[0] 1964[0] when[0] they[0] score[0] a[0] major[0] dance[0] hit[0] called[0] of[0] course[0] that[0] thing[0] you[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the group's members are , naturally a diverse group : there's brooding lead singer and songwriter jimmy ( johnathon schaech ) ; girl-crazy lenny ( steve zahn ) , the lead guitarist ; a goofy , geeky type known only as the bass player ( ethan embry ) ; and the film's center , guy ( tom everett scott ) , the drummer who has aspirations in jazz . 	the group's members are , naturally a diverse group : there's brooding lead singer and songwriter jimmy ( johnathon schaech ) ; girl-crazy lenny ( steve zahn ) , the lead guitarist ; a goofy , geeky type known only as the bass player ( ethan embry ) ; and the film's center , guy ( tom everett scot ) , the drummer who has aspirations in jaz .	1	-2	 the[0] group's[0] members[0] are[0] naturally[0] a[0] diverse[0] group[0] there's[0] brooding[-1] lead[0] singer[0] and[0] songwriter[0] jimmy[0] johnathon[0] schaech[0] girl[0] crazy[-1] lenny[0] steve[0] zahn[0] the[0] lead[0] guitarist[0] a[0] goofy[0] geeky[0] type[0] known[0] only[0] as[0] the[0] bass[0] player[0] ethan[0] embry[0] and[0] the[0] film's[0] center[0] guy[0] tom[0] everett[0] scott/scot[0] the[0] drummer[0] who[0] has[0] aspirations[0] in[0] jazz/jaz[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along for the wonders' ride to success is jimmy's perpetually neglected galpal , faye ( liv tyler ) . 	along for the wonders' ride to success is jimmy's perpetually neglected galpal , faye ( liv tyler ) .	3	-1	 along[0] for[0] the[0] wonders'[0] ride[0] to[0] success[2] is[0] jimmy's[0] perpetually[0] neglected[0] galpal[0] faye[0] liv[0] tyler[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hanks proves to be a capable writer-director , deftly recreating the innocent spirit of 1964 , which hanks calls " the last innocent year . " 	hanks proves to be a capable writer-director , deftly recreating the innocent spirit of 1964 , which hanks calls " the last innocent year .<br> "	2	-1	 hanks[0] proves[0] to[0] be[0] a[0] capable[0] writer[0] director[0] deftly[0] recreating[0] the[0] innocent[1] spirit[0] of[0] 1964[0] which[0] hanks[0] calls[0] the[0] last[0] innocent[1] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the spirit is not only reflected in the period clothes and settings but also in the music , which , like the other recent period music film , grace of my heart , was expressly written for the film ; hanks himself had a hand in writing four of the tunes--but not the infectious title cut by adam schlesinger , which is guaranteed to stay in your head long after the end credits have rolled ( it's still playing in my mind as i write this ) . 	the spirit is not only reflected in the period clothes and settings but also in the music , which , like the other recent period music film , grace of my heart , was expressly written for the film ; hanks himself had a hand in writing four of the tunes-but not the infectious title cut by adam schlesinger , which is guaranteed to stay in your head long after the end credits have rolled ( it's still playing in my mind as i write this ) .	3	-1	 the[0] spirit[0] is[0] not[0] only[0] reflected[0] in[0] the[0] period[0] clothes[0] and[0] settings[0] but[0] also[0] in[0] the[0] music[0] which[0] like[1] the[0] other[0] recent[0] period[0] music[0] film[0] grace[2] of[0] my[0] heart[0] was[0] expressly[0] written[0] for[0] the[0] film[0] hanks[0] himself[0] had[0] a[0] hand[0] in[0] writing[0] four[0] of[0] the[0] tunes[0] but[0] not[0] the[0] infectious[-1][NegatedDueToPreviousWord] title[0] cut[0] by[0] adam[0] schlesinger[0] which[0] is[0] guaranteed[0] to[0] stay[0] in[0] your[0] head[0] long[0] after[0] the[0] end[0] credits[0] have[0] rolled[0] it's[0] still[0] playing[1] in[0] my[0] mind[0] as[0] i[0] write[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it should come as no surprise that hanks the director works well with the actors , eliciting charming , likable work from the entire cast , most notably hanks lookalike scott and tyler , who is remarkable in delivering the film's biggest and best dramatic moment . 	it should come as no surprise that hanks the director works well with the actors , eliciting charming , likable work from the entire cast , most notably hanks lookalike scot and tyler , who is remarkable in delivering the film's biggest and best dramatic moment .	2	-1	 it[0] should[0] come[0] as[0] no[0] surprise[0] that[0] hanks[0] the[0] director[0] works[0] well[0] with[0] the[0] actors[0] eliciting[0] charming[1] likable[0] work[0] from[0] the[0] entire[0] cast[0] most[0] notably[0] hanks[0] lookalike[0] scott/scot[0] and[0] tyler[0] who[0] is[0] remarkable[0] in[0] delivering[0] the[0] film's[0] biggest[0] and[0] best[1] dramatic[0] moment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the work of the young ensemble is so natural that they truly convince as teens of the early '60s ; they do not appear to be '90s grungers playacting " retro . " 	the work of the young ensemble is so natural that they truly convince as teens of the early '60s ; they do not appear to be '90s grungers playacting " retro .<br> "	2	-1	 the[0] work[0] of[0] the[0] young[0] ensemble[0] is[0] so[0] natural[0] that[0] they[0] truly[1] convince[0] as[0] teens[0] of[0] the[0] early[0] '60s[0] they[0] do[0] not[0] appear[0] to[0] be[0] '90s[0] grungers[0] playacting[0] retro[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet for all the light , frothy charms of that thing you do ! , it's nearly nice to a fault . 	yet for all the light , frothy charms of that thing you do !<br> , it's nearly nice to a fault .	2	-2	 yet[0] for[0] all[0] the[0] light[0] frothy[0] charms[1] of[0] that[0] thing[0] you[0] do[0] [[Sentence=-1,2=word max, 1-5]] it's[0] nearly[0] nice[1] to[0] a[0] fault[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
